sequence,round,position,voltage_v,duty_percent,start_offset_s,preamble_score,decoded_header,decoded_letter,restricted_letter,accepted_decode_only,expected_rank_full,expected_rank_alphabet,decode_margin,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,baseline_x,baseline_y,broadband_active_power_x,broadband_off_power_x,broadband_snr_db_x,broadband_active_power_y,broadband_off_power_y,broadband_snr_db_y,broadband_snr_db_pooled,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,tone_coherence,off_coherence
1,1,1,10.000000,100.000000,17.860000,1.823806,0x7E,A,A,1,1,1,9271411.853526,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,25242.995665,401.822189,17.911382,323805.793124,207.081646,31.938652,27.575792,8209.059658,0.484871,42.286412,121765.831362,0.238228,57.085326,52.546593,0.998201,0.193143
2,1,2,10.000000,50.000000,88.845000,1.828503,0x7E,A,A,1,1,1,1566276.631018,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,12899.119639,391.338119,15.046281,119040.331412,190.949374,27.940787,23.533163,5459.435054,0.353747,41.884272,62614.916744,0.668535,49.715488,48.234063,0.999796,0.102052
3,1,3,10.000000,25.000000,159.845000,1.830810,0x7E,A,A,1,1,1,552641.169915,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,4689.700308,398.950158,10.316146,35866.103995,251.269665,21.514909,17.879735,2193.843198,0.220645,39.974687,20023.803485,0.668348,44.765293,43.977825,0.999815,0.098525
4,1,4,10.000000,10.000000,230.845000,1.831421,0x7E,A,A,1,1,1,187048.170688,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,1333.122439,414.824689,3.451189,7591.757958,403.123096,12.512087,9.961310,501.285194,0.216774,33.638893,4237.870202,0.740038,37.578178,36.947865,0.999745,0.293447
5,2,1,10.000000,10.000000,301.850000,1.830210,0x7E,A,A,1,1,1,178319.910795,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,1345.011400,407.391691,3.620146,7731.614711,184.473092,16.118495,11.564171,513.489038,0.305037,32.259207,4401.031995,0.545287,39.068754,37.618215,0.999821,0.039491
6,2,2,10.000000,25.000000,372.865000,1.831654,0x7E,A,A,1,1,1,525733.731995,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,4740.111986,406.045656,10.283207,40217.627000,262.958213,21.816808,18.208646,2190.139596,0.399423,37.389591,22039.089892,0.617028,45.528764,43.772346,0.999828,0.073675
7,2,3,10.000000,50.000000,443.880000,1.828706,0x7E,A,A,1,1,1,7836595.439030,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,11853.295601,406.112238,14.500526,129680.003961,179.339964,28.585949,23.815670,5094.557344,0.234450,43.370360,68919.158341,0.384432,52.535176,50.777003,0.999746,0.328939
8,2,4,10.000000,100.000000,514.910000,1.823453,0x7E,A,A,1,1,1,4161747.205351,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,20222.738821,390.034140,17.062793,306703.884747,178.425157,32.350105,27.589951,6608.760896,0.459997,41.573347,115264.737623,0.463050,53.960667,51.206821,0.998195,0.047591
9,3,1,10.000000,50.000000,585.895000,1.828916,0x7E,A,A,1,1,1,2364169.269218,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,10478.149895,400.864201,14.003463,116568.846974,217.181550,27.289497,23.108259,4488.517678,0.263873,42.306817,61660.779848,0.419844,51.669181,49.856441,0.999853,0.017665
10,3,2,10.000000,10.000000,656.890000,1.829962,0x7E,A,A,1,1,1,112176.181009,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,1161.203500,400.152598,2.791881,7139.401160,270.275644,14.050945,10.561823,417.130170,0.349018,30.770604,4070.668577,0.515350,38.975087,37.152512,0.999432,0.110194
11,3,3,10.000000,100.000000,727.930000,1.823953,0x7E,A,A,1,1,1,5153071.028145,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,18900.992530,384.756501,16.823667,306708.608873,173.499904,32.471810,27.651183,6197.061796,0.316260,42.921199,116104.826067,0.379079,54.861189,52.452342,0.998282,0.050367
12,3,4,10.000000,25.000000,798.910000,1.830361,0x7E,A,A,1,1,1,1414068.079124,4095,0.000000,0.000000,0.000000,852.699042,1607.942125,3709.305953,414.601408,9.001857,34762.083987,407.695003,19.256468,16.607261,1711.614390,0.212899,39.051788,19591.311841,0.336294,47.653372,45.887034,0.999715,0.099457
