sequence,phase,duty_percent,expected,baseline_known_header,baseline_known_payload,baseline_known_ok,baseline_sync_header,baseline_sync_payload,baseline_sync_ok,baseline_preamble,baseline_shift_seconds,duong_known_header,duong_known_payload,duong_known_ok,duong_sync_header,duong_sync_payload,duong_sync_ok,duong_preamble,duong_shift_seconds
1,train,100.0,A,0x7E,0x41,1,0x7E,0x41,1,1.0090917973175562,0.0,0x7E,0x41,1,0x7E,0x41,1,1.1616427207946693,0.035
2,train,100.0,B,0x7E,0x42,1,0x7E,0x42,1,0.799794918063974,0.04,0x7E,0x42,1,0x7E,0x42,1,1.030111323422838,0.06
3,train,100.0,C,0x7E,0x43,1,0x7E,0x43,1,0.9040743853524696,0.055,0x7E,0x43,1,0x7E,0x43,1,0.9600266134404545,0.02
4,train,100.0,D,0x7E,0x44,1,0x7E,0x44,1,0.818991242299421,0.065,0x7E,0x44,1,0x7E,0x44,1,1.1296575464039553,0.08
5,train,100.0,E,0x7E,0x45,1,0x7E,0x45,1,0.9068010933822953,0.105,0x7E,0x45,1,0x7E,0x45,1,1.2840039628895408,0.02
6,test,100.0,F,0x7E,0x46,1,0x7E,0x46,1,0.9086622875229702,0.01,0x7E,0x46,1,0x7E,0x46,1,1.283698299884055,0.09
7,train,50.0,A,0x7E,0x41,1,0x7E,0x41,1,0.8697763761071425,0.03,0x7E,0x41,1,0x7E,0x41,1,1.092124065214425,0.14
8,train,50.0,B,0x7E,0x42,1,0x7E,0x42,1,0.9102748552933404,0.105,0x7E,0x42,1,0x7E,0x42,1,1.1222843747598077,0.155
9,train,50.0,C,0x7E,0x43,1,0x7E,0x43,1,0.8853632537666736,0.06,0x7E,0x43,1,0x7E,0x43,1,1.1961509437205138,0.04
10,train,50.0,D,0x7E,0x44,1,0x7E,0x44,1,0.9178688452971939,0.115,0x7E,0x44,1,0x7E,0x44,1,1.3320446836361444,0.015
11,train,50.0,E,0x7E,0x45,1,0x7E,0x45,1,0.8738627929402965,0.06,0x7E,0x45,1,0x7E,0x45,1,1.2570749866113702,0.045
12,test,50.0,G,0x7E,0x47,1,0x7E,0x47,1,0.7045360729515306,0.01,0x7E,0x47,1,0x7E,0x47,1,0.9366454058843532,0.035
13,train,25.0,A,0x7E,0x41,1,0x7E,0x41,1,0.6779541358899808,0.06,0x7E,0x41,1,0x7E,0x41,1,0.8811816123420657,0.005
14,train,25.0,B,0x7E,0x42,1,0x7E,0x42,1,0.8953089522982369,0.15,0x7E,0x42,1,0x7E,0x42,1,1.0029186050954189,0.19
15,train,25.0,C,0x7E,0x43,1,0x7E,0x43,1,0.9469029607289066,0.16,0x7E,0x43,1,0x7E,0x43,1,1.1054111114277458,0.115
16,train,25.0,D,0x7E,0x44,1,0x7E,0x44,1,0.6129595436594055,0.135,0x7E,0x44,1,0x7E,0x44,1,0.8729514784560923,0.1
17,train,25.0,E,0x7E,0x45,1,0x7E,0x45,1,0.5403549276955838,0.02,0x7E,0x45,1,0x7E,0x45,1,0.6234059341857461,0.055
18,test,25.0,H,0x7E,0x48,1,0x7E,0x48,1,0.4666909683527963,-0.09,0x7E,0x48,1,0x7E,0x48,1,0.49274308751223167,0.09
19,train,10.0,A,0xEE,0x42,0,0x7E,0xAE,0,0.43816958070110557,-2.65,0xEE,0x42,0,0x3D,0xE2,0,0.3953054634455495,2.595
20,train,10.0,B,0x1B,0x4A,0,0xA6,0xDD,0,0.27345650340372946,1.435,0x1B,0x4A,0,0x10,0x43,0,0.26016427667492387,1.78
21,train,10.0,C,0x7E,0x45,0,0x7E,0xA0,0,0.2683554335361398,-0.875,0x7E,0x45,0,0x7E,0xA0,0,0.31153670646104104,-0.75
22,train,10.0,D,0x7E,0x2E,0,0x7E,0xAE,0,0.3963745944446365,1.185,0x7E,0x2E,0,0xEE,0xBE,0,0.18793027845023078,0.905
23,train,10.0,E,0x4E,0xD8,0,0xEE,0x41,0,0.2840003611156965,1.455,0x4E,0xD8,0,0xB6,0x6C,0,0.2915398356137987,-2.53
24,test,10.0,I,0x7C,0x9C,0,0x74,0xD8,0,0.287531817383537,-1.99,0x7C,0x9C,0,0x00,0xCA,0,0.2521174557213285,-1.63
25,train,1.0,A,0xDD,0x78,0,0x73,0xF4,0,0.4601699881863309,2.435,0xDD,0x78,0,0x7E,0xF2,0,0.5886893202579973,0.975
26,train,1.0,B,0xFD,0x26,0,0xFD,0x26,0,0.4799288092681681,0.025,0xFD,0x26,0,0xFE,0x0B,0,0.5418558660524773,3.0
27,train,1.0,C,0x97,0x59,0,0x76,0x00,0,0.4471889517820614,2.425,0x97,0x59,0,0x7E,0x70,0,0.6092034661449176,-1.88
28,train,1.0,D,0x7E,0x01,0,0xEE,0x3D,0,0.3950520943346409,-1.77,0x7E,0x01,0,0x7E,0x01,0,0.5285330116338148,0.125
29,train,1.0,E,0x4E,0x51,0,0xDE,0xD7,0,0.47719342149092364,-2.535,0x4E,0x51,0,0x7E,0xD3,0,0.5754661926976818,-2.425
30,test,1.0,J,0xDB,0x4D,0,0x7A,0x08,0,0.3553347859065137,2.73,0xDB,0x4D,0,0x96,0x00,0,0.540778225283121,2.925
