sequence,phase,duty_percent,expected,gap_condition,baseline_preamble,baseline_shift_seconds,baseline_header,baseline_payload,baseline_ok,static_preamble,static_shift_seconds,static_header,static_payload,static_ok,adaptive_preamble,adaptive_shift_seconds,adaptive_header,adaptive_payload,adaptive_ok
1,train,100.0,A,3.4559122070287214,1.0090917973175562,0.0,0x7E,0x41,1,1.1616427207946693,0.035,0x7E,0x41,1,0.843722248068059,0.015,0x7E,0x41,1
2,train,100.0,B,5.514421331523442,0.799794918063974,0.04,0x7E,0x42,1,1.030111323422838,0.06,0x7E,0x42,1,0.7490726389834927,0.035,0x7E,0x42,1
3,train,100.0,C,7.055831171088493,0.9040743853524696,0.055,0x7E,0x43,1,0.9600266134404545,0.02,0x7E,0x43,1,0.8183923794733393,0.045,0x7E,0x43,1
4,train,100.0,D,4.7882679532535715,0.818991242299421,0.065,0x7E,0x44,1,1.1296575464039553,0.08,0x7E,0x44,1,0.9539303176775046,0.06,0x7E,0x44,1
5,train,100.0,E,13.213417284825537,0.9068010933822953,0.105,0x7E,0x45,1,1.2840039628895408,0.02,0x7E,0x45,1,0.8398215976423135,0.09,0x7E,0x45,1
6,test,100.0,F,8.86510864078775,0.9086622875229702,0.01,0x7E,0x46,1,1.283698299884055,0.09,0x7E,0x46,1,0.9692789436108568,0.025,0x7E,0x46,1
7,train,50.0,A,22.251441763206437,0.8697763761071425,0.03,0x7E,0x41,1,1.092124065214425,0.14,0x7E,0x41,1,0.7496463877736214,0.075,0x7E,0x41,1
8,train,50.0,B,12.59633784773522,0.9102748552933404,0.105,0x7E,0x42,1,1.1222843747598077,0.155,0x7E,0x42,1,0.8158557110307911,0.11,0x7E,0x42,1
9,train,50.0,C,8.857264015940693,0.8853632537666736,0.06,0x7E,0x43,1,1.1961509437205138,0.04,0x7E,0x43,1,0.7588252209088764,0.05,0x7E,0x43,1
10,train,50.0,D,5.853687996588623,0.9178688452971939,0.115,0x7E,0x44,1,1.3320446836361444,0.015,0x7E,0x44,1,1.0871878438026956,0.12,0x7E,0x44,1
11,train,50.0,E,10.363499099636257,0.8738627929402965,0.06,0x7E,0x45,1,1.2570749866113702,0.045,0x7E,0x45,1,0.8449250518146323,0.1,0x7E,0x45,1
12,test,50.0,G,8.83098211795831,0.7045360729515306,0.01,0x7E,0x47,1,0.9366454058843532,0.035,0x7E,0x47,1,0.7205277542474264,-0.01,0x7E,0x47,1
13,train,25.0,A,6.0087428527421345,0.6779541358899808,0.06,0x7E,0x41,1,0.8811816123420657,0.005,0x7E,0x41,1,0.6167956893801576,0.025,0x7E,0x41,1
14,train,25.0,B,9.336894178233798,0.8953089522982369,0.15,0x7E,0x42,1,1.0029186050954189,0.19,0x7E,0x42,1,0.8510591149050893,0.175,0x7E,0x42,1
15,train,25.0,C,17.482291703269734,0.9469029607289066,0.16,0x7E,0x43,1,1.1054111114277458,0.115,0x7E,0x43,1,0.804670463983837,0.16,0x7E,0x43,1
16,train,25.0,D,10.108864640265372,0.6129595436594055,0.135,0x7E,0x44,1,0.8729514784560923,0.1,0x7E,0x44,1,0.5634688460530141,0.105,0x7E,0x44,1
17,train,25.0,E,9.364172580230408,0.5403549276955838,0.02,0x7E,0x45,1,0.6234059341857461,0.055,0x7E,0x45,1,0.5272214827274883,0.025,0x7E,0x45,1
18,test,25.0,H,12.333153958770396,0.4666909683527963,-0.09,0x7E,0x48,1,0.49274308751223167,0.09,0x7E,0x48,1,0.506518400229472,-0.09,0x7E,0x48,1
19,train,10.0,A,7.06287721334163,0.43816958070110557,-2.65,0x7E,0xAE,0,0.3953054634455495,2.595,0x3D,0xE2,0,0.405713477802063,-2.655,0x7E,0xAE,0
20,train,10.0,B,6.362414114452552,0.27345650340372946,1.435,0xA6,0xDD,0,0.26016427667492387,1.78,0x10,0x43,0,0.2902199676830211,1.445,0xA6,0xDD,0
21,train,10.0,C,12.996591883559399,0.2683554335361398,-0.875,0x7E,0xA0,0,0.31153670646104104,-0.75,0x7E,0xA0,0,0.2681913561587158,-0.775,0x7E,0xA0,0
22,train,10.0,D,7.772520263846529,0.3963745944446365,1.185,0x7E,0xAE,0,0.18793027845023078,0.905,0xEE,0xBE,0,0.3542953030572452,1.185,0x7E,0xAE,0
23,train,10.0,E,23.540654275484044,0.2840003611156965,1.455,0xEE,0x41,0,0.2915398356137987,-2.53,0xB6,0x6C,0,0.26691455799571845,-0.995,0x27,0x49,0
24,test,10.0,I,9.800648767818654,0.287531817383537,-1.99,0x74,0xD8,0,0.2521174557213285,-1.63,0x00,0xCA,0,0.2521383933364646,-0.64,0x2E,0x15,0
25,train,1.0,A,15.658489757499273,0.4601699881863309,2.435,0x73,0xF4,0,0.5886893202579973,0.975,0x7E,0xF2,0,0.4071987097668494,2.445,0x73,0xF4,0
26,train,1.0,B,5.246956437020944,0.4799288092681681,0.025,0xFD,0x26,0,0.5418558660524773,3.0,0xFE,0x0B,0,0.42631637799350036,1.975,0x9E,0x4B,0
27,train,1.0,C,9.007869332341818,0.4471889517820614,2.425,0x76,0x00,0,0.6092034661449176,-1.88,0x7E,0x70,0,0.46400062371746786,2.515,0x76,0x30,0
28,train,1.0,D,8.847596214402989,0.3950520943346409,-1.77,0xEE,0x3D,0,0.5285330116338148,0.125,0x7E,0x01,0,0.42615701197645073,0.12,0x7E,0x01,0
29,train,1.0,E,12.793760058652808,0.47719342149092364,-2.535,0xDE,0xD7,0,0.5754661926976818,-2.425,0x7E,0xD3,0,0.4712336538677579,-2.53,0x7E,0xD7,0
30,test,1.0,J,11.648277333366163,0.3553347859065137,2.73,0x7A,0x08,0,0.540778225283121,2.925,0x96,0x00,0,0.38330475460109575,2.885,0x96,0x06,0
