sequence,phase,duty_percent,expected,preamble_score,start_shift_seconds,header,payload,decoded_ok,threshold_ok,gain_drift_norm,recurrent_min_eigenvalue
1,train,100.0,A,0.9819863159878548,0.03,0x7E,0x41,1,1,1.6998360083896327,0.28778388589303516
2,train,100.0,B,0.808466638867915,0.055,0x7E,0x42,1,1,1.8470426325145741,0.3333739675870718
3,train,100.0,C,0.7069821108040859,0.03,0x7E,0x43,1,0,2.0278569001360682,0.13767566152442373
4,train,100.0,D,1.1826574892907145,0.06,0x7E,0x44,1,1,1.922265487846675,0.10549994007033946
5,train,100.0,E,1.047577154970552,0.045,0x7E,0x45,1,1,2.0354881081301306,0.1736555904017922
6,test,100.0,F,0.8955410370939818,0.08,0x7E,0x46,1,1,2.257370764157014,0.17123866532143883
7,train,50.0,A,0.8218104874612098,0.145,0x7E,0x41,1,1,2.023582557493738,0.1231489597617495
8,train,50.0,B,0.8185082141555939,0.12,0x7E,0x42,1,1,2.232564862331865,0.14891928953658898
9,train,50.0,C,0.907700597058357,0.06,0x7E,0x43,1,1,2.333679359729279,0.04504586691648414
10,train,50.0,D,0.8746236472626774,0.025,0x7E,0x44,1,1,2.5162036361959523,0.2140818227366826
11,train,50.0,E,0.871203925510813,0.09,0x7E,0x45,1,1,2.664862077462039,0.03889643033151395
12,test,50.0,G,0.5691887322158957,0.01,0x7E,0x47,1,0,2.8205273008254625,0.11523997401034972
13,train,25.0,A,0.6474624960021412,0.015,0x7E,0x41,1,0,2.7179011801905486,0.3440889284773538
14,train,25.0,B,0.7219470090365072,0.145,0x7E,0x42,1,0,2.964748412053129,0.14823813973649844
15,train,25.0,C,0.6137183571940772,0.13,0x7E,0x43,1,0,3.0772140910583654,0.07057635420903537
16,train,25.0,D,0.567745216196085,0.105,0x7E,0x44,1,0,3.0847895232127174,0.16897089175510763
17,train,25.0,E,0.44214065926303486,0.03,0x7E,0x45,1,0,3.2235579719723217,0.1352460760584999
18,test,25.0,H,0.3909397044363391,0.025,0x7E,0x48,1,0,3.4047224483614302,0.15218295310800722
19,train,10.0,A,0.26783804026298796,2.59,0x3D,0xB6,0,0,3.520422314454477,0.1760275983264792
20,train,10.0,B,0.19671205281272297,-1.52,0x9B,0x1A,0,0,3.64289975946064,0.18455100838141825
21,train,10.0,C,0.2526379196506174,-0.785,0x7E,0xA0,0,0,3.5543171639114046,0.43634989279831227
22,train,10.0,D,0.25506157169966226,1.04,0x7E,0xBE,0,0,3.861070970384017,0.09412762642707041
23,train,10.0,E,0.21123167799634623,2.935,0x7B,0x41,0,0,3.922044574279733,0.2218972098875771
24,test,10.0,I,0.23107514595105616,-1.635,0x00,0xCA,0,0,4.05450768775076,0.12070199469422417
25,train,1.0,A,0.40459802125855704,0.96,0x7E,0xF2,0,0,4.172441660268956,0.2072986975418075
26,train,1.0,B,0.49989714877218716,3.0,0xFE,0x0B,0,0,11.159602656545346,0.12142328987229033
27,train,1.0,C,0.5206784096882104,2.47,0x76,0x00,0,0,6.74878132345525,0.2504197018844619
28,train,1.0,D,0.41524229011407054,0.375,0x7C,0x21,0,0,4.645795680410452,0.19067010345130123
29,train,1.0,E,0.42669488300790914,-2.48,0x7E,0xD3,0,0,4.559097880314636,0.17380266979506723
30,test,1.0,J,0.3475469979848204,2.77,0x7A,0x0E,0,0,4.675081472699681,0.11019236316416475
