sequence,phase,duty_percent,expected,baseline_known_header,baseline_known_payload,baseline_known_ok,baseline_sync_header,baseline_sync_payload,baseline_sync_ok,baseline_preamble,baseline_h0_threshold,baseline_h0_accepted,baseline_legacy_accepted,baseline_shift_seconds,zca_known_header,zca_known_payload,zca_known_ok,zca_sync_header,zca_sync_payload,zca_sync_ok,zca_preamble,zca_h0_threshold,zca_h0_accepted,zca_legacy_accepted,zca_shift_seconds,var_known_header,var_known_payload,var_known_ok,var_sync_header,var_sync_payload,var_sync_ok,var_preamble,var_h0_threshold,var_h0_accepted,var_legacy_accepted,var_shift_seconds,kalman_known_header,kalman_known_payload,kalman_known_ok,kalman_sync_header,kalman_sync_payload,kalman_sync_ok,kalman_preamble,kalman_h0_threshold,kalman_h0_accepted,kalman_legacy_accepted,kalman_shift_seconds,gru_known_header,gru_known_payload,gru_known_ok,gru_sync_header,gru_sync_payload,gru_sync_ok,gru_preamble,gru_h0_threshold,gru_h0_accepted,gru_legacy_accepted,gru_shift_seconds,tcn_known_header,tcn_known_payload,tcn_known_ok,tcn_sync_header,tcn_sync_payload,tcn_sync_ok,tcn_preamble,tcn_h0_threshold,tcn_h0_accepted,tcn_legacy_accepted,tcn_shift_seconds
1,train,100.0,A,0x7E,0x41,1,0x7E,0x41,1,1.0090917973175557,0.1927863854833696,1,1,0.0,0x7E,0x41,1,0x7E,0x41,1,1.1170115872886563,0.3469780906032286,1,1,0.11,0x7E,0x41,1,0x7E,0x41,1,1.0106242130958334,0.11233737980599694,1,1,0.015,0x7E,0x41,1,0x7E,0x41,1,1.3171257569071742,0.35726761661716105,1,1,0.035,0x7E,0x41,1,0x7E,0x41,1,1.0134376720830718,0.23758465900630943,1,1,0.125,0x7E,0x41,1,0x7E,0x41,1,0.5901285211582825,0.5445116374739472,1,0,0.085
2,train,100.0,B,0x7E,0x42,1,0x7E,0x42,1,0.7997949180639738,0.1927863854833696,1,0,0.04,0x7E,0x42,1,0x7E,0x42,1,1.1970870042797421,0.3469780906032286,1,1,0.09,0x7E,0x42,1,0x7E,0x42,1,1.000466858202619,0.11233737980599694,1,1,-0.03,0x7E,0x42,1,0x7E,0x42,1,1.352233534497507,0.35726761661716105,1,1,0.03,0x7E,0x42,1,0x7E,0x42,1,1.1115704617516482,0.23758465900630943,1,1,0.09,0x7E,0x42,1,0x7E,0x42,1,0.722215520762561,0.5445116374739472,1,0,0.22
3,train,100.0,C,0x7E,0x43,1,0x7E,0x43,1,0.9040743853524702,0.1927863854833696,1,1,0.055,0x7E,0x43,1,0x7E,0x43,1,1.146353707353281,0.3469780906032286,1,1,0.03,0x7E,0x43,1,0x7E,0x43,1,0.8843357824465152,0.11233737980599694,1,1,-0.07,0x7E,0x43,1,0x7E,0x43,1,1.2908276326967014,0.35726761661716105,1,1,0.035,0x7E,0x43,1,0x7E,0x43,1,1.0669620002841689,0.23758465900630943,1,1,0.03,0x7E,0x43,1,0x7E,0x43,1,1.2291134372654189,0.5445116374739472,1,1,0.105
4,train,100.0,D,0x7E,0x44,1,0x7E,0x44,1,0.818991242299421,0.1927863854833696,1,1,0.065,0x7E,0x44,1,0x7E,0x44,1,1.08354660410882,0.3469780906032286,1,1,0.075,0x7E,0x44,1,0x7E,0x44,1,0.5304470088700277,0.11233737980599694,1,0,-0.145,0x7E,0x44,1,0x7E,0x44,1,0.9643001212971154,0.35726761661716105,1,1,0.075,0x7E,0x44,1,0x7E,0x44,1,1.0869874006715756,0.23758465900630943,1,1,0.065,0x7E,0x44,1,0x7E,0x44,1,1.4313944201164508,0.5445116374739472,1,1,0.1
5,train,100.0,E,0x7E,0x45,1,0x7E,0x45,1,0.9068010933822953,0.1927863854833696,1,1,0.105,0x7E,0x45,1,0x7E,0x45,1,1.2427425481995802,0.3469780906032286,1,1,-0.01,0x7E,0x40,0,0x7E,0x40,0,0.5677317060636099,0.11233737980599694,0,0,-0.565,0x7E,0x45,1,0x7E,0x45,1,0.9561885783434945,0.35726761661716105,1,1,-0.07,0x7E,0x45,1,0x7E,0x45,1,1.2233373006813615,0.23758465900630943,1,1,-0.015,0x7E,0x45,1,0x7E,0x45,1,1.5563513965029339,0.5445116374739472,1,1,0.035
6,test,100.0,F,0x7E,0x46,1,0x7E,0x46,1,0.90866228752297,0.1927863854833696,1,1,0.01,0x7E,0x46,1,0x7E,0x46,1,1.0143832760852536,0.3469780906032286,1,1,-0.01,0x7E,0x46,1,0x7E,0x46,1,0.7822402799627854,0.11233737980599694,1,0,-0.64,0x7E,0x42,0,0x7E,0x46,1,0.8130343682064783,0.35726761661716105,1,1,-0.2,0x7E,0x46,1,0x7E,0x46,1,1.0498805733056553,0.23758465900630943,1,1,0.02,0x7E,0x46,1,0x7E,0x46,1,1.4924593940746556,0.5445116374739472,1,1,-0.005
7,train,50.0,A,0x7E,0x41,1,0x7E,0x41,1,0.8697763761071425,0.1927863854833696,1,1,0.03,0x7E,0x41,1,0x7E,0x41,1,0.845242348168833,0.3469780906032286,1,1,0.085,0x7E,0xC1,0,0x7E,0x41,1,0.660756472067143,0.11233737980599694,1,0,-0.615,0x7E,0x41,1,0x7E,0x41,1,0.6422601455540742,0.35726761661716105,1,0,-0.06,0x7E,0x41,1,0x7E,0x41,1,0.8900167197493573,0.23758465900630943,1,1,0.09,0x7E,0x41,1,0x7E,0x41,1,1.3726165298524444,0.5445116374739472,1,1,0.09
8,train,50.0,B,0x7E,0x42,1,0x7E,0x42,1,0.9102748552933401,0.1927863854833696,1,1,0.105,0x7E,0x42,1,0x7E,0x42,1,0.8017898951399857,0.3469780906032286,1,1,0.135,0xB9,0x51,0,0x7E,0x42,1,0.6475475807652618,0.11233737980599694,1,0,-0.515,0x7E,0x4B,0,0x7E,0x4B,0,0.7327368013110734,0.35726761661716105,0,0,-0.025,0x7E,0x42,1,0x7E,0x42,1,0.8346015293225575,0.23758465900630943,1,1,0.145,0x7E,0x42,1,0x7E,0x42,1,1.1911685420424942,0.5445116374739472,1,1,0.14
9,train,50.0,C,0x7E,0x43,1,0x7E,0x43,1,0.8853632537666736,0.1927863854833696,1,1,0.06,0x7E,0x43,1,0x7E,0x43,1,1.057492744020346,0.3469780906032286,1,1,0.08,0x7E,0x96,0,0x7E,0x46,0,0.8996148703269106,0.11233737980599694,0,0,-0.575,0x9E,0x43,0,0x7E,0x03,0,1.0200158781266002,0.35726761661716105,0,0,-0.245,0x7E,0x43,1,0x7E,0x43,1,1.099443896851093,0.23758465900630943,1,1,0.08,0x7E,0x43,1,0x7E,0x43,1,0.8350241562003571,0.5445116374739472,1,1,-0.045
10,train,50.0,D,0x7E,0x44,1,0x7E,0x44,1,0.9178688452971926,0.1927863854833696,1,1,0.115,0x7E,0x44,1,0x7E,0x44,1,1.1068189206990284,0.3469780906032286,1,1,0.08,0x7E,0x44,1,0x7E,0x44,1,0.9298666142931593,0.11233737980599694,1,1,0.12,0x7E,0x44,1,0x7E,0x44,1,1.098317066135749,0.35726761661716105,1,1,0.04,0x7E,0x44,1,0x7E,0x44,1,1.1225958029229384,0.23758465900630943,1,1,0.07,0x7E,0x44,1,0x7E,0x44,1,0.7984606423935404,0.5445116374739472,1,0,0.065
