sequence,round,position,phase,letter,duty_percent,voltage_v,distance_m,hardware_note,coded_bits,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,1,1,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T22:59:53.504707Z,2026-07-24T23:00:49.505514Z,56.000703,15,62500.000,0,0,nan,nan,nan,nan
2,1,2,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:01:04.512287Z,2026-07-24T23:02:00.513810Z,56.001144,15,31250.000,448,0,31388.667,31764.583,31780.856,31800.407
3,1,3,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:02:15.520282Z,2026-07-24T23:03:11.521746Z,56.001115,15,15625.000,448,0,15639.149,15764.860,15781.264,16635.426
4,1,4,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:03:26.528274Z,2026-07-24T23:04:22.529788Z,56.001137,15,6250.000,448,0,6470.852,6754.334,6771.023,6779.851
5,2,1,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:04:37.537278Z,2026-07-24T23:05:33.538720Z,56.001099,15,6250.000,448,0,6383.630,6762.259,6775.117,6783.444
6,2,2,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:05:48.545279Z,2026-07-24T23:06:44.546906Z,56.001250,15,15625.000,448,0,15649.037,15765.389,15785.558,16656.519
7,2,3,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:06:59.554285Z,2026-07-24T23:07:55.555765Z,56.001133,15,31250.000,448,0,31568.352,31764.092,31779.868,31786.760
8,2,4,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:08:10.562281Z,2026-07-24T23:09:06.563566Z,56.001198,15,62500.000,0,0,nan,nan,nan,nan
9,3,1,calibration,A,50.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:09:21.571281Z,2026-07-24T23:10:17.572725Z,56.001091,15,31250.000,448,0,31322.278,31759.870,31779.144,31794.926
10,3,2,calibration,A,10.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:10:32.579278Z,2026-07-24T23:11:28.580758Z,56.001136,15,6250.000,448,0,6357.593,6762.685,6778.740,6786.148
11,3,3,calibration,A,100.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:11:43.587284Z,2026-07-24T23:12:39.588524Z,56.001156,15,62500.000,0,0,nan,nan,nan,nan
12,3,4,calibration,A,25.0,11,0.35,l298n-current-bench-configuration-documentation-pending,0001111001011010011001101001,2026-07-24T23:12:54.595278Z,2026-07-24T23:13:50.596794Z,56.001144,15,15625.000,448,0,15636.778,15766.158,15787.475,16661.685
