sequence,phase,letter,duty_percent,coded_bits,started_utc,finished_utc,duration_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,train,A,100.0,0001111001011010011001101001,2026-07-16T18:42:17Z,2026-07-16T18:43:13Z,56.000980,62500.000,0,0,nan,nan,nan,nan
2,train,B,100.0,0001111001011010011000101010,2026-07-16T18:43:28Z,2026-07-16T18:44:24Z,56.001072,62500.000,0,0,nan,nan,nan,nan
3,train,C,100.0,0001111001011010011001000011,2026-07-16T18:44:39Z,2026-07-16T18:45:35Z,56.001087,62500.000,0,0,nan,nan,nan,nan
4,train,D,100.0,0001111001011010011001001100,2026-07-16T18:45:50Z,2026-07-16T18:46:46Z,56.001074,62500.000,0,0,nan,nan,nan,nan
5,train,E,100.0,0001111001011010011000100101,2026-07-16T18:47:01Z,2026-07-16T18:47:57Z,56.001158,62500.000,0,0,nan,nan,nan,nan
6,test,F,100.0,0001111001011010011001100110,2026-07-16T18:48:12Z,2026-07-16T18:49:08Z,56.001086,62500.000,0,0,nan,nan,nan,nan
7,train,A,50.0,0001111001011010011001101001,2026-07-16T18:49:23Z,2026-07-16T18:50:19Z,56.001090,31250.000,448,0,31596.851,31763.842,31781.394,31789.185
8,train,B,50.0,0001111001011010011000101010,2026-07-16T18:50:34Z,2026-07-16T18:51:30Z,56.001086,31250.000,448,0,31591.574,31770.194,31784.343,31803.740
9,train,C,50.0,0001111001011010011001000011,2026-07-16T18:51:45Z,2026-07-16T18:52:41Z,56.001134,31250.000,448,0,31525.500,31761.862,31781.695,31792.000
10,train,D,50.0,0001111001011010011001001100,2026-07-16T18:52:56Z,2026-07-16T18:53:52Z,56.001114,31250.000,448,0,31588.889,31760.852,31775.458,31787.315
11,train,E,50.0,0001111001011010011000100101,2026-07-16T18:54:07Z,2026-07-16T18:55:03Z,56.001113,31250.000,448,0,31500.945,31762.740,31778.978,31785.148
12,test,G,50.0,0001111001011010011000001111,2026-07-16T18:55:18Z,2026-07-16T18:56:14Z,56.001105,31250.000,448,0,31515.667,31760.038,31776.136,31788.223
13,train,A,25.0,0001111001011010011001101001,2026-07-16T18:56:29Z,2026-07-16T18:57:25Z,56.001093,15625.000,448,0,15635.611,15766.500,15781.326,16636.389
14,train,B,25.0,0001111001011010011000101010,2026-07-16T18:57:40Z,2026-07-16T18:58:36Z,56.001113,15625.000,448,0,15638.685,15760.519,15780.536,16634.926
15,train,C,25.0,0001111001011010011001000011,2026-07-16T18:58:51Z,2026-07-16T18:59:47Z,56.001187,15625.000,448,0,15634.796,15757.435,15777.805,16637.185
16,train,D,25.0,0001111001011010011001001100,2026-07-16T19:00:02Z,2026-07-16T19:00:58Z,56.001078,15625.000,448,0,15637.555,15766.343,15782.184,16634.796
17,train,E,25.0,0001111001011010011000100101,2026-07-16T19:01:13Z,2026-07-16T19:02:09Z,56.001103,15625.000,448,0,15644.834,15767.694,15785.076,16636.129
18,test,H,25.0,0001111001011010011001110000,2026-07-16T19:02:24Z,2026-07-16T19:03:20Z,56.001098,15625.000,448,0,15643.203,15766.138,15786.923,16635.148
19,train,A,10.0,0001111001011010011001101001,2026-07-16T19:03:35Z,2026-07-16T19:04:31Z,56.001158,6250.000,448,0,6585.963,6760.547,6774.647,6783.296
20,train,B,10.0,0001111001011010011000101010,2026-07-16T19:04:46Z,2026-07-16T19:05:42Z,56.001104,6250.000,448,0,6560.148,6763.945,6776.509,6786.593
21,train,C,10.0,0001111001011010011001000011,2026-07-16T19:05:57Z,2026-07-16T19:06:53Z,56.001119,6250.000,448,0,6577.444,6763.676,6777.672,6788.815
22,train,D,10.0,0001111001011010011001001100,2026-07-16T19:07:08Z,2026-07-16T19:08:04Z,56.001121,6250.000,448,0,6591.037,6768.028,6781.790,6793.555
23,train,E,10.0,0001111001011010011000100101,2026-07-16T19:08:19Z,2026-07-16T19:09:15Z,56.001122,6250.000,448,0,6461.333,6760.991,6779.210,6789.074
24,test,I,10.0,0001111001011010011000011001,2026-07-16T19:09:30Z,2026-07-16T19:10:26Z,56.001166,6250.000,448,0,6569.407,6760.426,6775.588,6784.426
25,train,A,1.0,0001111001011010011001101001,2026-07-16T19:10:41Z,2026-07-16T19:11:37Z,56.001218,625.000,448,224,637.352,764.704,780.798,1638.630
26,train,B,1.0,0001111001011010011000101010,2026-07-16T19:11:52Z,2026-07-16T19:12:48Z,56.001120,625.000,448,224,643.352,760.379,775.594,1634.148
27,train,C,1.0,0001111001011010011001000011,2026-07-16T19:13:03Z,2026-07-16T19:13:59Z,56.001138,625.000,448,224,638.241,760.833,775.825,1639.722
28,train,D,1.0,0001111001011010011001001100,2026-07-16T19:14:14Z,2026-07-16T19:15:10Z,56.001130,625.000,448,224,638.630,766.167,778.204,1635.314
29,train,E,1.0,0001111001011010011000100101,2026-07-16T19:15:25Z,2026-07-16T19:16:21Z,56.001171,625.000,448,224,654.852,768.574,783.461,1631.260
30,test,J,1.0,0001111001011010011001011010,2026-07-16T19:16:36Z,2026-07-16T19:17:32Z,56.001142,625.000,448,224,648.574,767.000,781.800,1633.444
