t,x,y
11426.235006,4095,4095
11426.240006,4095,4095
11426.245006,4095,4095
11426.250005,4095,4095
11426.255005,4095,4095
11426.260006,4095,4095
11426.265007,4095,4095
11426.270006,4095,4095
11426.275006,4095,4095
11426.280005,4095,4095
11426.285006,4095,4095
11426.290006,4095,4095
11426.295005,4095,4095
11426.300005,4095,4095
11426.305005,4095,4095
11426.310007,4095,4095
11426.315006,4095,4095
11426.320006,4095,4095
11426.325006,4095,4095
11426.330005,4095,4095
11426.335005,4095,4095
11426.340006,4095,4095
11426.345007,4095,4095
11426.350006,4095,4095
11426.355006,4095,4095
11426.360005,4095,4095
11426.365007,4095,4095
11426.370006,4095,4095
11426.375006,4095,4095
11426.380007,4095,4095
11426.385005,4095,4095
11426.390007,4095,4095
11426.395005,4095,4095
11426.400006,4095,4095
11426.405005,4095,4095
11426.410007,4095,4095
11426.415007,4095,4095
11426.420006,4095,4095
11426.425007,4095,4095
11426.430005,4095,4095
11426.435007,4095,4095
11426.440007,4095,4095
11426.445006,4095,4095
11426.450005,4095,4095
11426.455006,4095,4095
11426.460007,4095,4095
11426.465006,4095,4095
11426.470006,4095,4095
11426.475006,4095,4095
11426.480006,4095,4095
11426.485006,4095,4095
11426.490006,4095,4095
11426.495005,4095,4095
11426.500007,4095,4095
11426.505006,4095,4095
11426.510006,4095,4095
11426.515006,4095,4095
11426.520006,4095,4095
11426.525007,4095,4095
11426.530007,4095,4095
11426.535006,4095,4095
11426.540007,4095,4095
11426.545005,4095,4095
11426.550005,4095,4095
11426.555006,4095,4095
11426.560006,4095,4095
11426.565006,4095,4095
11426.570007,3892,4095
11426.575006,3672,4095
11426.580006,3085,3940
11426.585006,2954,3672
11426.590006,2658,3390
11426.595007,2235,3105
11426.600007,2119,2821
11426.605005,2063,2533
11426.610005,1727,2237
11426.615006,1570,1948
11426.620006,1639,1641
11426.625006,1410,1356
11426.630006,1154,1073
11426.635006,1221,790
11426.640006,1095,532
11426.645005,806,318
11426.650006,828,140
11426.655006,869,26
11426.660006,664,16
11426.665006,658,15
11426.670005,799,17
11426.675005,690,15
11426.680005,567,18
11426.685006,731,17
11426.690006,689,17
11426.695006,514,19
11426.700006,615,20
11426.705006,716,8
11426.710006,529,12
11426.715006,572,6
11426.720006,745,17
11426.725006,636,19
11426.730006,537,18
11426.735006,716,19
11426.740006,683,17
11426.745006,505,17
11426.750005,625,12
11426.755005,720,16
11426.760006,535,16
11426.765006,569,16
11426.770006,736,18
11426.775006,627,17
11426.780005,535,19
11426.785007,729,9
11426.790006,690,17
11426.795006,518,20
11426.800006,626,18
11426.805006,716,18
11426.810006,525,18
11426.815005,568,15
11426.820005,754,13
11426.825005,642,16
11426.830006,535,17
11426.835006,736,19
11426.840007,695,17
11426.845007,524,17
11426.850007,622,18
11426.855006,712,17
