t,x,y
2203.350006,761,1003
2203.355007,587,1003
2203.360007,665,995
2203.365006,776,1003
2203.370006,640,994
2203.375006,650,1000
2203.380007,787,1004
2203.385007,752,998
2203.390006,619,1001
2203.395006,752,1002
2203.400006,746,1002
2203.405006,603,1000
2203.410006,646,1005
2203.415007,789,1002
2203.420006,649,999
2203.425005,632,1004
2203.430006,798,993
2203.435006,746,1002
2203.440006,617,999
2203.445005,751,1002
2203.450006,746,1002
2203.455006,607,1000
2203.460006,649,1003
2203.465006,796,996
2203.470005,648,1000
2203.475006,637,1001
2203.480006,788,1003
2203.485005,730,1003
2203.490007,623,1003
2203.495006,749,998
2203.500006,748,1003
2203.505006,587,1003
2203.510006,670,1002
2203.515005,781,1004
2203.520007,636,1001
2203.525006,649,1001
2203.530006,797,1004
2203.535005,750,999
2203.540006,625,1001
2203.545006,751,1001
2203.550006,751,1003
2203.555005,611,1001
2203.560006,659,1002
2203.565007,780,1002
2203.570007,659,999
2203.575007,644,1001
2203.580005,795,1001
2203.585005,733,1001
2203.590005,621,1000
2203.595007,751,1002
2203.600005,747,1003
2203.605005,591,1004
2203.610005,672,1001
2203.615007,795,1002
2203.620006,651,1001
2203.625006,650,1002
2203.630007,792,1001
2203.635007,747,997
2203.640005,621,1002
2203.645006,755,1000
2203.650006,754,1001
2203.655007,586,1005
2203.660005,667,999
2203.665006,788,1005
2203.670006,641,1003
2203.675006,632,1003
2203.680005,788,1002
2203.685006,751,1000
2203.690006,610,1001
2203.695006,744,1003
2203.700006,749,1002
2203.705006,602,1000
2203.710006,668,1002
2203.715005,785,1001
2203.720007,637,1004
2203.725006,635,1002
2203.730006,796,1000
2203.735007,731,1002
2203.740006,623,1004
2203.745005,747,1003
2203.750006,749,1003
2203.755007,593,997
2203.760005,669,999
2203.765007,779,1002
2203.770006,657,998
2203.775006,644,1003
2203.780006,789,1005
2203.785006,732,1005
2203.790006,613,1001
2203.795006,750,1002
2203.800005,754,996
2203.805007,609,1001
2203.810005,658,1001
2203.815005,777,1002
2203.820005,653,1001
2203.825006,638,1003
2203.830006,787,1002
2203.835007,744,1003
2203.840006,610,1002
2203.845006,768,1000
2203.850006,764,1000
2203.855006,595,1004
2203.860006,650,1003
2203.865005,799,998
2203.870006,642,1003
2203.875006,635,1003
2203.880006,787,1006
2203.885006,741,1001
2203.890006,602,1004
2203.895007,769,998
2203.900006,761,1001
2203.905005,598,1003
2203.910006,654,1001
2203.915006,780,1003
2203.920006,635,1003
2203.925005,633,1003
2203.930006,808,1002
2203.935006,739,1000
2203.940006,603,1005
2203.945005,745,1003
2203.950007,746,999
2203.955005,601,1003
2203.960006,656,1000
2203.965006,777,1002
2203.970005,644,1002
2203.975006,633,1002
2203.980006,801,1002
2203.985005,734,1001
2203.990006,624,1002
2203.995006,752,1004
2204.000006,747,1002
2204.005006,601,1002
2204.010006,651,1003
2204.015005,794,1001
2204.020006,635,1001
2204.025006,660,998
2204.030006,806,1001
2204.035006,734,1003
2204.040006,605,1001
2204.045006,750,1001
2204.050005,746,1002
2204.055006,603,1001
2204.060007,656,1002
2204.065006,775,1003
2204.070005,648,1001
2204.075007,646,998
2204.080006,801,1002
2204.085007,734,1002
2204.090006,609,998
2204.095006,763,1000
2204.100006,755,1003
2204.105005,590,1002
2204.110006,671,1003
2204.115006,780,1003
2204.120006,647,1000
2204.125006,648,1003
2204.130007,795,1003
2204.135006,728,1004
2204.140006,606,1006
2204.145006,750,1005
2204.150006,764,1001
2204.155005,607,999
2204.160007,657,1000
2204.165005,774,1000
2204.170006,653,996
2204.175005,654,997
2204.180006,797,1003
2204.185006,724,1004
2204.190007,620,999
2204.195006,757,1003
2204.200005,750,1001
2204.205006,594,1002
2204.210007,666,997
2204.215006,779,1002
2204.220006,636,1000
2204.225006,633,1001
2204.230007,787,1003
2204.235006,750,1000
2204.240006,624,1001
2204.245005,756,1000
2204.250006,746,1004
2204.255007,604,1000
2204.260006,651,1004
2204.265006,776,1004
2204.270006,649,999
2204.275007,640,1004
2204.280006,804,1002
2204.285005,728,1002
2204.290007,625,1002
2204.295006,765,999
2204.300005,748,1001
2204.305006,588,1002
2204.310005,675,1001
2204.315006,786,1003
2204.320005,650,999
2204.325006,635,1001
2204.330006,804,1001
2204.335007,737,994
2204.340007,611,1003
2204.345006,750,1002
2204.350007,765,1004
2204.355006,592,1001
2204.360006,676,1001
2204.365005,784,1002
2204.370006,630,1001
2204.375006,655,1002
2204.380006,806,1001
2204.385007,731,1003
2204.390006,607,1004
2204.395006,774,1000
2204.400007,751,1000
2204.405006,601,1002
2204.410007,656,1002
2204.415007,790,1000
2204.420006,639,1002
2204.425007,630,1004
2204.430006,798,1002
2204.435006,733,1000
2204.440006,625,996
2204.445006,765,1003
2204.450006,748,1001
2204.455006,603,1002
2204.460006,663,1003
2204.465005,776,999
2204.470006,652,1001
2204.475006,646,1004
2204.480006,792,1002
2204.485005,742,1001
2204.490007,619,1002
2204.495005,761,1002
2204.500006,760,995
2204.505006,606,999
2204.510005,655,1003
2204.515006,794,1002
2204.520006,640,1000
2204.525006,634,1004
2204.530006,803,1002
2204.535005,738,1000
2204.540007,623,1001
2204.545006,750,1003
2204.550006,764,1002
2204.555005,603,1000
2204.560006,667,1001
2204.565006,781,1002
2204.570007,633,1002
2204.575006,652,996
2204.580006,807,1000
2204.585006,743,1003
2204.590006,616,1003
2204.595006,760,1003
2204.600006,755,1001
2204.605006,594,1002
2204.610006,657,1001
2204.615005,792,1000
2204.620006,642,1000
2204.625007,644,1003
2204.630005,804,996
2204.635005,735,1003
2204.640006,606,1003
2204.645007,761,993
2204.650006,758,1002
2204.655006,590,1001
2204.660006,659,1002
2204.665006,777,998
2204.670006,644,1000
2204.675005,640,1001
2204.680006,812,1001
