t,x,y
822.710006,893,10
822.715006,907,11
822.720006,917,9
822.725006,881,7
822.730007,896,10
822.735006,889,12
822.740006,893,12
822.745005,885,9
822.750005,909,10
822.755005,893,9
822.760006,901,10
822.765005,910,9
822.770006,898,8
822.775005,892,11
822.780006,898,9
822.785005,911,10
822.790006,916,9
822.795005,926,11
822.800005,936,9
822.805006,919,10
822.810006,913,7
822.815006,923,14
822.820005,943,10
822.825005,940,10
822.830006,946,10
822.835006,958,11
822.840006,937,11
822.845006,945,11
822.850005,972,10
822.855006,952,10
822.860006,950,10
822.865005,964,10
822.870005,979,11
822.875006,947,10
822.880005,959,10
822.885006,971,9
822.890006,977,11
822.895005,971,9
822.900005,967,12
822.905005,977,10
822.910005,975,10
822.915005,987,8
822.920005,982,8
822.925005,982,8
822.930007,980,9
822.935007,992,9
822.940005,994,11
822.945007,979,8
822.950006,989,12
822.955006,996,10
822.960006,993,8
822.965006,984,11
822.970006,1005,10
822.975006,1005,10
822.980007,994,8
822.985006,999,9
822.990005,1007,9
822.995006,1007,9
823.000005,1005,11
823.005005,1012,10
823.010006,1017,10
823.015005,1002,8
823.020006,1011,9
823.025006,1012,9
823.030006,1023,10
823.035006,1035,8
823.040006,1008,10
823.045006,1009,9
823.050006,1028,10
823.055006,1036,11
823.060006,1009,9
823.065006,1025,11
823.070007,1038,7
823.075006,1024,10
823.080006,1011,11
823.085006,1030,12
823.090006,1037,10
823.095006,1008,6
823.100006,1026,11
823.105006,1035,9
823.110006,1003,9
823.115005,1015,11
823.120005,1036,9
823.125006,998,11
823.130006,1005,9
823.135005,1014,8
823.140006,1023,7
823.145005,988,10
823.150005,1004,10
823.155005,991,10
823.160005,987,10
823.165006,1001,10
823.170006,982,10
823.175005,982,10
823.180006,982,12
823.185006,963,10
823.190006,958,9
823.195006,955,10
823.200005,969,10
823.205007,962,11
823.210006,955,10
823.215006,939,12
823.220006,944,10
823.225007,936,10
823.230006,941,10
823.235006,950,7
823.240006,941,11
823.245006,912,10
823.250005,919,10
823.255006,917,11
823.260005,902,11
823.265005,920,11
823.270005,927,10
823.275005,889,6
823.280005,893,10
823.285005,908,11
823.290005,908,9
823.295005,902,10
823.300005,885,9
823.305007,894,8
823.310006,878,11
823.315006,890,9
823.320007,886,10
823.325007,878,9
823.330006,862,10
823.335006,876,11
823.340006,874,10
823.345006,868,11
823.350006,868,8
823.355006,871,8
823.360007,857,9
823.365006,856,6
823.370005,863,11
823.375005,822,11
823.380005,825,10
823.385006,844,9
823.390006,843,11
823.395005,815,9
823.400006,822,6
823.405005,826,7
823.410006,789,10
823.415006,793,8
823.420005,796,9
823.425005,761,8
823.430006,761,9
823.435006,770,9
823.440006,761,9
823.445006,732,9
823.450006,744,9
823.455006,745,9
823.460006,728,8
823.465006,714,9
823.470006,726,10
823.475006,722,10
823.480006,717,8
823.485006,712,8
823.490006,712,10
823.495005,715,9
823.500005,731,9
823.505005,721,8
823.510006,722,10
823.515005,739,8
823.520006,737,10
823.525005,745,10
823.530005,763,10
823.535005,788,7
823.540006,774,9
823.545005,789,10
823.550006,817,9
823.555006,844,8
823.560006,828,10
823.565006,850,9
823.570006,876,9
823.575005,882,10
823.580005,896,8
823.585006,894,11
823.590007,912,11
823.595005,922,11
823.600007,939,11
823.605006,949,11
823.610007,953,12
823.615005,959,11
823.620005,981,10
823.625005,984,11
823.630005,1004,9
823.635006,1018,7
823.640006,1023,10
823.645006,1033,10
823.650005,1027,10
823.655005,1044,11
823.660006,1048,10
823.665006,1057,9
823.670006,1056,7
823.675006,1054,10
823.680007,1061,10
823.685006,1086,11
823.690006,1059,6
823.695006,1056,11
823.700006,1071,10
823.705007,1079,10
823.710006,1066,12
823.715006,1088,6
823.720006,1064,11
823.725007,1055,11
823.730007,1067,11
823.735007,1085,11
823.740006,1051,8
823.745005,1052,12
823.750005,1073,33
823.755005,1070,58
823.760005,1042,89
823.765005,1052,120
823.770006,1059,149
823.775006,1050,181
823.780005,1059,214
823.785006,1041,245
823.790006,1038,276
823.795005,1044,308
823.800005,1032,345
823.805007,1032,378
823.810005,1035,412
823.815007,1025,444
823.820006,1017,481
823.825005,993,513
823.830006,1002,553
823.835006,1012,588
823.840005,985,625
823.845007,985,659
823.850007,980,693
823.855006,976,732
823.860007,961,763
823.865005,968,799
823.870005,968,839
823.875005,932,873
823.880006,937,910
823.885005,951,945
823.890006,914,981
823.895005,913,1018
823.900005,920,1057
823.905006,911,1087
823.910005,906,1120
823.915005,882,1159
823.920005,884,1192
823.925005,881,1222
823.930006,860,1260
823.935006,880,1289
823.940006,875,1322
823.945006,849,1354
823.950006,869,1386
823.955006,870,1417
823.960006,837,1450
823.965005,847,1476
823.970006,851,1507
823.975007,845,1538
823.980005,847,1565
823.985007,857,1595
823.990007,850,1620
823.995006,849,1648
824.000005,854,1676
824.005005,835,1702
824.010006,838,1725
824.015005,854,1750
824.020006,841,1773
824.025005,840,1796
824.030005,822,1822
824.035005,837,1844
824.040005,835,1863
824.045006,832,1887
824.050006,851,1907
824.055007,851,1925
824.060006,824,1949
824.065007,838,1966
824.070006,849,1984
824.075006,845,2000
824.080006,831,2021
824.085007,850,2038
824.090007,853,2059
824.095007,828,2077
824.100006,842,2094
824.105007,856,2103
824.110006,833,2127
824.115007,843,2143
824.120006,856,2157
824.125006,859,2172
824.130005,866,2187
824.135005,880,2205
824.140005,851,2220
824.145005,858,2236
824.150005,873,2251
824.155006,875,2265
824.160006,879,2284
824.165005,863,2299
824.170005,884,2310
824.175005,880,2326
824.180006,881,2340
824.185007,896,2354
824.190007,881,2373
824.195007,898,2384
824.200006,920,2398
824.205006,896,2418
824.210006,894,2428
824.215006,908,2442
824.220007,922,2456
824.225006,926,2472
824.230005,907,2485
824.235006,931,2501
824.240005,938,2516
824.245006,918,2539
824.250005,942,2549
824.255006,949,2564
824.260005,948,2578
824.265005,940,2597
824.270005,962,2612
824.275006,973,2627
824.280006,952,2646
824.285006,979,2656
824.290005,991,2675
824.295005,960,2693
824.300005,981,2700
824.305006,996,2715
824.310007,994,2730
824.315006,987,2750
824.320006,1007,2760
824.325007,1011,2775
824.330007,992,2796
824.335006,1028,2810
824.340006,1024,2825
824.345006,1005,2837
824.350006,1023,2849
824.355006,1034,2865
824.360007,1015,2885
824.365005,1031,2896
824.370006,1045,2911
824.375006,1052,2928
824.380005,1028,2947
824.385006,1043,2964
824.390005,1047,2975
824.395005,1050,2990
824.400006,1077,3004
824.405006,1056,3027
824.410006,1069,3039
824.415006,1059,3053
824.420005,1077,3066
824.425006,1073,3079
824.430006,1088,3096
824.435007,1081,3113
824.440006,1078,3125
824.445006,1082,3136
824.450006,1100,3147
824.455007,1113,3166
824.460006,1100,3180
824.465007,1089,3192
824.470006,1104,3203
824.475006,1108,3216
824.480006,1095,3230
824.485007,1114,3237
824.490005,1116,3249
824.495005,1121,3261
824.500005,1142,3276
824.505005,1122,3285
824.510005,1131,3293
824.515005,1119,3311
824.520005,1140,3313
824.525006,1136,3321
824.530005,1149,3335
824.535006,1156,3344
824.540006,1160,3355
824.545005,1130,3367
824.550005,1159,3370
824.555007,1145,3380
824.560006,1148,3386
824.565006,1154,3394
824.570006,1171,3404
824.575006,1146,3414
824.580006,1155,3420
824.585006,1169,3429
824.590005,1153,3448
824.595006,1157,3453
824.600007,1180,3464
824.605006,1163,3469
824.610007,1176,3482
824.615006,1174,3492
824.620005,1162,3504
824.625006,1160,3506
824.630005,1169,3521
824.635006,1188,3534
824.640006,1157,3546
824.645005,1161,3550
824.650005,1177,3563
824.655005,1185,3571
824.660005,1155,3585
824.665005,1173,3594
824.670006,1183,3602
824.675005,1181,3615
824.680006,1162,3624
824.685007,1187,3641
824.690006,1157,3655
824.695007,1160,3658
824.700007,1181,3670
824.705006,1160,3692
824.710007,1157,3696
824.715007,1173,3712
824.720006,1166,3730
824.725006,1155,3737
824.730007,1160,3752
824.735006,1176,3772
824.740006,1150,3786
824.745006,1146,3799
824.750006,1157,3813
824.755005,1166,3821
824.760005,1169,3840
824.765006,1173,3852
824.770005,1154,3867
824.775005,1153,3878
824.780006,1163,3892
824.785005,1160,3905
824.790005,1161,3921
824.795005,1168,3933
824.800005,1162,3943
824.805006,1169,3957
824.810006,1162,3968
824.815006,1169,3984
