t,x,y
147.315006,830,1579
147.320007,880,1579
147.325007,922,1580
147.330006,833,1579
147.335005,838,1578
147.340005,920,1578
147.345005,858,1581
147.350006,825,1577
147.355006,912,1576
147.360005,920,1577
147.365006,828,1579
147.370006,882,1577
147.375005,909,1576
147.380005,837,1581
147.385006,831,1578
147.390007,908,1575
147.395006,873,1576
147.400006,839,1574
147.405006,905,1576
147.410005,918,1574
147.415007,852,1570
147.420007,866,1573
147.425005,916,1573
147.430006,859,1574
147.435006,831,1571
147.440006,914,1571
147.445006,884,1569
147.450005,833,1573
147.455006,916,1571
147.460005,910,1567
147.465005,844,1565
147.470005,870,1565
147.475006,920,1565
147.480006,858,1565
147.485007,830,1564
147.490006,930,1565
147.495005,881,1563
147.500005,828,1562
147.505005,902,1561
147.510006,920,1562
147.515006,842,1558
147.520006,870,1561
147.525005,915,1560
147.530005,851,1557
147.535005,842,1558
147.540007,911,1556
147.545006,875,1557
147.550007,845,1554
147.555006,921,1554
147.560005,932,1551
147.565005,849,1553
147.570007,874,1549
147.575006,919,1549
147.580006,849,1546
147.585005,858,1545
147.590005,925,1548
147.595005,873,1547
147.600005,845,1545
147.605006,924,1543
147.610006,926,1541
147.615005,829,1546
147.620005,875,1544
147.625005,920,1544
147.630005,859,1541
147.635006,834,1544
147.640006,916,1543
147.645006,878,1544
147.650005,854,1546
147.655006,927,1549
147.660005,911,1548
147.665006,840,1551
147.670005,895,1554
147.675007,929,1555
147.680006,842,1557
147.685006,852,1557
147.690006,927,1563
147.695007,877,1564
147.700006,849,1566
147.705007,910,1569
147.710005,924,1570
147.715005,831,1573
147.720006,886,1573
147.725006,926,1574
147.730006,863,1579
147.735007,839,1579
147.740005,923,1582
147.745005,864,1586
147.750005,842,1586
147.755005,899,1589
147.760007,906,1590
147.765006,846,1589
147.770005,897,1593
147.775005,927,1595
147.780006,856,1599
147.785005,840,1598
147.790006,918,1604
147.795006,884,1607
147.800006,836,1604
147.805006,921,1608
147.810006,901,1612
147.815006,845,1613
147.820006,894,1617
147.825006,928,1616
147.830006,836,1622
147.835005,841,1623
147.840005,925,1623
147.845005,890,1626
147.850005,833,1626
147.855007,910,1626
