t,x,y
3564.970006,958,1610
3564.975006,867,1616
3564.980006,827,1616
3564.985005,959,1616
3564.990006,934,1613
3564.995005,821,1617
3565.000006,915,1611
3565.005006,953,1618
3565.010005,811,1617
3565.015006,848,1616
3565.020006,962,1617
3565.025005,888,1619
3565.030006,836,1610
3565.035006,970,1611
3565.040007,927,1621
3565.045007,816,1620
3565.050006,912,1622
3565.055006,957,1620
3565.060007,822,1623
3565.065006,856,1623
3565.070005,978,1621
3565.075006,888,1614
3565.080006,840,1619
3565.085006,952,1623
3565.090006,924,1623
3565.095006,815,1620
3565.100005,905,1617
3565.105006,958,1615
3565.110005,828,1615
3565.115006,868,1613
3565.120005,974,1606
3565.125006,888,1611
3565.130006,826,1616
3565.135005,957,1617
3565.140006,942,1612
3565.145006,809,1613
3565.150006,909,1610
3565.155006,957,1609
3565.160006,829,1606
3565.165007,846,1610
3565.170005,961,1610
3565.175005,885,1605
3565.180007,842,1606
3565.185006,971,1597
3565.190007,924,1605
3565.195006,816,1601
3565.200005,900,1601
3565.205006,948,1598
3565.210006,828,1595
3565.215005,848,1598
3565.220006,974,1596
3565.225007,889,1595
3565.230006,847,1594
3565.235005,977,1591
3565.240005,919,1593
3565.245006,810,1592
3565.250006,901,1592
3565.255006,946,1590
3565.260006,819,1591
3565.265006,864,1590
3565.270006,978,1586
3565.275006,882,1590
3565.280007,825,1595
3565.285005,972,1586
3565.290006,923,1594
3565.295007,819,1589
3565.300007,907,1590
3565.305005,953,1590
3565.310006,819,1590
3565.315006,859,1591
3565.320007,974,1589
3565.325005,888,1588
3565.330006,828,1595
3565.335007,963,1592
3565.340006,933,1592
3565.345005,817,1596
3565.350007,894,1597
3565.355006,941,1598
3565.360006,811,1600
3565.365007,851,1597
3565.370006,967,1597
3565.375006,889,1600
3565.380007,847,1600
3565.385007,978,1593
3565.390006,920,1602
3565.395007,805,1602
3565.400006,896,1605
3565.405006,939,1603
3565.410006,816,1600
3565.415007,855,1602
3565.420006,975,1603
3565.425006,883,1601
3565.430006,841,1599
3565.435007,968,1595
3565.440006,938,1603
3565.445006,824,1601
3565.450006,886,1604
3565.455006,937,1603
3565.460006,816,1603
3565.465006,853,1605
3565.470005,950,1611
3565.475006,889,1603
3565.480005,845,1606
3565.485006,968,1608
3565.490005,936,1607
3565.495006,823,1606
3565.500007,907,1612
3565.505006,951,1611
3565.510006,816,1598
3565.515005,837,1617
3565.520006,956,1614
3565.525007,873,1613
3565.530006,834,1613
3565.535006,968,1605
3565.540006,919,1605
3565.545005,827,1610
3565.550005,913,1609
3565.555006,947,1600
3565.560006,802,1612
3565.565006,845,1610
3565.570005,965,1609
3565.575006,879,1610
3565.580007,838,1600
3565.585006,949,1613
3565.590006,927,1612
3565.595006,824,1610
3565.600006,891,1613
3565.605005,938,1611
3565.610005,812,1611
3565.615006,861,1610
3565.620006,975,1611
3565.625006,886,1611
3565.630007,844,1611
3565.635006,972,1608
3565.640005,931,1613
3565.645006,820,1613
3565.650007,911,1614
3565.655006,930,1617
3565.660005,804,1617
3565.665006,843,1615
3565.670006,960,1614
3565.675005,879,1613
3565.680007,837,1614
3565.685007,959,1619
3565.690006,926,1612
3565.695006,816,1611
3565.700006,915,1611
3565.705007,955,1614
3565.710006,826,1611
3565.715005,854,1608
3565.720006,953,1613
3565.725006,869,1614
3565.730007,832,1613
3565.735007,957,1614
3565.740006,927,1616
3565.745005,817,1613
3565.750006,914,1614
3565.755006,954,1614
