t,x,y
1694.220006,897,1315
1694.225006,873,1316
1694.230005,840,1319
1694.235005,891,1323
1694.240006,884,1321
1694.245005,857,1325
1694.250006,868,1329
1694.255005,890,1330
1694.260005,856,1334
1694.265006,874,1338
1694.270006,906,1342
1694.275005,859,1346
1694.280006,865,1350
1694.285005,912,1354
1694.290005,903,1358
1694.295006,841,1363
1694.300006,891,1366
1694.305006,904,1369
1694.310006,842,1375
1694.315006,867,1378
1694.320006,912,1382
1694.325006,885,1389
1694.330007,853,1394
1694.335006,906,1398
1694.340006,898,1404
1694.345005,872,1408
1694.350006,909,1413
1694.355005,894,1422
1694.360006,860,1424
1694.365007,883,1424
1694.370007,902,1435
1694.375007,876,1435
1694.380005,877,1440
1694.385006,930,1445
1694.390005,891,1452
1694.395006,861,1453
1694.400006,905,1455
1694.405007,922,1458
1694.410007,857,1461
1694.415006,880,1463
1694.420005,923,1467
1694.425005,892,1462
1694.430006,867,1474
1694.435007,912,1473
1694.440007,901,1473
1694.445006,868,1472
1694.450005,912,1471
1694.455005,925,1473
1694.460007,857,1474
1694.465005,878,1474
1694.470006,921,1472
1694.475007,897,1472
1694.480007,888,1472
1694.485005,909,1474
1694.490007,900,1474
1694.495007,874,1474
1694.500006,913,1471
1694.505005,901,1475
1694.510005,863,1477
1694.515007,890,1474
1694.520006,910,1481
1694.525005,883,1479
1694.530005,890,1480
1694.535006,912,1486
1694.540006,911,1487
1694.545005,881,1488
1694.550005,894,1490
1694.555005,905,1493
1694.560005,869,1491
1694.565005,891,1498
1694.570005,932,1498
1694.575006,876,1498
1694.580006,871,1499
1694.585006,924,1500
1694.590006,915,1501
1694.595006,859,1504
1694.600007,900,1508
1694.605006,909,1507
1694.610006,869,1509
1694.615006,895,1510
1694.620005,907,1516
1694.625005,874,1513
1694.630007,875,1510
1694.635006,925,1511
1694.640005,921,1509
1694.645006,860,1511
1694.650006,904,1506
1694.655007,921,1507
1694.660006,853,1505
1694.665006,875,1501
1694.670005,925,1500
1694.675005,884,1497
1694.680007,864,1493
1694.685005,912,1495
1694.690006,905,1492
1694.695006,868,1491
1694.700006,887,1490
1694.705006,905,1485
1694.710006,861,1481
1694.715006,859,1483
1694.720006,900,1478
1694.725007,869,1473
1694.730007,870,1471
1694.735006,916,1464
1694.740006,879,1461
1694.745006,845,1455
1694.750006,891,1450
1694.755006,882,1444
1694.760007,843,1438
1694.765006,866,1434
1694.770007,911,1430
1694.775006,857,1422
1694.780006,849,1423
1694.785005,898,1422
1694.790005,885,1416
1694.795006,842,1417
1694.800007,879,1416
1694.805007,893,1419
1694.810006,832,1419
1694.815006,855,1418
1694.820007,901,1418
1694.825006,867,1420
1694.830005,863,1425
1694.835007,885,1427
1694.840007,879,1430
1694.845006,852,1430
1694.850007,869,1438
1694.855006,881,1442
1694.860006,847,1449
1694.865006,870,1453
1694.870006,907,1457
1694.875006,851,1469
1694.880006,864,1468
1694.885007,889,1473
1694.890005,876,1481
1694.895005,846,1484
1694.900007,891,1486
1694.905005,902,1490
1694.910006,862,1495
1694.915006,853,1500
1694.920005,899,1500
1694.925006,876,1502
1694.930005,856,1507
1694.935005,911,1504
1694.940007,902,1507
1694.945006,843,1510
1694.950005,885,1506
1694.955006,894,1508
1694.960005,853,1508
1694.965005,878,1505
1694.970007,889,1509
1694.975005,861,1505
1694.980006,869,1506
1694.985006,891,1509
1694.990006,879,1506
1694.995006,849,1507
1695.000007,901,1506
1695.005007,881,1507
1695.010007,843,1507
1695.015007,868,1507
1695.020006,906,1508
1695.025005,866,1510
1695.030005,844,1514
1695.035006,896,1517
1695.040006,888,1515
1695.045007,837,1516
1695.050006,870,1522
1695.055006,877,1521
1695.060007,835,1523
1695.065006,853,1524
1695.070006,900,1527
1695.075005,859,1525
1695.080006,835,1530
1695.085006,883,1533
1695.090006,877,1536
1695.095005,852,1537
1695.100006,865,1545
1695.105006,873,1546
1695.110006,837,1546
1695.115007,857,1551
1695.120006,889,1550
1695.125005,836,1555
1695.130007,835,1558
1695.135007,882,1560
1695.140006,877,1566
1695.145006,840,1569
1695.150007,862,1569
1695.155006,860,1576
1695.160005,826,1582
1695.165005,852,1585
1695.170007,868,1590
1695.175005,840,1592
1695.180007,843,1595
1695.185005,893,1600
1695.190006,853,1606
1695.195007,829,1605
1695.200006,876,1611
1695.205006,859,1613
1695.210005,821,1614
1695.215005,845,1616
1695.220006,883,1617
1695.225005,850,1619
1695.230006,849,1621
1695.235007,884,1625
1695.240005,857,1626
1695.245007,831,1628
1695.250006,873,1629
1695.255005,856,1634
1695.260006,819,1634
1695.265006,841,1635
1695.270007,885,1637
1695.275006,850,1639
1695.280006,826,1645
1695.285005,874,1644
1695.290005,867,1647
1695.295006,839,1650
1695.300007,855,1654
1695.305007,862,1657
1695.310007,825,1658
1695.315007,852,1664
1695.320006,887,1667
1695.325006,832,1673
1695.330007,837,1675
1695.335006,891,1681
1695.340007,878,1683
1695.345006,827,1686
1695.350007,862,1693
1695.355006,867,1695
1695.360006,844,1696
1695.365006,835,1697
1695.370006,874,1706
1695.375006,849,1700
1695.380007,852,1704
1695.385006,873,1709
1695.390006,867,1707
1695.395005,837,1706
1695.400007,886,1705
1695.405006,883,1702
1695.410005,825,1706
1695.415005,848,1699
1695.420005,890,1699
1695.425006,859,1696
1695.430006,838,1697
1695.435007,886,1695
1695.440007,879,1692
1695.445006,861,1688
1695.450005,877,1687
1695.455005,886,1684
1695.460006,858,1681
1695.465006,874,1673
1695.470005,891,1671
1695.475005,863,1668
1695.480006,865,1665
1695.485006,912,1659
1695.490007,911,1656
1695.495006,858,1654
1695.500007,906,1648
1695.505007,916,1644
1695.510006,888,1638
1695.515005,883,1640
1695.520005,926,1635
1695.525007,894,1634
1695.530006,912,1631
1695.535007,952,1632
1695.540005,929,1628
1695.545006,904,1632
1695.550007,953,1637
1695.555006,932,1643
1695.560006,896,1645
1695.565006,924,1649
1695.570007,967,1657
1695.575007,941,1666
1695.580006,916,1678
1695.585005,962,1687
1695.590005,955,1700
1695.595006,930,1709
1695.600006,976,1724
1695.605007,955,1737
1695.610007,918,1752
1695.615005,939,1768
1695.620006,982,1784
1695.625005,924,1802
1695.630006,925,1818
1695.635006,968,1838
1695.640005,959,1855
1695.645006,935,1876
1695.650006,964,1897
1695.655006,952,1921
1695.660005,913,1946
1695.665005,938,1970
1695.670007,969,1996
1695.675005,915,2024
1695.680006,922,2052
1695.685006,968,2083
1695.690005,951,2113
1695.695005,897,2146
1695.700006,942,2176
1695.705006,950,2207
1695.710006,893,2237
1695.715007,920,2272
1695.720007,954,2306
1695.725005,900,2338
1695.730006,912,2370
1695.735007,958,2403
1695.740005,918,2437
1695.745007,888,2470
1695.750005,925,2502
1695.755006,931,2536
1695.760006,896,2569
1695.765005,887,2603
1695.770006,930,2634
1695.775005,899,2664
1695.780006,874,2701
1695.785005,921,2726
1695.790005,913,2754
1695.795007,881,2786
1695.800006,926,2814
1695.805005,896,2847
1695.810005,862,2872
1695.815006,888,2896
1695.820006,914,2923
1695.825005,869,2948
1695.830006,877,2973
1695.835006,923,2998
1695.840006,909,3022
1695.845006,850,3049
1695.850006,892,3070
1695.855005,902,3084
1695.860005,866,3101
1695.865006,885,3124
1695.870005,901,3138
1695.875005,865,3151
1695.880006,875,3162
1695.885007,920,3175
1695.890006,906,3186
1695.895006,870,3193
1695.900006,891,3207
1695.905007,896,3207
1695.910007,860,3210
1695.915005,882,3215
1695.920006,926,3214
1695.925006,890,3217
1695.930005,867,3218
1695.935006,914,3211
1695.940006,910,3202
1695.945006,891,3198
1695.950005,908,3189
1695.955006,918,3180
1695.960006,890,3169
1695.965005,893,3156
1695.970006,930,3141
1695.975006,907,3124
1695.980007,918,3105
1695.985005,938,3086
1695.990006,936,3061
1695.995006,910,3034
1696.000007,966,3008
1696.005006,948,2981
1696.010006,926,2950
1696.015005,952,2918
1696.020006,968,2891
1696.025006,943,2856
1696.030007,960,2819
1696.035007,1005,2786
1696.040006,998,2751
1696.045006,953,2729
1696.050006,1004,2690
1696.055006,1016,2655
1696.060007,992,2625
1696.065006,1024,2596
1696.070006,1042,2571
1696.075005,1021,2534
1696.080005,1035,2509
1696.085006,1084,2480
1696.090007,1064,2461
1696.095006,1043,2434
1696.100007,1105,2409
1696.105006,1120,2385
1696.110006,1063,2364
1696.115007,1090,2338
1696.120007,1136,2318
1696.125006,1114,2293
1696.130006,1117,2274
1696.135006,1160,2256
1696.140006,1164,2236
1696.145007,1142,2214
1696.150006,1162,2198
1696.155006,1179,2176
1696.160005,1149,2157
1696.165006,1150,2140
1696.170006,1189,2118
1696.175006,1160,2098
1696.180006,1171,2078
1696.185006,1207,2056
1696.190006,1182,2034
1696.195006,1156,2009
1696.200007,1198,1987
1696.205006,1170,1967
1696.210005,1133,1942
1696.215005,1152,1916
1696.220007,1188,1891
1696.225007,1123,1869
1696.230006,1120,1843
1696.235006,1159,1816
1696.240007,1140,1786
1696.245006,1100,1760
1696.250006,1109,1735
1696.255005,1109,1703
1696.260005,1072,1673
1696.265007,1064,1640
1696.270005,1081,1613
1696.275006,1037,1580
1696.280006,1038,1544
1696.285006,1074,1510
1696.290006,1027,1478
1696.295005,994,1441
1696.300005,1032,1401
1696.305007,1025,1365
1696.310007,962,1325
1696.315007,970,1285
1696.320005,999,1243
1696.325007,960,1200
1696.330006,958,1153
1696.335005,971,1110
1696.340006,956,1062
1696.345005,927,1010
1696.350006,964,958
1696.355006,941,907
1696.360006,901,849
1696.365006,920,793
1696.370006,952,731
1696.375007,887,671
1696.380005,889,606
1696.385005,929,542
1696.390006,915,469
1696.395006,863,410
1696.400007,899,340
1696.405005,900,270
1696.410007,865,197
1696.415007,878,124
1696.420006,895,50
1696.425007,839,9
1696.430006,840,9
1696.435006,881,8
1696.440005,875,8
1696.445006,825,9
1696.450006,865,9
1696.455006,866,9
1696.460007,838,8
1696.465005,854,3
1696.470006,878,4
1696.475005,852,7
1696.480006,829,8
1696.485007,874,5
1696.490007,872,8
1696.495006,821,8
1696.500006,864,8
1696.505005,871,8
1696.510005,834,7
1696.515005,831,7
1696.520005,867,8
1696.525007,847,7
1696.530005,831,8
1696.535006,877,7
1696.540006,876,8
1696.545007,845,5
1696.550005,866,8
1696.555006,873,7
1696.560007,854,8
1696.565006,877,6
1696.570007,889,9
1696.575006,871,8
1696.580006,887,8
1696.585005,935,7
1696.590006,915,5
1696.595005,887,9
1696.600006,937,9
1696.605005,953,7
1696.610005,910,10
1696.615006,942,9
1696.620006,987,8
1696.625006,972,8
1696.630006,987,10
1696.635006,1015,8
1696.640006,1024,9
1696.645007,1019,8
1696.650006,1074,8
1696.655005,1065,10
1696.660006,1052,10
1696.665007,1082,9
1696.670007,1129,10
1696.675005,1113,6
1696.680006,1121,6
1696.685005,1161,8
1696.690006,1131,10
1696.695005,1115,10
1696.700006,1155,10
1696.705006,1170,8
1696.710006,1110,10
1696.715006,1130,10
1696.720006,1163,8
1696.725005,1137,7
1696.730006,1149,9
1696.735007,1157,10
1696.740005,1152,11
1696.745006,1132,11
1696.750006,1171,9
1696.755007,1148,9
1696.760005,1125,10
1696.765006,1148,6
1696.770007,1158,8
1696.775007,1135,11
1696.780005,1141,9
1696.785007,1180,9
1696.790006,1149,5
1696.795005,1122,11
1696.800005,1160,11
1696.805007,1167,9
1696.810006,1130,8
1696.815006,1126,12
1696.820007,1162,9
1696.825007,1134,8
1696.830006,1147,10
1696.835005,1157,11
1696.840005,1151,8
1696.845006,1131,10
1696.850006,1166,4
1696.855007,1149,10
1696.860006,1120,11
1696.865006,1144,8
1696.870005,1152,9
1696.875005,1134,11
1696.880007,1140,8
1696.885006,1155,11
1696.890005,1161,10
1696.895005,1140,8
1696.900006,1148,10
1696.905006,1155,9
1696.910005,1129,11
1696.915005,1147,10
1696.920006,1154,10
1696.925006,1126,10
1696.930006,1140,8
1696.935006,1175,45
1696.940006,1150,171
1696.945007,1143,303
1696.950006,1193,442
1696.955006,1217,580
1696.960006,1172,730
1696.965006,1211,871
1696.970005,1270,1017
1696.975005,1226,1163
