t,x,y
1041.025007,885,1672
1041.030006,914,1672
1041.035005,868,1674
1041.040005,879,1678
1041.045006,892,1679
1041.050006,859,1684
1041.055005,860,1682
1041.060006,906,1682
1041.065006,902,1687
1041.070007,850,1687
1041.075006,896,1686
1041.080007,910,1685
1041.085005,862,1687
1041.090005,894,1686
1041.095006,892,1685
1041.100007,857,1683
1041.105007,859,1676
1041.110007,900,1675
1041.115007,890,1668
1041.120006,871,1664
1041.125006,884,1658
1041.130005,903,1654
1041.135006,860,1648
1041.140006,883,1643
1041.145006,910,1642
1041.150005,850,1636
1041.155005,865,1629
1041.160007,911,1628
1041.165006,867,1619
1041.170006,848,1616
1041.175006,886,1614
1041.180006,885,1613
1041.185006,851,1608
1041.190006,858,1606
1041.195007,890,1605
1041.200005,860,1607
1041.205005,856,1604
1041.210006,886,1604
1041.215006,880,1604
1041.220005,846,1603
1041.225006,884,1606
1041.230005,888,1609
1041.235006,861,1605
1041.240006,865,1600
1041.245005,901,1597
1041.250006,873,1600
1041.255006,839,1597
1041.260006,905,1591
1041.265006,876,1585
1041.270006,848,1580
1041.275005,893,1573
1041.280005,901,1569
1041.285006,854,1563
1041.290006,867,1559
1041.295005,889,1551
1041.300005,863,1542
1041.305006,856,1538
1041.310007,890,1525
1041.315006,873,1524
1041.320006,837,1514
1041.325005,879,1511
1041.330005,888,1507
1041.335006,848,1506
1041.340006,848,1501
1041.345006,879,1494
1041.350007,848,1493
1041.355007,846,1491
1041.360006,870,1490
1041.365007,864,1488
1041.370006,844,1485
1041.375006,867,1484
1041.380006,880,1483
1041.385006,850,1481
1041.390005,866,1485
1041.395006,870,1482
1041.400006,842,1485
1041.405007,843,1483
1041.410006,878,1487
1041.415006,862,1488
1041.420006,842,1493
1041.425006,875,1496
1041.430006,877,1504
1041.435007,835,1512
1041.440007,858,1519
1041.445007,879,1532
1041.450006,853,1544
1041.455006,856,1556
1041.460006,889,1572
1041.465006,861,1582
1041.470005,842,1594
1041.475006,897,1609
1041.480006,908,1624
1041.485006,855,1637
1041.490006,863,1646
1041.495006,884,1656
1041.500006,854,1666
1041.505005,855,1672
1041.510006,900,1677
1041.515005,875,1682
1041.520006,870,1684
1041.525005,883,1692
1041.530005,893,1688
1041.535006,854,1684
1041.540006,869,1684
1041.545006,894,1684
1041.550006,877,1679
1041.555006,852,1675
1041.560006,897,1670
1041.565006,883,1667
1041.570006,856,1662
1041.575005,905,1662
1041.580006,914,1658
1041.585005,856,1655
1041.590006,861,1655
1041.595005,896,1652
1041.600005,867,1650
1041.605006,864,1650
1041.610006,888,1654
