t,x,y
24.585007,1261,1199
24.590005,1294,1203
24.595007,1282,1203
24.600006,1262,1203
24.605005,1307,1202
24.610005,1307,1205
24.615007,1266,1208
24.620005,1300,1209
24.625005,1309,1211
24.630006,1286,1212
24.635007,1298,1213
24.640007,1335,1217
24.645007,1328,1219
24.650005,1308,1223
24.655006,1352,1227
24.660006,1353,1231
24.665005,1308,1234
24.670007,1339,1238
24.675006,1379,1236
24.680006,1326,1243
24.685005,1346,1248
24.690007,1382,1256
24.695006,1376,1254
24.700006,1355,1262
24.705007,1397,1266
24.710006,1402,1270
24.715006,1357,1274
24.720006,1389,1281
24.725005,1402,1288
24.730005,1381,1289
24.735005,1393,1294
24.740007,1427,1303
24.745006,1413,1302
24.750006,1400,1310
24.755005,1440,1317
24.760007,1416,1325
24.765006,1400,1326
24.770006,1424,1338
24.775005,1434,1343
24.780007,1405,1346
24.785006,1427,1355
24.790006,1457,1361
24.795005,1426,1368
24.800005,1428,1372
24.805005,1468,1380
24.810006,1441,1387
24.815006,1400,1393
24.820006,1452,1398
24.825005,1455,1404
24.830007,1398,1411
24.835006,1440,1416
24.840006,1465,1421
24.845005,1426,1429
24.850006,1425,1427
24.855007,1469,1438
24.860006,1436,1440
24.865007,1392,1448
24.870005,1437,1446
24.875006,1443,1458
24.880005,1382,1464
24.885007,1420,1466
24.890005,1437,1470
24.895006,1394,1478
24.900006,1393,1478
24.905006,1426,1487
24.910006,1394,1490
24.915006,1372,1493
24.920006,1393,1496
24.925006,1392,1500
24.930006,1337,1511
24.935006,1375,1508
24.940006,1391,1517
24.945006,1344,1521
24.950006,1343,1521
24.955005,1374,1525
24.960006,1339,1536
24.965006,1317,1537
24.970006,1331,1538
24.975006,1334,1544
24.980005,1276,1546
24.985005,1313,1550
24.990007,1331,1553
24.995005,1285,1560
25.000005,1283,1562
25.005006,1311,1565
25.010006,1276,1571
25.015006,1253,1572
25.020005,1265,1575
25.025007,1264,1582
25.030007,1228,1584
25.035006,1233,1583
25.040006,1257,1588
25.045006,1240,1589
25.050006,1209,1588
25.055005,1240,1590
25.060005,1234,1590
25.065006,1183,1590
25.070006,1203,1590
25.075006,1205,1592
25.080005,1171,1592
25.085006,1175,1588
25.090005,1207,1582
25.095007,1184,1586
25.100006,1152,1585
25.105007,1191,1585
25.110007,1181,1581
25.115005,1129,1581
25.120006,1177,1578
25.125006,1173,1572
25.130005,1118,1573
25.135007,1149,1568
25.140006,1186,1567
25.145006,1142,1566
25.150005,1118,1566
25.155006,1184,1564
25.160005,1148,1558
25.165007,1107,1559
25.170005,1152,1548
25.175005,1156,1550
25.180006,1118,1533
25.185006,1140,1541
25.190007,1171,1537
25.195007,1135,1531
25.200006,1120,1521
25.205006,1182,1520
25.210007,1152,1512
25.215006,1116,1509
25.220006,1166,1501
25.225006,1181,1494
25.230007,1125,1490
25.235007,1141,1490
25.240005,1199,1480
25.245007,1168,1472
25.250006,1149,1471
25.255007,1193,1464
25.260005,1195,1458
25.265005,1152,1455
25.270005,1182,1450
25.275007,1207,1438
25.280006,1167,1437
25.285006,1183,1438
25.290005,1231,1424
25.295007,1214,1428
25.300007,1199,1425
25.305006,1242,1422
25.310005,1223,1420
25.315006,1202,1409
25.320007,1243,1410
25.325006,1254,1410
25.330006,1208,1406
25.335007,1227,1406
25.340006,1292,1398
25.345005,1260,1396
25.350006,1240,1396
25.355007,1285,1393
25.360006,1287,1387
25.365006,1249,1387
25.370006,1277,1387
25.375006,1294,1386
25.380006,1263,1375
25.385006,1284,1379
25.390007,1318,1376
25.395006,1304,1366
25.400006,1287,1371
25.405006,1330,1372
25.410007,1308,1375
25.415006,1295,1371
25.420007,1321,1368
25.425006,1330,1371
25.430005,1308,1366
25.435006,1317,1370
25.440007,1347,1373
25.445005,1340,1368
25.450005,1313,1373
25.455006,1359,1373
25.460007,1336,1376
25.465006,1324,1375
25.470005,1349,1376
25.475006,1357,1381
25.480005,1305,1383
25.485006,1348,1386
25.490005,1371,1388
