t,x,y
6363.575006,811,1630
6363.580006,991,1630
6363.585006,935,1630
6363.590005,788,1629
6363.595006,942,1631
6363.600006,955,1632
6363.605006,783,1630
6363.610006,849,1629
6363.615005,972,1631
6363.620005,822,1635
6363.625005,814,1634
6363.630006,991,1632
6363.635007,930,1632
6363.640007,779,1634
6363.645007,930,1634
6363.650006,948,1634
6363.655005,772,1634
6363.660006,836,1629
6363.665007,980,1630
6363.670007,825,1633
6363.675005,814,1629
6363.680007,986,1633
6363.685006,929,1628
6363.690005,787,1626
6363.695005,937,1630
6363.700005,965,1625
6363.705005,781,1624
6363.710005,849,1622
6363.715006,994,1618
6363.720006,840,1621
6363.725006,820,1624
6363.730006,989,1619
6363.735005,931,1622
6363.740006,784,1618
6363.745005,939,1619
6363.750006,957,1619
6363.755006,778,1619
6363.760006,840,1616
6363.765007,988,1614
6363.770006,829,1615
6363.775005,819,1615
6363.780006,993,1615
6363.785005,936,1617
6363.790005,787,1613
6363.795005,935,1614
6363.800006,948,1617
6363.805006,771,1613
6363.810006,835,1618
6363.815006,986,1616
6363.820005,829,1617
6363.825006,821,1614
6363.830007,998,1618
6363.835006,924,1616
6363.840006,790,1620
6363.845006,941,1619
6363.850005,939,1623
6363.855006,769,1622
6363.860005,830,1620
6363.865006,976,1623
6363.870005,827,1622
6363.875006,812,1622
6363.880006,992,1618
6363.885006,931,1619
6363.890006,787,1617
6363.895006,941,1613
6363.900006,950,1612
6363.905006,771,1612
6363.910006,832,1611
6363.915007,977,1612
6363.920005,826,1612
6363.925005,814,1609
6363.930006,985,1611
6363.935006,923,1610
6363.940005,776,1605
6363.945007,951,1604
6363.950006,961,1607
6363.955006,777,1605
6363.960006,838,1603
6363.965006,974,1606
6363.970006,826,1607
6363.975005,815,1603
6363.980006,988,1603
6363.985005,934,1602
6363.990005,789,1603
6363.995006,939,1607
6364.000007,952,1605
6364.005006,756,1608
6364.010006,827,1609
6364.015006,974,1609
6364.020006,825,1609
6364.025006,816,1612
6364.030005,986,1614
6364.035006,932,1614
6364.040007,791,1615
6364.045007,945,1616
6364.050006,954,1619
6364.055006,771,1617
6364.060005,831,1620
6364.065006,987,1618
6364.070006,834,1621
6364.075006,822,1621
6364.080007,993,1625
6364.085005,935,1623
6364.090006,784,1625
6364.095007,933,1626
6364.100006,947,1625
6364.105005,774,1623
6364.110007,841,1622
6364.115007,987,1626
6364.120007,826,1626
6364.125006,821,1625
6364.130007,1000,1626
6364.135005,939,1626
6364.140006,791,1626
6364.145006,940,1628
6364.150005,953,1628
6364.155007,779,1630
6364.160006,840,1628
6364.165006,991,1627
6364.170005,837,1623
6364.175005,826,1627
6364.180007,997,1628
6364.185006,916,1628
6364.190006,796,1628
6364.195006,925,1631
6364.200006,950,1626
6364.205007,774,1628
6364.210006,839,1629
6364.215006,981,1630
6364.220005,831,1627
6364.225005,822,1626
6364.230006,994,1623
6364.235006,917,1628
6364.240006,775,1625
6364.245006,927,1628
6364.250006,944,1626
6364.255007,770,1625
6364.260006,833,1623
6364.265006,973,1624
6364.270006,824,1620
6364.275005,816,1620
6364.280006,995,1619
6364.285006,943,1616
6364.290006,772,1618
6364.295007,942,1609
6364.300005,940,1613
6364.305006,764,1609
6364.310006,826,1611
6364.315005,976,1610
6364.320006,822,1611
