t,x,y
2442.220006,810,1125
2442.225006,811,1141
2442.230006,783,1158
2442.235005,809,1175
2442.240007,831,1196
2442.245006,796,1214
2442.250006,806,1232
2442.255006,843,1252
2442.260005,820,1271
2442.265007,794,1292
2442.270005,828,1312
2442.275005,832,1331
2442.280005,806,1348
2442.285006,828,1369
2442.290006,855,1385
2442.295005,824,1404
2442.300006,832,1424
2442.305005,866,1443
2442.310007,845,1460
2442.315006,813,1485
2442.320007,854,1499
2442.325005,854,1517
2442.330007,833,1532
2442.335006,850,1547
2442.340005,868,1560
2442.345006,842,1573
2442.350007,856,1587
2442.355006,891,1600
2442.360005,851,1610
2442.365006,838,1623
2442.370005,876,1630
2442.375006,877,1638
2442.380005,848,1647
2442.385005,878,1654
2442.390006,878,1667
2442.395006,853,1668
2442.400006,860,1675
2442.405006,897,1681
2442.410005,886,1686
2442.415006,868,1689
2442.420006,909,1697
2442.425006,878,1700
2442.430005,855,1705
2442.435006,880,1707
2442.440006,904,1713
2442.445005,871,1716
2442.450007,876,1722
2442.455006,915,1726
2442.460006,875,1733
2442.465005,862,1736
2442.470006,908,1741
2442.475007,903,1744
2442.480007,878,1749
2442.485007,896,1756
2442.490006,908,1759
2442.495005,856,1766
2442.500007,865,1766
2442.505006,900,1771
2442.510006,883,1774
2442.515007,868,1778
2442.520006,904,1780
2442.525006,897,1783
2442.530005,867,1786
2442.535007,893,1791
2442.540006,912,1793
2442.545006,885,1796
2442.550006,885,1800
2442.555005,903,1809
2442.560006,885,1813
2442.565005,873,1818
2442.570006,912,1821
2442.575006,907,1827
2442.580006,871,1835
2442.585007,904,1837
2442.590007,930,1842
2442.595006,866,1849
2442.600007,876,1850
2442.605006,916,1852
2442.610006,907,1853
2442.615005,888,1857
2442.620006,923,1859
2442.625007,922,1859
2442.630006,861,1859
2442.635006,890,1856
2442.640005,909,1858
2442.645006,885,1855
2442.650006,890,1856
2442.655006,929,1855
2442.660006,886,1855
2442.665006,870,1851
2442.670006,908,1848
2442.675005,914,1844
2442.680006,887,1842
2442.685007,880,1842
2442.690007,915,1836
2442.695007,885,1836
2442.700006,891,1834
2442.705006,929,1833
2442.710006,884,1832
2442.715005,870,1830
2442.720006,905,1826
2442.725006,907,1823
2442.730006,873,1820
2442.735006,896,1819
2442.740005,918,1814
2442.745006,860,1817
2442.750007,867,1812
2442.755006,902,1812
2442.760005,895,1806
2442.765006,866,1808
2442.770005,900,1805
2442.775005,894,1803
2442.780006,868,1801
2442.785006,892,1802
2442.790006,915,1803
2442.795006,857,1806
2442.800006,863,1812
2442.805005,905,1813
2442.810006,888,1814
2442.815006,874,1819
2442.820005,906,1825
2442.825006,912,1827
2442.830006,873,1835
2442.835006,881,1835
2442.840006,894,1843
2442.845006,869,1845
2442.850006,881,1851
2442.855006,920,1853
2442.860006,901,1860
2442.865005,855,1867
2442.870006,896,1871
2442.875006,894,1876
2442.880006,866,1881
2442.885006,890,1887
2442.890005,914,1895
2442.895007,876,1899
2442.900007,863,1910
2442.905006,903,1913
2442.910006,889,1916
2442.915006,874,1917
2442.920007,914,1924
2442.925006,902,1923
2442.930006,858,1925
2442.935006,882,1920
2442.940006,917,1919
2442.945006,861,1916
