t,x,y
8000.240006,850,1615
8000.245006,893,1605
8000.250007,848,1602
8000.255006,845,1594
8000.260006,887,1582
8000.265006,880,1567
8000.270006,844,1567
8000.275005,886,1555
8000.280007,873,1550
8000.285007,842,1540
8000.290007,859,1532
8000.295005,890,1527
8000.300006,839,1521
8000.305007,848,1509
8000.310005,883,1501
8000.315006,857,1499
8000.320006,840,1484
8000.325005,855,1485
8000.330005,874,1478
8000.335005,827,1467
8000.340005,834,1467
8000.345006,878,1459
8000.350006,833,1454
8000.355005,838,1448
8000.360006,855,1445
8000.365005,864,1437
8000.370005,810,1433
8000.375006,851,1427
8000.380007,842,1424
8000.385006,817,1418
8000.390007,830,1406
8000.395005,841,1410
8000.400006,819,1400
8000.405007,823,1395
8000.410006,842,1393
8000.415006,845,1388
8000.420006,794,1384
8000.425006,834,1376
8000.430006,847,1375
8000.435006,794,1370
8000.440005,809,1364
8000.445006,827,1364
8000.450005,810,1360
8000.455005,803,1354
8000.460005,829,1353
8000.465006,811,1350
8000.470007,784,1347
8000.475006,804,1346
8000.480006,818,1344
8000.485006,768,1346
8000.490005,777,1342
8000.495005,810,1339
8000.500005,789,1336
8000.505005,785,1334
8000.510005,804,1336
8000.515006,810,1331
8000.520005,764,1333
8000.525006,802,1331
8000.530006,813,1331
8000.535005,777,1332
8000.540005,782,1329
8000.545005,803,1333
8000.550006,784,1343
8000.555007,757,1347
8000.560007,803,1352
8000.565006,808,1356
8000.570005,758,1363
8000.575005,803,1369
8000.580006,791,1375
8000.585006,770,1384
8000.590006,785,1391
8000.595006,808,1403
8000.600005,777,1411
8000.605007,787,1420
8000.610006,812,1430
8000.615006,805,1431
8000.620005,763,1456
8000.625005,802,1460
8000.630005,805,1469
8000.635005,780,1481
8000.640007,796,1492
8000.645006,836,1499
8000.650005,793,1514
8000.655005,796,1525
8000.660005,840,1530
8000.665005,810,1548
8000.670005,790,1557
8000.675006,830,1565
8000.680007,838,1576
8000.685006,804,1587
8000.690005,814,1594
8000.695006,848,1600
8000.700005,810,1615
8000.705005,819,1624
8000.710006,842,1634
8000.715006,854,1639
8000.720006,808,1653
8000.725006,841,1659
8000.730006,868,1665
8000.735006,817,1676
8000.740006,841,1681
8000.745005,870,1688
8000.750006,850,1697
8000.755006,856,1701
8000.760006,872,1709
8000.765006,876,1710
8000.770005,857,1721
8000.775006,880,1729
8000.780005,872,1737
8000.785005,854,1742
8000.790006,866,1746
8000.795007,889,1757
8000.800006,876,1760
8000.805006,861,1765
8000.810006,906,1773
8000.815006,891,1777
8000.820005,877,1779
8000.825006,904,1781
8000.830006,909,1791
8000.835006,869,1792
8000.840006,880,1789
8000.845006,920,1798
8000.850007,910,1797
8000.855006,877,1803
8000.860006,917,1805
8000.865005,922,1800
8000.870006,882,1802
8000.875006,916,1800
8000.880007,934,1799
8000.885006,884,1800
8000.890006,899,1797
8000.895007,923,1800
8000.900006,912,1792
8000.905006,890,1791
8000.910006,938,1786
8000.915006,929,1784
8000.920006,884,1785
8000.925007,931,1779
8000.930007,926,1777
8000.935006,901,1774
8000.940005,896,1772
8000.945006,944,1766
8000.950006,898,1765
8000.955006,899,1760
8000.960006,928,1759
8000.965006,932,1751
8000.970006,885,1750
8000.975006,912,1746
8000.980005,938,1743
8000.985006,881,1738
8000.990006,897,1733
8000.995007,946,1724
8001.000006,897,1721
8001.005006,902,1711
8001.010006,929,1708
8001.015006,912,1705
8001.020007,895,1697
8001.025006,899,1688
8001.030007,911,1684
8001.035007,879,1677
8001.040007,883,1659
8001.045006,921,1658
8001.050007,904,1653
8001.055006,870,1641
8001.060006,915,1635
8001.065005,916,1627
8001.070007,865,1620
8001.075005,880,1617
8001.080006,903,1606
8001.085007,860,1602
8001.090006,863,1595
8001.095006,902,1590
8001.100006,882,1575
8001.105006,863,1579
8001.110006,890,1570
8001.115005,884,1570
8001.120006,843,1568
8001.125007,873,1561
8001.130006,893,1557
8001.135006,840,1554
8001.140006,854,1551
8001.145006,895,1536
8001.150006,862,1540
8001.155005,863,1533
8001.160005,879,1530
8001.165005,876,1526
8001.170005,831,1522
8001.175006,868,1517
8001.180007,863,1520
8001.185005,835,1515
8001.190006,851,1509
8001.195006,869,1508
8001.200005,837,1509
8001.205005,831,1505
8001.210006,873,1505
8001.215006,876,1505
8001.220006,841,1503
8001.225005,844,1506
8001.230006,875,1503
8001.235007,833,1497
8001.240005,832,1503
8001.245006,871,1503
8001.250007,843,1505
8001.255005,840,1505
8001.260005,858,1507
8001.265006,870,1507
8001.270007,828,1506
8001.275006,849,1509
8001.280005,868,1511
8001.285005,814,1512
8001.290005,828,1514
8001.295005,854,1512
8001.300005,827,1518
8001.305006,823,1519
8001.310005,851,1522
8001.315006,862,1523
8001.320005,812,1526
8001.325005,851,1525
8001.330005,847,1532
8001.335006,826,1531
8001.340007,822,1532
8001.345006,865,1533
8001.350005,844,1530
8001.355006,828,1541
8001.360006,866,1532
8001.365005,855,1546
8001.370005,808,1552
8001.375005,841,1551
8001.380006,867,1552
8001.385007,809,1556
8001.390005,830,1554
8001.395006,871,1557
8001.400005,825,1564
8001.405006,825,1563
8001.410006,870,1563
8001.415006,847,1565
8001.420006,821,1566
8001.425007,857,1567
