t,x,y
386.245006,973,1980
386.250005,964,1961
386.255005,875,1940
386.260005,846,1918
386.265005,869,1898
386.270006,814,1878
386.275007,767,1852
386.280006,803,1836
386.285006,769,1816
386.290006,712,1793
386.295007,736,1771
386.300006,733,1752
386.305006,655,1730
386.310006,653,1711
386.315006,698,1687
386.320006,642,1665
386.325006,598,1646
386.330006,656,1622
386.335007,647,1597
386.340006,588,1574
386.345006,629,1553
386.350006,634,1525
386.355006,574,1504
386.360007,586,1475
386.365007,637,1453
386.370005,588,1427
386.375005,574,1403
386.380005,612,1380
386.385005,600,1350
386.390005,556,1325
386.395006,610,1299
386.400007,625,1275
386.405007,574,1251
386.410006,593,1226
386.415006,623,1205
386.420006,585,1181
386.425005,579,1157
386.430005,646,1142
386.435005,646,1120
386.440005,603,1103
386.445005,661,1087
386.450006,670,1076
386.455006,610,1062
386.460006,626,1051
386.465006,689,1043
386.470006,653,1036
386.475007,647,1028
386.480006,684,1022
386.485006,686,1022
386.490005,640,1022
386.495005,676,1025
386.500005,700,1021
386.505005,645,1024
386.510005,662,1028
386.515006,725,1035
386.520007,679,1045
386.525005,650,1051
386.530006,715,1059
386.535006,705,1070
386.540005,653,1078
386.545007,710,1089
386.550006,718,1103
386.555006,655,1116
386.560005,663,1129
386.565006,722,1145
386.570005,672,1162
386.575005,659,1179
386.580006,727,1190
386.585007,718,1206
386.590006,668,1226
386.595006,716,1243
386.600007,734,1260
386.605006,676,1278
386.610006,697,1294
386.615005,764,1317
386.620005,715,1332
386.625005,705,1350
386.630006,775,1370
386.635005,780,1391
386.640006,707,1414
386.645007,762,1433
386.650007,792,1450
386.655006,739,1469
386.660006,772,1486
386.665006,822,1507
386.670006,793,1525
386.675006,785,1543
386.680005,853,1563
386.685006,862,1580
386.690006,811,1601
386.695005,865,1618
386.700006,901,1633
386.705005,849,1649
386.710006,883,1664
386.715007,955,1677
386.720007,924,1696
386.725006,892,1711
386.730006,968,1722
386.735006,978,1736
386.740006,929,1749
386.745006,989,1760
386.750005,1016,1773
386.755005,962,1784
386.760006,990,1798
386.765005,1035,1812
386.770005,1010,1817
386.775006,999,1828
386.780007,1069,1836
386.785006,1072,1845
386.790007,1017,1855
386.795007,1047,1864
386.800005,1077,1869
386.805006,1023,1872
386.810005,1035,1877
386.815006,1104,1882
386.820006,1065,1885
386.825006,1041,1886
386.830005,1086,1889
386.835006,1087,1889
386.840006,1028,1888
386.845006,1078,1888
386.850007,1104,1886
386.855006,1043,1881
386.860005,1032,1885
386.865006,1099,1875
386.870005,1056,1871
386.875006,1035,1867
386.880005,1099,1857
386.885005,1091,1852
386.890005,1035,1843
386.895005,1080,1836
386.900006,1099,1827
386.905006,1044,1820
386.910007,1052,1812
386.915007,1114,1805
386.920007,1068,1799
386.925006,1052,1791
386.930005,1088,1784
386.935006,1095,1776
386.940006,1046,1769
386.945006,1086,1764
386.950006,1086,1759
386.955005,1027,1754
386.960007,1039,1746
386.965007,1105,1742
386.970007,1068,1734
386.975006,1050,1731
386.980006,1116,1726
386.985006,1090,1719
386.990005,1039,1714
386.995006,1087,1707
387.000005,1108,1703
387.005005,1046,1694
387.010005,1036,1689
387.015005,1096,1689
387.020005,1058,1677
387.025006,1046,1678
387.030006,1109,1667
387.035006,1081,1667
387.040006,1027,1661
387.045006,1071,1655
387.050006,1100,1653
387.055006,1037,1647
387.060005,1016,1645
387.065005,1070,1642
387.070006,1028,1638
387.075005,1003,1629
387.080005,1069,1624
387.085006,1044,1618
387.090007,975,1620
387.095007,1017,1613
387.100006,1035,1610
387.105006,977,1606
387.110006,959,1609
387.115006,1019,1605
387.120005,976,1601
387.125005,957,1603
387.130005,1007,1604
387.135005,1002,1610
387.140005,941,1614
387.145005,960,1613
387.150007,979,1621
387.155006,924,1623
387.160006,926,1630
387.165006,989,1633
387.170007,939,1639
387.175005,899,1645
387.180006,963,1648
387.185006,961,1648
387.190006,904,1654
387.195006,956,1657
387.200005,953,1664
387.205005,901,1661
387.210006,915,1667
387.215006,983,1667
387.220007,922,1671
387.225007,910,1671
387.230007,977,1674
387.235006,970,1670
387.240006,902,1673
387.245005,956,1678
387.250005,959,1677
387.255006,901,1677
387.260006,920,1676
387.265005,988,1678
