t,x,y
83.450006,852,1550
83.455006,715,1551
83.460007,768,1552
83.465007,885,1550
83.470007,818,1556
83.475005,726,1555
83.480005,864,1559
83.485007,832,1560
83.490007,714,1561
83.495007,777,1566
83.500006,867,1567
83.505006,739,1567
83.510007,757,1575
83.515006,897,1581
83.520006,802,1586
83.525006,735,1589
83.530006,883,1587
83.535006,836,1585
83.540005,703,1598
83.545005,797,1598
83.550007,860,1603
83.555007,731,1601
83.560006,777,1605
83.565006,882,1613
83.570006,816,1606
83.575007,724,1618
83.580005,877,1615
83.585005,840,1616
83.590005,706,1625
83.595006,796,1629
83.600006,879,1628
83.605005,725,1635
83.610006,769,1638
83.615006,904,1637
83.620006,817,1648
83.625006,740,1649
83.630006,889,1650
83.635006,840,1648
83.640007,719,1656
83.645006,785,1659
83.650006,883,1657
83.655006,726,1660
83.660006,772,1658
83.665005,904,1663
83.670005,822,1662
83.675006,748,1660
83.680006,882,1668
83.685006,837,1667
83.690007,717,1664
83.695005,799,1667
83.700006,860,1670
83.705007,736,1668
83.710006,756,1670
83.715006,892,1669
83.720007,826,1666
83.725006,752,1668
83.730006,863,1671
83.735006,841,1668
83.740005,719,1667
83.745006,804,1670
83.750006,866,1674
83.755006,739,1666
83.760005,763,1665
83.765005,893,1667
83.770007,832,1661
83.775006,731,1664
83.780006,875,1659
83.785006,853,1662
83.790006,720,1651
83.795006,783,1655
83.800007,883,1650
83.805005,725,1651
83.810005,769,1649
83.815006,906,1641
83.820006,817,1639
83.825006,736,1638
83.830006,885,1636
83.835005,836,1632
83.840005,708,1627
83.845006,796,1626
83.850006,876,1614
83.855006,730,1618
83.860007,753,1619
83.865006,894,1612
83.870005,834,1608
83.875007,725,1610
83.880006,879,1602
83.885006,850,1598
83.890006,703,1591
83.895007,785,1587
83.900007,878,1585
83.905007,721,1585
83.910006,760,1575
83.915006,898,1567
83.920006,825,1567
83.925006,733,1561
83.930006,872,1553
83.935006,834,1556
83.940006,715,1548
83.945006,768,1549
83.950007,862,1541
83.955006,734,1536
83.960006,746,1534
83.965007,887,1531
83.970006,827,1528
83.975005,719,1525
83.980006,868,1519
83.985006,846,1517
83.990006,704,1521
83.995006,786,1517
84.000007,858,1515
