t,x,y
602.385005,803,1599
602.390006,862,1603
602.395005,833,1603
602.400005,786,1608
602.405005,851,1606
602.410005,840,1605
602.415005,777,1611
602.420005,826,1614
602.425005,853,1616
602.430006,780,1621
602.435006,797,1622
602.440007,882,1626
602.445006,829,1630
602.450006,776,1629
602.455007,862,1632
602.460006,839,1635
602.465006,760,1636
602.470006,825,1636
602.475007,864,1637
602.480007,782,1640
602.485006,820,1639
602.490006,877,1641
602.495006,827,1643
602.500006,783,1642
602.505006,863,1639
602.510005,850,1640
602.515005,766,1639
602.520005,815,1641
602.525005,859,1641
602.530006,780,1641
602.535005,820,1640
602.540005,884,1633
602.545005,826,1634
602.550006,777,1635
602.555007,863,1629
602.560006,848,1626
602.565006,774,1627
602.570006,808,1631
602.575006,865,1623
602.580006,785,1622
602.585006,798,1622
602.590007,882,1620
602.595007,818,1620
602.600006,772,1618
602.605006,857,1617
602.610006,834,1616
602.615005,761,1616
602.620005,828,1614
602.625006,857,1613
602.630006,780,1614
602.635005,817,1609
602.640005,874,1612
602.645006,816,1613
602.650006,786,1609
602.655006,860,1611
602.660006,828,1611
602.665005,776,1612
602.670006,820,1611
602.675006,855,1611
602.680006,780,1612
602.685007,800,1610
602.690006,881,1606
602.695006,833,1608
602.700006,783,1608
602.705006,849,1605
602.710006,829,1607
602.715006,774,1603
602.720005,816,1604
602.725006,849,1605
602.730006,802,1595
602.735006,801,1599
602.740007,862,1598
602.745006,827,1595
602.750005,778,1593
602.755005,853,1585
602.760005,842,1586
602.765006,760,1588
602.770006,803,1588
602.775005,869,1583
602.780005,787,1581
602.785005,801,1577
602.790006,873,1576
602.795005,818,1574
602.800005,786,1574
602.805006,854,1573
602.810006,828,1575
602.815006,753,1577
602.820007,827,1572
602.825006,860,1573
602.830007,774,1570
602.835006,805,1569
602.840007,868,1576
602.845007,816,1573
602.850007,785,1570
602.855007,848,1574
602.860006,829,1573
602.865005,755,1578
602.870005,821,1574
602.875005,856,1573
602.880005,779,1580
602.885005,811,1577
602.890005,867,1573
602.895005,831,1576
602.900005,786,1577
602.905005,840,1577
602.910005,844,1577
602.915005,763,1579
602.920005,801,1583
602.925005,867,1583
602.930006,776,1588
602.935006,811,1588
602.940006,866,1588
602.945006,834,1591
602.950006,772,1596
602.955005,864,1598
602.960007,834,1599
602.965006,754,1600
602.970006,816,1602
602.975006,847,1605
602.980006,797,1605
602.985006,814,1610
602.990006,868,1613
602.995006,826,1614
603.000005,770,1619
603.005005,862,1620
603.010006,828,1620
603.015005,775,1621
603.020005,814,1625
603.025005,873,1626
603.030006,785,1628
603.035005,819,1627
603.040006,875,1631
603.045005,836,1627
603.050005,782,1629
603.055006,850,1631
603.060006,844,1629
603.065006,769,1635
603.070007,808,1639
603.075007,878,1632
603.080006,785,1634
603.085006,817,1633
603.090006,870,1632
603.095006,839,1634
603.100006,782,1631
603.105006,844,1634
603.110006,826,1634
603.115005,780,1631
603.120005,824,1631
603.125006,857,1631
603.130005,798,1627
603.135005,801,1632
603.140005,872,1629
603.145006,833,1631
603.150005,781,1631
603.155005,843,1632
603.160006,846,1631
603.165005,767,1633
603.170006,832,1632
603.175006,859,1633
603.180007,781,1637
603.185005,812,1635
603.190007,877,1635
603.195006,817,1640
603.200007,794,1636
603.205006,851,1638
603.210006,831,1644
603.215006,762,1642
603.220007,828,1639
603.225006,862,1641
603.230006,787,1644
603.235006,807,1638
603.240006,891,1641
603.245006,822,1645
603.250006,790,1644
603.255005,854,1643
603.260005,833,1644
603.265006,786,1643
603.270006,818,1644
603.275006,873,1642
603.280006,801,1644
603.285006,801,1646
603.290005,891,1643
603.295005,838,1644
603.300005,780,1643
603.305006,845,1648
603.310006,843,1643
603.315006,764,1644
603.320006,833,1638
603.325006,866,1640
603.330005,800,1631
603.335007,803,1637
603.340006,885,1633
603.345006,830,1635
603.350006,779,1630
603.355006,843,1631
603.360006,843,1627
603.365006,760,1631
603.370005,829,1622
603.375006,858,1623
603.380006,788,1620
603.385006,814,1618
603.390005,885,1620
603.395005,823,1620
603.400006,774,1619
603.405005,861,1614
603.410005,835,1613
603.415006,777,1610
603.420005,814,1616
603.425005,873,1608
603.430006,785,1612
603.435006,817,1606
603.440006,873,1606
603.445007,819,1609
603.450006,786,1600
603.455006,847,1603
603.460006,851,1598
603.465006,764,1599
603.470007,811,1599
603.475006,855,1598
603.480006,798,1596
603.485006,801,1597
603.490006,872,1594
603.495006,815,1595
603.500006,794,1590
603.505005,842,1594
603.510005,842,1589
603.515005,775,1590
603.520005,812,1589
603.525005,867,1587
603.530005,791,1590
603.535006,793,1595
603.540005,875,1592
603.545005,831,1593
603.550005,778,1595
603.555006,847,1594
603.560006,827,1595
603.565006,766,1595
603.570006,826,1594
603.575006,858,1594
603.580006,789,1593
603.585007,809,1597
603.590007,867,1601
603.595006,819,1601
603.600006,795,1599
603.605007,849,1598
603.610006,828,1602
603.615006,782,1601
603.620006,816,1603
603.625005,858,1603
603.630005,798,1601
603.635006,804,1603
603.640006,875,1607
603.645005,819,1606
603.650006,787,1606
603.655006,858,1608
603.660006,828,1608
603.665006,779,1609
603.670005,813,1606
603.675005,864,1605
603.680006,800,1609
603.685006,797,1610
603.690006,863,1615
603.695006,842,1608
603.700006,788,1613
603.705006,842,1617
603.710005,826,1617
603.715007,778,1620
603.720007,813,1618
603.725006,856,1624
603.730006,808,1620
603.735006,802,1625
603.740005,867,1624
603.745005,841,1625
603.750005,771,1634
603.755006,864,1630
603.760005,833,1633
603.765005,776,1631
603.770005,820,1642
603.775006,861,1644
603.780006,790,1649
603.785005,815,1647
603.790005,876,1654
603.795005,821,1658
603.800005,786,1656
603.805005,852,1658
603.810006,835,1664
603.815006,781,1659
603.820006,828,1666
603.825006,863,1664
603.830006,813,1661
603.835006,811,1666
603.840006,872,1665
603.845007,843,1664
603.850006,785,1666
603.855006,872,1659
603.860007,850,1659
603.865007,764,1662
603.870005,833,1658
603.875005,869,1658
603.880005,789,1658
603.885006,822,1654
603.890006,881,1656
603.895006,828,1658
603.900006,799,1655
603.905005,856,1650
603.910006,832,1651
603.915005,775,1649
603.920005,828,1643
603.925005,865,1646
603.930007,788,1643
603.935006,817,1641
603.940006,871,1642
603.945006,841,1638
603.950006,776,1636
603.955006,866,1632
603.960007,845,1631
603.965006,769,1630
603.970006,827,1628
603.975006,856,1631
603.980006,796,1624
603.985006,817,1621
603.990007,874,1618
603.995006,843,1617
604.000006,779,1616
604.005006,842,1617
604.010005,840,1618
604.015005,780,1611
604.020005,812,1614
604.025005,855,1615
604.030006,799,1607
604.035005,800,1608
604.040005,880,1603
604.045005,821,1604
604.050005,769,1606
604.055006,859,1603
604.060006,835,1601
604.065006,759,1605
604.070006,827,1600
604.075006,865,1601
604.080007,787,1600
604.085006,816,1602
604.090007,875,1602
604.095006,816,1602
604.100006,787,1600
604.105005,845,1599
604.110006,827,1603
604.115005,772,1601
604.120005,814,1605
604.125005,862,1601
604.130005,783,1608
604.135006,816,1606
604.140005,874,1606
604.145006,815,1609
604.150005,784,1608
604.155006,848,1608
604.160006,830,1609
604.165005,780,1609
604.170005,818,1611
604.175005,861,1613
604.180006,790,1613
604.185006,817,1613
604.190006,870,1616
604.195006,833,1614
604.200007,786,1619
604.205006,839,1620
604.210007,849,1620
604.215006,766,1618
604.220006,813,1622
604.225007,875,1619
604.230006,787,1621
604.235007,814,1621
604.240007,872,1626
604.245005,831,1624
604.250005,778,1628
604.255006,863,1628
604.260006,838,1629
604.265005,760,1632
604.270005,830,1631
604.275006,860,1633
604.280006,802,1632
604.285005,801,1636
604.290005,866,1641
604.295006,836,1638
604.300005,785,1640
604.305006,861,1638
604.310006,842,1643
604.315006,766,1646
604.320007,827,1645
604.325005,866,1649
604.330006,800,1654
604.335006,797,1657
604.340007,888,1654
604.345006,830,1659
604.350005,779,1657
604.355006,865,1657
604.360007,841,1658
604.365005,765,1659
604.370006,827,1658
604.375005,858,1659
604.380005,813,1652
604.385005,814,1654
604.390005,869,1657
604.395005,843,1651
604.400005,795,1651
604.405005,851,1650
604.410005,833,1651
604.415006,780,1647
604.420005,814,1646
604.425005,877,1644
604.430007,800,1645
604.435007,806,1642
604.440006,871,1638
604.445007,842,1635
604.450006,778,1635
604.455006,865,1631
604.460006,845,1630
604.465007,766,1627
604.470007,813,1626
604.475007,880,1623
604.480006,796,1622
604.485006,798,1622
604.490005,884,1619
604.495005,821,1616
604.500006,776,1615
604.505006,860,1609
604.510005,837,1605
604.515005,778,1603
604.520005,818,1602
604.525006,852,1602
604.530006,789,1603
604.535005,817,1597
604.540005,873,1592
604.545005,833,1588
604.550006,782,1594
604.555006,836,1590
604.560006,844,1584
604.565007,756,1589
604.570007,820,1582
604.575007,866,1580
604.580006,784,1584
604.585006,795,1581
604.590006,876,1573
604.595006,830,1571
604.600006,775,1574
604.605006,839,1571
604.610006,824,1578
604.615005,768,1567
604.620006,820,1569
604.625005,857,1568
604.630006,786,1568
604.635005,809,1566
604.640005,871,1571
604.645005,813,1570
604.650005,779,1569
604.655005,835,1567
604.660005,845,1565
604.665005,768,1569
604.670005,806,1571
604.675005,857,1566
604.680006,791,1570
604.685007,791,1569
604.690006,857,1573
604.695005,828,1569
604.700006,779,1572
604.705007,836,1575
604.710006,850,1572
604.715007,765,1576
604.720006,807,1576
604.725007,874,1576
604.730006,795,1579
604.735007,798,1581
604.740007,861,1585
604.745005,839,1586
604.750005,779,1587
604.755006,846,1591
604.760006,829,1593
604.765005,780,1589
604.770005,813,1596
604.775005,850,1602
604.780006,804,1596
604.785006,799,1601
604.790006,883,1603
604.795005,815,1605
604.800005,769,1608
604.805006,856,1608
604.810006,832,1608
604.815006,759,1609
604.820006,825,1611
604.825007,863,1614
604.830007,802,1612
604.835007,808,1615
604.840006,871,1617
604.845006,816,1625
604.850006,781,1624
604.855007,859,1624
604.860006,838,1625
604.865006,769,1626
604.870006,810,1627
604.875005,873,1628
604.880005,800,1633
604.885006,819,1628
604.890005,869,1633
604.895005,839,1632
604.900005,774,1634
604.905006,849,1632
604.910005,833,1633
604.915005,780,1634
604.920005,826,1633
604.925006,861,1636
604.930006,806,1636
604.935006,796,1636
604.940005,884,1634
604.945006,822,1638
604.950007,772,1636
604.955006,847,1633
604.960006,850,1638
604.965006,766,1641
604.970006,807,1638
604.975006,881,1636
604.980006,800,1639
604.985006,794,1643
604.990005,871,1642
604.995005,840,1644
605.000006,779,1644
605.005005,841,1646
605.010006,857,1649
605.015005,764,1652
605.020006,828,1656
605.025006,876,1654
605.030005,794,1658
605.035005,794,1665
605.040005,897,1666
605.045006,836,1669
605.050005,769,1672
605.055006,861,1670
605.060007,850,1675
605.065006,761,1682
605.070007,828,1684
605.075006,881,1685
