t,x,y
360.770005,825,1617
360.775006,857,1621
360.780006,839,1622
360.785005,809,1621
360.790006,853,1624
360.795006,840,1625
360.800006,809,1628
360.805006,808,1631
360.810005,840,1634
360.815005,807,1636
360.820006,827,1637
360.825005,868,1636
360.830005,839,1641
360.835007,803,1640
360.840007,855,1639
360.845006,839,1636
360.850006,788,1647
360.855007,818,1647
360.860006,844,1643
360.865005,810,1645
360.870006,829,1646
360.875005,863,1646
360.880005,842,1646
360.885006,812,1648
360.890006,850,1647
360.895006,848,1647
360.900006,807,1649
360.905006,814,1648
360.910006,840,1649
360.915007,801,1654
360.920006,826,1659
360.925006,866,1651
360.930005,846,1651
360.935005,801,1655
360.940005,848,1658
360.945005,842,1653
360.950005,807,1653
360.955006,836,1656
360.960006,856,1654
360.965006,815,1653
360.970007,829,1652
360.975006,867,1656
360.980007,837,1651
360.985007,819,1654
360.990006,859,1651
360.995005,847,1648
361.000005,792,1648
361.005006,810,1649
361.010005,842,1648
361.015006,808,1647
361.020006,821,1646
361.025007,859,1643
361.030006,844,1643
361.035006,821,1644
361.040006,847,1635
361.045006,832,1640
361.050006,806,1638
361.055005,828,1637
361.060006,845,1631
361.065006,799,1638
361.070005,815,1634
361.075005,855,1633
361.080005,833,1632
361.085006,813,1635
361.090007,846,1629
361.095006,851,1626
361.100006,786,1628
361.105006,814,1626
361.110007,839,1626
361.115007,798,1621
361.120006,810,1625
361.125006,852,1620
361.130006,832,1618
361.135005,808,1617
361.140006,847,1616
361.145006,835,1615
361.150006,800,1615
361.155006,824,1611
361.160007,842,1612
361.165007,803,1612
361.170006,825,1611
361.175006,863,1608
361.180006,837,1606
361.185005,808,1607
361.190005,850,1607
361.195005,843,1603
361.200005,795,1602
361.205006,821,1605
361.210006,850,1601
361.215007,811,1602
361.220005,821,1599
361.225006,860,1601
361.230006,844,1600
361.235006,790,1601
361.240005,833,1602
361.245005,822,1602
361.250006,794,1598
361.255005,811,1603
361.260005,834,1604
361.265005,796,1604
361.270005,828,1601
361.275005,867,1605
361.280006,833,1602
361.285007,820,1601
361.290006,850,1601
361.295006,843,1603
361.300006,789,1601
361.305005,830,1607
361.310005,851,1606
361.315005,810,1607
361.320005,815,1609
361.325006,847,1609
361.330006,821,1613
361.335006,795,1616
361.340006,844,1618
361.345007,830,1615
361.350006,790,1618
361.355007,817,1618
361.360007,843,1621
361.365005,809,1619
361.370005,828,1623
361.375005,865,1624
361.380005,841,1626
361.385005,817,1622
361.390006,858,1628
361.395006,847,1630
361.400007,802,1629
361.405007,832,1637
361.410007,847,1630
361.415006,796,1638
361.420006,817,1637
361.425007,856,1638
361.430005,834,1641
361.435005,820,1641
361.440006,857,1642
361.445005,845,1640
361.450005,813,1641
361.455006,812,1646
361.460006,836,1647
361.465007,811,1647
361.470006,826,1648
361.475006,865,1647
361.480007,834,1643
361.485006,806,1647
361.490006,848,1645
361.495005,834,1645
361.500005,802,1646
361.505005,832,1643
361.510005,860,1646
361.515005,814,1646
361.520006,824,1646
361.525007,857,1644
361.530006,835,1650
361.535006,813,1651
361.540006,855,1650
361.545006,849,1644
361.550006,805,1649
361.555006,830,1650
361.560005,851,1646
361.565005,795,1651
361.570006,826,1644
361.575005,848,1646
361.580006,826,1648
361.585006,807,1646
361.590006,847,1641
361.595006,840,1638
361.600006,806,1640
361.605006,832,1640
361.610007,857,1637
361.615006,819,1629
361.620007,823,1631
361.625005,841,1635
361.630006,819,1634
361.635006,799,1628
361.640005,838,1629
361.645006,835,1624
361.650006,803,1621
361.655006,828,1618
361.660006,848,1615
361.665007,811,1616
361.670006,818,1611
361.675006,859,1610
361.680006,829,1610
361.685005,806,1605
361.690005,846,1605
361.695006,837,1601
361.700006,804,1600
361.705006,825,1598
361.710006,846,1599
361.715006,815,1596
361.720006,799,1597
361.725006,845,1595
361.730006,825,1593
361.735007,798,1593
361.740006,836,1593
361.745006,828,1596
361.750006,792,1592
361.755005,826,1592
361.760005,852,1589
361.765006,808,1587
361.770007,800,1589
361.775006,845,1589
361.780006,828,1587
361.785006,811,1588
361.790006,849,1589
361.795006,841,1588
361.800006,796,1590
361.805006,824,1590
361.810006,855,1587
361.815005,813,1589
361.820005,801,1592
361.825005,844,1594
361.830005,822,1595
361.835005,797,1597
361.840006,834,1597
361.845007,824,1599
361.850007,787,1602
361.855007,815,1602
361.860007,842,1602
361.865005,803,1606
361.870005,815,1605
