t,x,y
1816.150005,680,1007
1816.155005,633,1010
1816.160006,789,1006
1816.165006,748,1009
1816.170006,629,1007
1816.175006,728,1006
1816.180006,764,1008
1816.185006,630,1007
1816.190005,655,1006
1816.195006,794,999
1816.200006,699,1011
1816.205006,636,1009
1816.210005,790,1007
1816.215006,757,1010
1816.220006,611,1012
1816.225006,728,1008
1816.230005,758,1011
1816.235005,629,1009
1816.240007,660,1009
1816.245006,779,1011
1816.250006,708,1004
1816.255006,642,1009
1816.260006,777,1011
1816.265006,756,1011
1816.270006,618,1010
1816.275005,711,1013
1816.280005,778,1010
1816.285006,617,1010
1816.290006,668,1010
1816.295006,791,1009
1816.300006,686,1011
1816.305005,657,1007
1816.310006,789,1010
1816.315005,753,1008
1816.320005,633,1003
1816.325007,728,1009
1816.330006,761,1010
1816.335005,633,1007
1816.340005,657,1009
1816.345006,782,1009
1816.350006,689,1010
1816.355006,653,1007
1816.360007,783,1009
1816.365005,744,1011
1816.370007,634,1009
1816.375006,708,1009
1816.380006,780,1009
1816.385006,630,1010
1816.390006,658,1009
1816.395006,779,1012
1816.400006,709,1005
1816.405006,644,1008
1816.410006,775,1012
1816.415007,740,1011
1816.420006,629,1011
1816.425006,717,1011
1816.430005,775,1010
1816.435006,630,1007
1816.440005,652,1010
1816.445005,783,1011
1816.450006,704,1003
1816.455006,649,1010
1816.460005,788,1008
1816.465005,744,1009
1816.470006,630,1009
1816.475005,711,1010
1816.480006,762,1011
1816.485006,635,1001
1816.490007,670,1010
1816.495006,777,1011
1816.500007,701,1009
1816.505006,629,1013
1816.510005,772,1010
1816.515006,754,1008
1816.520005,611,1011
1816.525007,706,1010
1816.530007,781,1007
1816.535006,638,1011
1816.540006,659,1010
1816.545005,780,1011
1816.550005,711,1006
1816.555006,652,1010
1816.560007,781,1008
1816.565005,746,1010
1816.570005,614,1005
1816.575006,726,1008
1816.580007,777,1008
1816.585007,625,1011
1816.590006,670,1007
1816.595006,779,1010
1816.600006,707,1008
1816.605006,631,1003
1816.610006,770,1008
1816.615006,764,1007
1816.620005,608,1009
1816.625005,715,1008
1816.630006,761,1007
1816.635005,639,1007
1816.640006,654,1007
1816.645006,795,1004
1816.650006,698,1008
1816.655007,631,1006
1816.660006,770,1009
1816.665007,741,1007
1816.670005,627,1003
1816.675005,716,1005
1816.680006,769,1006
1816.685006,634,1003
1816.690005,657,1006
1816.695005,778,1008
1816.700007,692,1008
1816.705005,649,1003
1816.710007,774,1007
1816.715005,744,1006
1816.720007,635,1002
1816.725005,707,1007
1816.730006,763,1010
1816.735005,622,1006
1816.740006,675,1005
1816.745006,791,1006
1816.750006,697,1006
1816.755005,650,1005
1816.760005,786,1001
1816.765007,766,1004
1816.770006,619,1007
1816.775006,698,1010
1816.780006,782,1007
1816.785005,625,1007
1816.790005,653,1004
1816.795006,782,1007
1816.800006,717,1006
1816.805006,641,1005
1816.810007,773,1009
1816.815006,749,998
1816.820007,631,1006
1816.825007,703,1008
1816.830006,786,1007
1816.835005,638,1009
1816.840006,661,1009
1816.845005,780,1008
1816.850005,708,1006
1816.855007,632,1011
1816.860005,787,1007
1816.865007,765,1009
1816.870006,612,1011
1816.875006,715,1009
1816.880005,772,1010
1816.885005,628,1011
1816.890007,671,1007
1816.895006,790,1010
1816.900005,699,1010
1816.905005,649,1008
1816.910006,775,1003
1816.915006,767,1008
1816.920005,619,1012
1816.925005,702,1010
1816.930006,769,1010
1816.935006,641,1004
1816.940006,668,1007
1816.945007,783,1009
1816.950006,697,1009
1816.955006,647,1008
1816.960006,774,1009
1816.965006,746,1012
1816.970006,626,1008
1816.975006,702,1011
1816.980007,763,1011
1816.985006,633,1001
1816.990006,671,1011
1816.995005,791,1010
1817.000006,721,1009
1817.005005,646,1008
1817.010005,777,1010
1817.015006,744,1011
1817.020006,628,1009
1817.025006,702,1009
1817.030006,764,1013
1817.035006,638,1011
1817.040007,655,1012
1817.045007,799,1010
1817.050007,717,1009
1817.055006,649,1006
1817.060006,778,1010
1817.065005,749,1011
1817.070005,622,1010
1817.075006,700,1011
1817.080006,764,1013
1817.085005,638,1003
1817.090005,652,1011
1817.095006,796,1009
1817.100006,718,1008
1817.105007,636,1009
1817.110005,769,1010
1817.115006,742,1009
1817.120005,619,1013
1817.125006,697,1009
1817.130006,782,1006
1817.135006,637,1009
1817.140006,664,1011
1817.145007,788,1011
1817.150006,717,1008
1817.155007,638,1012
1817.160006,763,1011
1817.165006,760,1009
1817.170006,614,1010
1817.175006,714,1008
1817.180005,773,1010
1817.185005,623,1009
1817.190006,650,1011
1817.195006,794,1009
1817.200006,711,1007
1817.205006,633,1009
1817.210005,765,1012
1817.215005,758,1008
1817.220006,613,1007
1817.225006,691,1005
1817.230006,785,1006
1817.235006,625,1010
1817.240006,666,1007
1817.245006,782,1013
1817.250006,722,1006
1817.255006,632,1006
1817.260006,784,1005
1817.265006,747,1009
1817.270006,613,1007
1817.275005,707,1005
1817.280006,778,1009
1817.285005,630,1005
1817.290006,647,1008
1817.295006,806,1003
1817.300007,714,1008
1817.305007,627,1009
1817.310007,771,1007
1817.315007,770,1002
1817.320005,617,1005
1817.325007,691,1005
1817.330007,787,998
1817.335006,638,1005
1817.340006,661,1004
1817.345005,787,1006
1817.350005,725,997
1817.355006,645,1004
1817.360006,767,1008
1817.365006,769,1004
1817.370006,619,1006
1817.375006,698,1000
1817.380005,764,1006
1817.385005,645,1006
1817.390006,657,1005
1817.395006,782,1007
1817.400006,728,1006
1817.405006,636,1006
1817.410005,783,1005
1817.415005,758,1007
1817.420006,628,1001
1817.425007,698,1007
1817.430006,786,1008
1817.435007,639,1006
1817.440007,647,1007
1817.445006,795,1006
1817.450006,719,1008
1817.455006,626,1010
1817.460006,778,1005
1817.465007,748,1010
1817.470007,611,1010
1817.475005,707,1007
1817.480005,786,1009
1817.485005,633,1008
1817.490007,669,1010
1817.495006,781,1010
1817.500006,715,1012
1817.505005,653,1005
1817.510006,774,1011
1817.515005,751,1009
1817.520005,625,1001
1817.525006,704,1008
1817.530006,773,1011
1817.535005,646,1004
1817.540006,664,1009
1817.545006,786,1010
1817.550006,717,1001
1817.555005,638,1010
1817.560005,764,1012
1817.565007,763,1011
1817.570006,619,1010
1817.575006,701,1002
1817.580007,781,1010
1817.585007,637,1011
1817.590006,656,1011
1817.595005,809,1007
1817.600005,727,1010
1817.605006,636,1011
1817.610007,765,1013
1817.615005,754,1010
1817.620006,616,1010
1817.625006,701,1009
1817.630007,775,1011
1817.635007,651,1011
1817.640006,667,1009
1817.645006,789,1011
1817.650006,733,1004
1817.655006,635,1008
1817.660005,781,1011
1817.665005,752,1010
1817.670007,635,1009
1817.675006,691,1010
1817.680005,769,1011
1817.685005,649,1009
1817.690006,660,1011
1817.695006,786,1008
1817.700006,731,1011
1817.705006,645,1009
1817.710006,767,1010
1817.715006,768,999
1817.720005,634,1007
1817.725005,698,1009
1817.730006,772,1008
1817.735006,648,1009
1817.740007,649,1009
1817.745006,806,1012
1817.750007,731,1011
1817.755006,633,1010
1817.760006,769,1009
1817.765005,774,1007
1817.770005,627,1009
1817.775006,690,1012
1817.780006,773,1010
1817.785006,655,1006
1817.790006,660,1008
1817.795005,786,1012
1817.800005,741,1007
1817.805007,635,1010
1817.810006,764,1009
1817.815006,769,1011
1817.820007,622,1012
1817.825007,688,1009
1817.830007,768,1012
1817.835007,653,1009
1817.840006,658,1011
1817.845006,789,1010
1817.850006,721,1011
1817.855007,650,1005
1817.860005,763,1010
1817.865006,769,1007
1817.870005,629,1006
1817.875006,694,1009
1817.880006,774,1006
1817.885006,636,1009
1817.890005,655,1000
1817.895005,798,1000
1817.900006,730,1007
1817.905007,627,1008
1817.910006,761,1009
1817.915006,746,1009
1817.920005,619,1010
1817.925005,680,1005
1817.930006,790,1006
1817.935007,644,1006
1817.940007,645,1009
1817.945006,803,1007
1817.950006,731,1006
1817.955006,634,1008
1817.960006,754,1010
1817.965007,746,1010
1817.970006,614,1007
1817.975007,695,1009
1817.980006,774,1009
1817.985006,636,1010
1817.990006,658,1007
1817.995006,783,1007
1818.000006,748,1002
1818.005006,634,1007
1818.010006,763,1007
1818.015006,748,1009
1818.020006,624,1010
1818.025005,670,1008
1818.030005,782,1008
1818.035006,635,1007
1818.040006,661,1008
1818.045005,793,1006
1818.050006,733,1006
1818.055005,625,1008
1818.060005,776,1002
1818.065006,760,1006
1818.070006,616,1007
1818.075006,668,1011
1818.080006,792,1006
1818.085006,659,1004
1818.090007,658,1009
1818.095006,795,1007
1818.100005,722,1008
1818.105006,632,1009
1818.110006,756,1011
1818.115005,747,1013
1818.120007,628,1008
1818.125005,677,1011
1818.130006,774,1009
1818.135006,650,1001
1818.140006,666,1001
1818.145006,787,1009
1818.150006,742,1005
1818.155006,629,1008
1818.160005,751,1011
1818.165005,771,1009
1818.170007,617,1009
1818.175006,671,1011
1818.180005,770,1011
1818.185005,647,1010
1818.190006,647,1003
1818.195007,789,1011
1818.200006,725,1012
1818.205005,636,1010
1818.210006,755,1012
1818.215007,770,1009
1818.220007,623,1011
1818.225005,667,1012
1818.230006,792,1009
1818.235006,642,1011
1818.240006,644,1011
1818.245005,782,1011
1818.250005,742,1011
1818.255007,641,1009
1818.260005,752,1011
1818.265006,751,1010
1818.270006,629,1009
1818.275005,674,1010
1818.280006,773,1009
1818.285006,640,1009
1818.290006,662,1005
1818.295006,789,1012
1818.300006,729,1010
1818.305006,617,1014
1818.310006,768,1010
1818.315005,755,1011
1818.320006,624,1001
1818.325005,668,1011
1818.330006,791,1010
1818.335006,652,1010
1818.340007,646,1010
1818.345006,798,1006
1818.350006,739,1009
1818.355007,625,1008
1818.360005,748,1011
1818.365006,766,1008
1818.370007,613,1010
1818.375006,676,1001
1818.380006,787,1010
1818.385006,652,1010
1818.390005,646,1008
1818.395006,806,1004
1818.400005,734,1011
1818.405006,623,1010
1818.410005,749,1011
1818.415006,747,1008
1818.420005,622,1009
1818.425005,673,1009
1818.430006,774,1009
1818.435007,665,1010
1818.440007,654,1010
1818.445006,796,1009
1818.450006,734,1010
1818.455006,644,1005
1818.460006,760,1009
1818.465006,750,1010
1818.470006,625,1008
1818.475006,675,1009
1818.480005,777,1009
1818.485005,644,1010
1818.490007,642,1011
1818.495007,797,1003
1818.500006,738,1007
1818.505005,621,1008
1818.510006,751,1011
1818.515006,762,999
1818.520007,621,1009
1818.525006,671,1009
1818.530006,779,1010
1818.535005,650,1008
1818.540006,665,1009
1818.545005,796,1008
1818.550006,736,1010
1818.555006,641,1009
1818.560006,758,1005
1818.565006,757,1009
1818.570006,607,1010
1818.575005,659,1010
1818.580006,786,1009
1818.585006,673,1006
1818.590006,645,1008
1818.595005,779,1008
1818.600005,748,1010
1818.605006,628,1008
1818.610006,743,1011
1818.615006,771,1009
1818.620006,619,1010
1818.625005,674,1000
1818.630006,782,1008
1818.635006,647,1011
1818.640006,661,1002
1818.645006,789,1009
1818.650005,741,1010
1818.655006,617,1012
1818.660005,767,1006
1818.665005,760,1010
1818.670005,612,1009
1818.675005,676,1007
1818.680006,789,1010
1818.685006,653,1009
1818.690006,662,1010
1818.695006,794,1008
1818.700006,746,1008
1818.705007,622,1007
1818.710005,757,1009
1818.715005,762,1007
1818.720006,627,1000
1818.725006,681,1007
1818.730007,790,1010
1818.735006,654,1011
1818.740007,671,1008
1818.745006,790,1011
1818.750006,752,1001
1818.755006,640,1011
1818.760007,751,1007
1818.765005,757,1011
1818.770005,633,1009
1818.775006,668,1009
1818.780007,779,1011
1818.785006,676,1008
1818.790006,660,1012
1818.795006,784,1008
1818.800007,747,1001
1818.805006,621,1009
1818.810007,746,1011
1818.815006,752,1013
1818.820005,623,1008
1818.825006,674,1008
1818.830007,778,1009
1818.835007,671,1005
1818.840006,639,1012
1818.845005,798,1008
1818.850006,740,1009
1818.855006,642,1004
