t,x,y
829.855006,844,1669
829.860005,836,1674
829.865006,812,1678
829.870005,824,1679
829.875005,849,1677
829.880005,823,1680
829.885006,831,1682
829.890006,841,1684
829.895005,824,1690
829.900005,823,1691
829.905005,834,1692
829.910005,851,1687
829.915005,825,1688
829.920005,837,1690
829.925005,844,1689
829.930006,812,1689
829.935006,833,1685
829.940006,852,1686
829.945005,835,1685
829.950007,821,1685
829.955006,833,1681
829.960006,831,1673
829.965006,822,1680
829.970006,830,1674
829.975006,830,1673
829.980005,825,1666
829.985006,817,1667
829.990005,828,1667
829.995005,834,1664
830.000005,818,1659
830.005005,828,1658
830.010005,850,1651
830.015005,822,1654
830.020006,829,1652
830.025006,826,1651
830.030005,826,1646
830.035006,827,1643
830.040006,840,1638
830.045006,818,1636
830.050005,816,1636
830.055006,828,1634
830.060006,821,1631
830.065006,831,1625
830.070005,835,1623
830.075007,832,1620
830.080007,809,1620
830.085007,811,1622
830.090006,847,1616
830.095006,822,1613
830.100006,812,1615
830.105006,823,1614
830.110006,837,1610
830.115006,815,1608
830.120007,822,1608
830.125007,828,1601
830.130005,807,1605
830.135005,808,1606
830.140006,849,1596
830.145005,820,1597
830.150006,817,1589
830.155005,842,1595
830.160006,826,1592
830.165005,801,1589
830.170005,830,1580
830.175005,830,1588
830.180006,811,1586
830.185006,808,1587
830.190007,835,1577
830.195006,819,1586
830.200006,805,1584
830.205007,819,1587
830.210006,834,1582
830.215006,804,1582
830.220005,816,1581
830.225006,820,1583
830.230006,800,1587
830.235006,826,1580
830.240005,837,1578
830.245006,818,1582
830.250006,807,1581
830.255006,826,1578
830.260005,838,1582
830.265006,821,1581
830.270006,827,1581
830.275005,826,1581
830.280006,809,1581
830.285006,816,1580
830.290006,828,1582
830.295005,820,1586
830.300005,811,1586
830.305007,821,1591
830.310006,819,1585
830.315006,826,1585
830.320006,825,1592
830.325006,823,1592
830.330006,800,1596
830.335007,825,1589
830.340007,838,1587
830.345006,819,1600
830.350006,810,1601
830.355006,842,1599
830.360005,835,1602
830.365006,809,1610
830.370007,825,1601
830.375005,836,1609
830.380005,811,1613
830.385006,815,1616
830.390005,849,1612
830.395005,822,1618
830.400005,806,1619
830.405006,837,1619
830.410006,820,1626
830.415005,824,1627
830.420005,830,1624
830.425005,832,1624
830.430006,808,1627
830.435005,809,1630
830.440007,846,1630
830.445007,817,1628
830.450006,808,1630
830.455006,845,1629
830.460006,828,1627
830.465006,808,1627
830.470006,836,1627
830.475007,832,1626
830.480007,804,1626
830.485006,824,1626
830.490007,833,1629
830.495005,832,1617
830.500006,823,1627
830.505006,834,1627
830.510005,825,1627
830.515005,825,1622
830.520006,824,1630
830.525006,825,1629
830.530005,830,1626
830.535006,820,1626
830.540006,846,1619
830.545006,818,1628
830.550006,833,1624
830.555006,833,1630
830.560006,826,1627
830.565006,808,1630
830.570007,836,1629
830.575007,834,1629
830.580006,811,1630
830.585006,811,1634
830.590007,844,1631
830.595006,820,1635
830.600006,834,1636
830.605007,840,1637
830.610006,827,1639
830.615005,825,1636
830.620006,835,1641
830.625006,836,1640
830.630005,818,1643
830.635005,817,1643
830.640006,848,1646
830.645006,827,1648
830.650005,816,1650
830.655005,846,1648
830.660005,835,1653
830.665006,808,1657
