t,x,y
1504.095006,646,1008
1504.100006,669,1008
1504.105006,760,1007
1504.110007,708,1011
1504.115007,632,1007
1504.120006,717,1009
1504.125006,723,1009
1504.130006,621,1010
1504.135006,665,1008
1504.140005,760,1007
1504.145005,661,1006
1504.150006,655,1009
1504.155006,761,1007
1504.160006,708,1011
1504.165006,631,1011
1504.170006,733,1001
1504.175007,736,1007
1504.180005,628,1010
1504.185006,666,1003
1504.190006,755,1007
1504.195007,653,1009
1504.200006,653,1008
1504.205006,741,1009
1504.210007,723,998
1504.215005,650,1007
1504.220006,725,1007
1504.225006,718,1006
1504.230005,647,1006
1504.235006,676,1010
1504.240007,737,1007
1504.245005,661,1006
1504.250005,668,1008
1504.255006,748,1008
1504.260006,703,1010
1504.265007,654,1006
1504.270006,731,1009
1504.275005,723,1006
1504.280006,624,1008
1504.285006,685,1008
1504.290007,744,1007
1504.295007,646,1011
1504.300005,671,1006
1504.305006,742,1008
1504.310006,727,1005
1504.315007,645,1008
1504.320005,725,1008
1504.325007,735,1004
1504.330007,628,1011
1504.335007,663,1011
1504.340006,733,1008
1504.345005,666,1008
1504.350006,664,1009
1504.355005,746,1007
1504.360006,706,1010
1504.365006,657,1009
1504.370006,737,1009
1504.375007,726,1007
1504.380006,652,1004
1504.385006,681,1008
1504.390005,739,1008
1504.395005,664,1008
1504.400006,656,1009
1504.405006,766,1007
1504.410005,716,1010
1504.415006,646,1006
1504.420006,726,1007
1504.425006,721,1009
1504.430005,646,997
1504.435006,685,1007
1504.440005,739,1009
1504.445005,651,1003
1504.450006,671,1008
1504.455006,754,1006
1504.460007,715,987
1504.465005,655,968
1504.470006,741,961
1504.475007,729,971
1504.480007,629,974
1504.485005,666,972
1504.490006,757,972
1504.495006,660,970
1504.500005,656,972
1504.505006,744,973
1504.510006,719,972
1504.515005,634,970
1504.520005,740,971
1504.525006,723,972
1504.530006,644,970
1504.535006,688,967
1504.540006,735,971
1504.545006,644,969
1504.550005,658,972
1504.555006,746,968
1504.560007,725,973
1504.565006,648,972
1504.570006,723,973
1504.575006,718,972
1504.580006,635,959
1504.585006,676,973
1504.590005,734,973
1504.595006,668,973
1504.600006,661,974
1504.605006,746,970
1504.610006,726,969
1504.615007,641,971
1504.620007,720,973
1504.625006,733,963
1504.630005,636,971
1504.635005,671,971
1504.640007,736,974
1504.645006,647,971
1504.650006,668,972
1504.655006,746,973
1504.660005,721,974
1504.665005,644,972
1504.670006,731,972
1504.675006,727,972
1504.680005,626,971
1504.685005,686,968
1504.690006,741,971
1504.695007,643,974
1504.700006,670,971
1504.705007,753,968
1504.710006,703,973
1504.715006,649,964
1504.720005,740,975
1504.725005,728,972
1504.730005,624,973
1504.735006,681,974
1504.740006,751,973
1504.745006,657,976
1504.750006,664,994
1504.755005,748,1007
1504.760006,705,1010
1504.765005,635,1010
1504.770006,739,1009
1504.775006,719,1010
1504.780007,628,1001
1504.785006,685,1008
1504.790006,736,1011
1504.795006,652,1009
1504.800006,672,1008
1504.805005,753,1009
1504.810005,706,1009
1504.815007,638,1008
1504.820005,748,1008
1504.825006,732,1010
1504.830006,623,1009
1504.835005,680,1010
1504.840006,585,1005
1504.845006,0,993
1504.850006,0,995
1504.855006,10,988
1504.860006,0,994
1504.865006,0,995
1504.870006,20,993
1504.875006,0,994
1504.880006,0,994
1504.885006,0,990
