sequence,phase,scheme,repetition,duty_percent,duty_label,frame_bits,start_offset_s,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,sync_correlation_score,sample_rate_hz,sync_bit_errors,coded_body_bit_errors,raw_frame_bit_errors,raw_payload_bit_errors,raw_payload_frame_error,coded_body_frame_error,raw_symbol_errors,decoder_failure,rs5_application_padding_valid,decoder_corrected_units,hamming_syndrome,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,payload_bits_per_frame,decoded_payload_frame_error,frame_error,sync_inclusive_diagnostic_frame_error,decoded_payload_bits,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,inband_active_power_x,inband_off_power_x,inband_snr_db_x,inband_active_power_y,inband_off_power_y,inband_snr_db_y,inband_snr_db_pooled,positive_inband_power_estimate,tone_coherence,off_coherence,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,short,uncoded,1,100.000000000,commanded 100%,27,18.634999997,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.575643517,200.000000032,11,9,20,9,1,1,,0,,0,0,9,11,11,1,1,1,11111100011,4095,0.000000000,0.000000000,0.000000000,0.523887487,0.233688689,0.940579170,9.184267692,0.143937927,17.980090299,13.928436500,1,0.837133450,0.041201805,13.500693000,13.500000000,0.000693000,,,62500.000000000,0,0,,,,
2,short,hamming15_11,1,100.000000000,commanded 100%,31,47.139999992,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.560390929,200.000000032,0,1,1,1,1,1,,0,,1,11,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.377177110,0.480434480,,8.989480699,0.395192037,13.374017518,9.866415368,1,0.102854346,0.169104336,15.501150000,15.500000000,0.001150000,28.507538080,0.007538080,62500.000000000,0,0,,,,
3,short,rs5_3,1,100.000000000,commanded 100%,41,77.649999988,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.532634676,200.000000032,0,1,1,0,0,1,1,0,1,1,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.307829709,0.522169153,,9.647070456,0.252527149,15.705675970,10.737208425,1,0.013729175,0.011140088,20.501151000,20.500000000,0.001151000,30.507988930,0.007988930,62500.000000000,0,0,,,,
4,short,hamming15_11,1,50.000000000,commanded 50%,31,113.154999982,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.518690087,200.000000032,0,0,0,0,0,0,,0,,0,0,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.285715561,0.394494175,,4.929533243,0.265654360,12.444303152,8.388562773,1,0.094887628,0.077075515,15.501149000,15.500000000,0.001149000,35.508000851,0.008000851,31250.000000000,124,0,31577.056000000,31765.861000000,31784.858000000,31794.574000000
5,short,rs5_3,1,50.000000000,commanded 50%,41,143.664999977,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.544174731,200.000000032,0,0,0,0,0,0,0,0,1,0,,0,11,11,0,0,0,10001011100,4095,0.000000000,0.000000000,0.000000000,0.302540162,0.298105146,-18.274743216,4.642752779,0.254640159,12.363508687,9.001914177,1,0.161853048,0.016137247,20.501197000,20.500000000,0.001197000,30.509003162,0.009003162,31250.000000000,164,0,31409.537000000,31756.001000000,31776.241000000,31825.074000000
6,short,uncoded,1,50.000000000,commanded 50%,27,179.174999971,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.670261099,200.000000032,0,1,1,1,1,1,,0,,0,0,1,11,11,1,1,1,10011011100,4095,0.000000000,0.000000000,0.000000000,0.394565642,0.360040065,-10.182098883,4.784311561,0.168065579,14.388101678,9.448041996,1,0.076677149,0.009206865,13.501146000,13.500000000,0.001146000,35.507997036,0.007997036,31250.000000000,108,0,31573.797000000,31757.740000000,31778.324000000,31791.185000000
7,short,rs5_3,1,25.000000000,commanded 25%,41,207.679999967,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.521468107,200.000000032,1,2,3,1,1,1,2,1,,0,,,0,11,1,1,1,,4095,0.000000000,0.000000000,0.000000000,0.407320817,0.570052390,,1.587840702,0.224732877,7.828635984,1.790675867,1,0.014567595,0.043045470,20.501163000,20.500000000,0.001163000,28.508001804,0.008001804,15625.000000000,164,0,15644.204000000,15766.083000000,15787.507000000,16632.408000000
8,short,uncoded,1,25.000000000,commanded 25%,27,243.189999961,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.554162917,200.000000032,2,0,2,0,0,0,,0,,0,0,0,11,11,0,0,1,10001011100,4095,0.000000000,0.000000000,0.000000000,0.590059218,0.379659684,-2.563497085,1.825415955,0.203053666,9.025370082,4.976510620,1,0.059778000,0.028065884,13.501160000,13.500000000,0.001160000,35.507995129,0.007995129,15625.000000000,108,0,15643.592000000,15758.686000000,15777.303000000,16614.555000000
9,short,hamming15_11,1,25.000000000,commanded 25%,31,271.694999957,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.505802335,200.000000032,5,2,7,2,1,1,,0,,1,4,2,11,11,1,1,1,00011011100,4095,0.000000000,0.000000000,0.000000000,0.364940789,0.716471658,,1.760679743,0.244254201,7.929790491,0.836871785,1,0.033880105,0.095443479,15.501159000,15.500000000,0.001159000,28.507003069,0.007003069,15625.000000000,124,0,15643.907000000,15764.000000000,15785.672000000,16619.592000000
10,short,uncoded,1,10.000000000,commanded 10%,27,302.204999952,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.360454675,200.000000032,4,4,8,4,1,1,,0,,0,0,4,11,11,1,1,1,11011111110,4095,0.000000000,0.000000000,0.000000000,0.309624959,0.426723199,,0.495477659,0.211187435,1.290938508,-5.815443899,1,0.065843964,0.036186867,13.501165000,13.500000000,0.001165000,30.507997990,0.007997990,6250.000000000,108,0,6542.574000000,6756.899000000,6772.168000000,6780.204000000
11,short,hamming15_11,1,10.000000000,commanded 10%,31,330.714999947,manifest_timestamps_frozen_first_sync_correction,-0.070000000,0,0.318166071,200.000000032,3,5,8,5,1,1,,0,,1,5,6,11,11,1,1,1,01111000100,4095,0.000000000,0.000000000,0.000000000,0.631981679,0.491353194,-5.433204843,0.330798414,0.197979068,-1.733579368,-4.015541207,1,0.001462393,0.054165934,15.501164000,15.500000000,0.001164000,28.507998943,0.007998943,6250.000000000,124,0,6575.111000000,6756.573000000,6773.164000000,6785.407000000
