scheme,duty_percent,payload_frame_errors,frames,payload_fer,payload_fer_wilson_95_lower,payload_fer_wilson_95_upper,decoder_failures,coded_body_bit_errors,coded_body_bits,coded_body_ber,median_positive_inband_snr_db,no_positive_snr_frames
Uncoded-11,100,1,5,0.2,0.03622410863243014,0.6244653702374747,0,9,55,0.16363636363636364,10.654345363740257,0
Uncoded-11,50,2,5,0.4,0.11762077423264783,0.769275718723987,0,2,55,0.03636363636363636,8.706225575480039,0
Uncoded-11,25,4,5,0.8,0.37553462976252533,0.9637758913675698,0,8,55,0.14545454545454545,3.10137991030106,0
Uncoded-11,10,5,5,1.0,0.5655175352168251,1.0,0,25,55,0.45454545454545453,-5.435136274226922,1
Uncoded-11,1,5,5,1.0,0.5655175352168251,1.0,0,30,55,0.5454545454545454,-7.064257699594818,0
"Hamming(15,11)",100,0,5,0.0,0.0,0.43448246478317476,0,1,75,0.013333333333333334,10.53603240183942,0
"Hamming(15,11)",50,0,5,0.0,0.0,0.43448246478317476,0,2,75,0.02666666666666667,8.388562773274014,0
"Hamming(15,11)",25,1,5,0.2,0.03622410863243014,0.6244653702374747,0,8,75,0.10666666666666667,0.8368717854991663,0
"Hamming(15,11)",10,5,5,1.0,0.5655175352168251,1.0,0,27,75,0.36,-4.0155412067748495,0
"Hamming(15,11)",1,5,5,1.0,0.5655175352168251,1.0,0,34,75,0.4533333333333333,-5.053607894742081,4
"RS(5,3)",100,0,5,0.0,0.0,0.43448246478317476,0,1,125,0.008,11.097852532141815,0
"RS(5,3)",50,1,5,0.2,0.03622410863243014,0.6244653702374747,1,4,125,0.032,7.374332559305113,0
"RS(5,3)",25,4,5,0.8,0.37553462976252533,0.9637758913675698,4,18,125,0.144,1.7906758665075335,0
"RS(5,3)",10,5,5,1.0,0.5655175352168251,1.0,5,44,125,0.352,-2.0434075358100485,0
"RS(5,3)",1,5,5,1.0,0.5655175352168251,1.0,5,70,125,0.56,-7.228623150297272,3
"RS(12,6)",100,0,5,0.0,0.0,0.43448246478317476,0,2,300,0.006666666666666667,9.864590424678472,0
"RS(12,6)",50,1,5,0.2,0.03622410863243014,0.6244653702374747,1,12,300,0.04,6.640847089321125,0
"RS(12,6)",25,5,5,1.0,0.5655175352168251,1.0,5,69,300,0.23,2.322271405048066,0
"RS(12,6)",10,5,5,1.0,0.5655175352168251,1.0,5,118,300,0.3933333333333333,-1.835819155376701,2
"RS(12,6)",1,5,5,1.0,0.5655175352168251,1.0,5,150,300,0.5,-2.6575678768543933,1
