scheme,duty_percent,payload_frame_errors,frames,payload_fer,coded_body_bit_errors,coded_body_bits,coded_body_ber,median_carrier_snr_vs_0_10hz_noise_db,no_positive_carrier_signal_frames_for_full_snr,median_inband_snr_7_25_8_75hz_db,no_positive_inband_signal_frames
Uncoded-11,100,1,5,0.2,9,55,0.16363636363636364,-12.987858801268505,0,10.654345364,0
Uncoded-11,50,2,5,0.4,2,55,0.03636363636363636,-14.52031921234016,0,8.706225575,0
Uncoded-11,25,4,5,0.8,8,55,0.14545454545454545,-22.0323982157022,0,3.10137991,0
Uncoded-11,10,5,5,1.0,25,55,0.45454545454545453,-31.725541315833823,1,-5.4351362745,1
Uncoded-11,1,5,5,1.0,30,55,0.5454545454545454,-33.683231228952565,0,-7.0642577,0
"Hamming(15,11)",100,0,5,0.0,1,75,0.013333333333333334,-16.542636706222456,0,10.536032402,0
"Hamming(15,11)",50,0,5,0.0,2,75,0.02666666666666667,-15.5768159303606,0,8.388562773,0
"Hamming(15,11)",25,1,5,0.2,8,75,0.10666666666666667,-25.024907688169556,0,0.836871785,0
"Hamming(15,11)",10,5,5,1.0,27,75,0.36,-25.741639787089294,0,-4.015541207,0
"Hamming(15,11)",1,5,5,1.0,34,75,0.4533333333333333,-25.64089911007542,4,-5.053607895,4
"RS(5,3)",100,0,5,0.0,1,125,0.008,-15.46888014683767,0,11.097852532,0
"RS(5,3)",50,1,5,0.2,4,125,0.032,-14.449655629066282,0,7.374332559,0
"RS(5,3)",25,4,5,0.8,18,125,0.144,-18.762501760915406,0,1.790675867,0
"RS(5,3)",10,5,5,1.0,44,125,0.352,-25.399274999352507,0,-2.043407536,0
"RS(5,3)",1,5,5,1.0,70,125,0.56,-31.57374524350398,3,-7.2286231505,3
"RS(12,6)",100,0,5,0.0,2,300,0.006666666666666667,-11.92691397313618,0,9.864590425,0
"RS(12,6)",50,1,5,0.2,12,300,0.04,-14.875814569846533,0,6.640847089,0
"RS(12,6)",25,5,5,1.0,69,300,0.23,-19.693063849088897,0,2.322271405,0
"RS(12,6)",10,5,5,1.0,118,300,0.3933333333333333,-24.614025824010376,2,-1.835819155,2
"RS(12,6)",1,5,5,1.0,150,300,0.5,-25.94200098455427,1,-2.657567877,1
