scheme,duty_percent,payload_frame_errors,frames,payload_fer,coded_body_bit_errors,coded_body_bits,coded_body_ber,median_carrier_snr_vs_0_10hz_noise_db,no_positive_carrier_signal_frames_for_full_snr,median_inband_snr_7_25_8_75hz_db,no_positive_inband_signal_frames
Uncoded-11,100,1,5,0.2,9,55,0.16363636363636364,-12.987858801268505,0,10.654345364,0
Uncoded-11,50,2,5,0.4,2,55,0.03636363636363636,-14.52031921234016,0,8.706225575,0
Uncoded-11,25,3,5,0.6,10,55,0.18181818181818182,-22.0323982157022,0,3.10137991,0
Uncoded-11,10,5,5,1.0,26,55,0.4727272727272727,-31.725541315833823,1,-5.4351362745,1
Uncoded-11,1,5,5,1.0,31,55,0.5636363636363636,-33.683231228952565,0,-7.0642577,0
"Hamming(15,11)",100,0,5,0.0,1,75,0.013333333333333334,-16.542636706222456,0,10.536032402,0
"Hamming(15,11)",50,0,5,0.0,2,75,0.02666666666666667,-15.5768159303606,0,8.388562773,0
"Hamming(15,11)",25,2,5,0.4,9,75,0.12,-25.024907688169556,0,0.836871785,0
"Hamming(15,11)",10,5,5,1.0,24,75,0.32,-25.741639787089294,0,-4.015541207,0
"Hamming(15,11)",1,5,5,1.0,39,75,0.52,-25.64089911007542,4,-5.053607895,4
"RS(5,3)",100,0,5,0.0,1,125,0.008,-15.46888014683767,0,11.097852532,0
"RS(5,3)",50,1,5,0.2,4,125,0.032,-14.449655629066282,0,7.374332559,0
"RS(5,3)",25,4,5,0.8,18,125,0.144,-18.762501760915406,0,1.790675867,0
"RS(5,3)",10,5,5,1.0,44,125,0.352,-25.399274999352507,0,-2.043407536,0
"RS(5,3)",1,5,5,1.0,70,125,0.56,-31.57374524350398,3,-7.2286231505,3
"RS(12,6)",100,0,5,0.0,2,300,0.006666666666666667,-11.92691397313618,0,9.864590425,0
"RS(12,6)",50,1,5,0.2,11,300,0.03666666666666667,-14.875814569846533,0,6.640847089,0
"RS(12,6)",25,5,5,1.0,71,300,0.23666666666666666,-19.693063849088897,0,2.322271405,0
"RS(12,6)",10,5,5,1.0,115,300,0.38333333333333336,-24.614025824010376,2,-1.835819155,2
"RS(12,6)",1,5,5,1.0,152,300,0.5066666666666667,-25.94200098455427,1,-2.657567877,1
