scheme,duty_percent,payload_frame_errors,frames,payload_fer,payload_fer_wilson_95_lower,payload_fer_wilson_95_upper,decoder_failures,coded_body_bit_errors,coded_body_bits,coded_body_ber,median_positive_inband_snr_db,no_positive_snr_frames
Uncoded-11,100,1,5,0.2,0.03622410863243014,0.6244653702374747,0,9,55,0.16363636363636364,10.654345363740257,0
Uncoded-11,50,2,5,0.4,0.11762077423264783,0.769275718723987,0,2,55,0.03636363636363636,8.706225575480039,0
Uncoded-11,25,3,5,0.6,0.2307242812760128,0.882379225767352,0,10,55,0.18181818181818182,3.10137991030106,0
Uncoded-11,10,5,5,1.0,0.5655175352168251,1.0,0,26,55,0.4727272727272727,-5.435136274226922,1
Uncoded-11,1,5,5,1.0,0.5655175352168251,1.0,0,31,55,0.5636363636363636,-7.064257699594818,0
"Hamming(15,11)",100,0,5,0.0,0.0,0.43448246478317476,0,1,75,0.013333333333333334,10.53603240183942,0
"Hamming(15,11)",50,0,5,0.0,0.0,0.43448246478317476,0,2,75,0.02666666666666667,8.388562773274014,0
"Hamming(15,11)",25,2,5,0.4,0.11762077423264783,0.769275718723987,0,9,75,0.12,0.8368717854991663,0
"Hamming(15,11)",10,5,5,1.0,0.5655175352168251,1.0,0,24,75,0.32,-4.0155412067748495,0
"Hamming(15,11)",1,5,5,1.0,0.5655175352168251,1.0,0,39,75,0.52,-5.053607894742081,4
"RS(5,3)",100,0,5,0.0,0.0,0.43448246478317476,0,1,125,0.008,11.097852532141815,0
"RS(5,3)",50,1,5,0.2,0.03622410863243014,0.6244653702374747,1,4,125,0.032,7.374332559305113,0
"RS(5,3)",25,4,5,0.8,0.37553462976252533,0.9637758913675698,4,18,125,0.144,1.7906758665075335,0
"RS(5,3)",10,5,5,1.0,0.5655175352168251,1.0,5,44,125,0.352,-2.0434075358100485,0
"RS(5,3)",1,5,5,1.0,0.5655175352168251,1.0,5,70,125,0.56,-7.228623150297272,3
"RS(12,6)",100,0,5,0.0,0.0,0.43448246478317476,0,2,300,0.006666666666666667,9.864590424678472,0
"RS(12,6)",50,1,5,0.2,0.03622410863243014,0.6244653702374747,1,11,300,0.03666666666666667,6.640847089321125,0
"RS(12,6)",25,5,5,1.0,0.5655175352168251,1.0,5,71,300,0.23666666666666666,2.322271405048066,0
"RS(12,6)",10,5,5,1.0,0.5655175352168251,1.0,5,115,300,0.38333333333333336,-1.835819155376701,2
"RS(12,6)",1,5,5,1.0,0.5655175352168251,1.0,5,152,300,0.5066666666666667,-2.6575678768543933,1
