sequence,phase,scheme,repetition,duty_percent,algorithm,boundary_source,manifest_clock_correction_s,off_fit_samples,decoder_failure,payload_bit_errors_conditional_on_decode,payload_bits_evaluated,frame_error,wrong_codeword_miscorrection,decoded_payload_bits,gmd_erasures,gmd_erasure_count,gmd_candidate_count,corrected_symbol_count,gmd_attempts,gmd_score,gmd_margin,minimum_abs_bit_llr,gao_transfer_magnitude,gao_transfer_phase_radians,gao_off_coherence,gao_noise_reduction_db,gao_orientation,gao_sync_reference_leakage_ratio,gao_sync_desired_amplitude_ratio,gao_sync_desired_attenuation_db,duong_iterations,duong_training_error,gao_duong_iterations,gao_duong_training_error
3,short,rs5_3,1,100.000000000,coherent_hard,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,1,1038.169501084,,9.641585714,0.025898446,0.321179527,0.001706173,0.007416145,sensor_y_primary_sensor_x_reference,0.004879723,0.999877379,0.001065134,60000,0.000139845,2613,0.000050108
3,short,rs5_3,1,100.000000000,coherent_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,3,1038.169501084,,9.641585714,0.025898446,0.321179527,0.001706173,0.007416145,sensor_y_primary_sensor_x_reference,0.004879723,0.999877379,0.001065134,60000,0.000139845,2613,0.000050108
3,short,rs5_3,1,100.000000000,gao_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,3,1025.390031848,,9.027826702,0.025898446,0.321179527,0.001706173,0.007416145,sensor_y_primary_sensor_x_reference,0.004879723,0.999877379,0.001065134,60000,0.000139845,2613,0.000050108
3,short,rs5_3,1,100.000000000,duong_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,3,1017.082420170,,7.152949452,0.025898446,0.321179527,0.001706173,0.007416145,sensor_y_primary_sensor_x_reference,0.004879723,0.999877379,0.001065134,60000,0.000139845,2613,0.000050108
3,short,rs5_3,1,100.000000000,gao_duong_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,3,1005.327327475,,6.599208286,0.025898446,0.321179527,0.001706173,0.007416145,sensor_y_primary_sensor_x_reference,0.004879723,0.999877379,0.001065134,60000,0.000139845,2613,0.000050108
5,short,rs5_3,1,50.000000000,coherent_hard,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,0,1,463.865770467,,0.644920524,0.029742412,0.689575573,0.002153868,0.009364218,sensor_y_primary_sensor_x_reference,0.070654797,0.997991430,0.017463760,56348,0.000134658,2227,0.000050096
5,short,rs5_3,1,50.000000000,coherent_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,0,3,463.865770467,,0.644920524,0.029742412,0.689575573,0.002153868,0.009364218,sensor_y_primary_sensor_x_reference,0.070654797,0.997991430,0.017463760,56348,0.000134658,2227,0.000050096
5,short,rs5_3,1,50.000000000,gao_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,0,3,465.380205417,,0.374140713,0.029742412,0.689575573,0.002153868,0.009364218,sensor_y_primary_sensor_x_reference,0.070654797,0.997991430,0.017463760,56348,0.000134658,2227,0.000050096
5,short,rs5_3,1,50.000000000,duong_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,0,3,462.256472554,,0.614965991,0.029742412,0.689575573,0.002153868,0.009364218,sensor_y_primary_sensor_x_reference,0.070654797,0.997991430,0.017463760,56348,0.000134658,2227,0.000050096
5,short,rs5_3,1,50.000000000,gao_duong_gmd,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,0,3,463.804099086,,0.341060109,0.029742412,0.689575573,0.002153868,0.009364218,sensor_y_primary_sensor_x_reference,0.070654797,0.997991430,0.017463760,56348,0.000134658,2227,0.000050096
7,short,rs5_3,1,25.000000000,coherent_hard,identical_frozen_manifest_boundaries,-0.070000000,2000,0,0,11,0,0,10001011100,,0,1,1,1,186.565754608,,0.365339138,0.019769424,0.265192018,0.001305829,0.005674851,sensor_y_primary_sensor_x_reference,0.040071326,1.000789760,-0.006857057,60000,0.000192988,2082,0.000049980
