sequence,phase,scheme,repetition,duty_percent,duty_label,voltage_v,distance_m,hardware_note,payload_bits,coded_body_bits,frame_bits,bit_seconds,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,short,uncoded,1,100,commanded 100%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,10001011100,011111100111111010001011100,0.5,2026-07-28T00:43:04.097954Z,2026-07-28T00:43:17.598774Z,13.500693,15,62500.000,0,0,nan,nan,nan,nan
2,short,hamming15_11,1,100,commanded 100%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,001000001011100,0111111001111110001000001011100,0.5,2026-07-28T00:43:32.605492Z,2026-07-28T00:43:48.106750Z,15.501150,15,62500.000,0,0,nan,nan,nan,nan
3,short,rs5_3,1,100,commanded 100%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,1000101110000001110011111,01111110011111101000101110000001110011111,0.5,2026-07-28T00:44:03.113481Z,2026-07-28T00:44:23.614730Z,20.501151,15,62500.000,0,0,nan,nan,nan,nan
4,short,hamming15_11,1,50,commanded 50%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,001000001011100,0111111001111110001000001011100,0.5,2026-07-28T00:44:38.621482Z,2026-07-28T00:44:54.122835Z,15.501149,15,31250.000,124,0,31577.056,31765.861,31784.858,31794.574
5,short,rs5_3,1,50,commanded 50%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,1000101110000001110011111,01111110011111101000101110000001110011111,0.5,2026-07-28T00:45:09.130485Z,2026-07-28T00:45:29.631895Z,20.501197,15,31250.000,164,0,31409.537,31756.001,31776.241,31825.074
6,short,uncoded,1,50,commanded 50%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,10001011100,011111100111111010001011100,0.5,2026-07-28T00:45:44.638482Z,2026-07-28T00:45:58.139801Z,13.501146,15,31250.000,108,0,31573.797,31757.740,31778.324,31791.185
7,short,rs5_3,1,25,commanded 25%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,1000101110000001110011111,01111110011111101000101110000001110011111,0.5,2026-07-28T00:46:13.146484Z,2026-07-28T00:46:33.647850Z,20.501163,15,15625.000,164,0,15644.204,15766.083,15787.507,16632.408
8,short,uncoded,1,25,commanded 25%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,10001011100,011111100111111010001011100,0.5,2026-07-28T00:46:48.654479Z,2026-07-28T00:47:02.155810Z,13.501160,15,15625.000,108,0,15643.592,15758.686,15777.303,16614.555
9,short,hamming15_11,1,25,commanded 25%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,001000001011100,0111111001111110001000001011100,0.5,2026-07-28T00:47:17.161482Z,2026-07-28T00:47:32.662826Z,15.501159,15,15625.000,124,0,15643.907,15764.000,15785.672,16619.592
10,short,uncoded,1,10,commanded 10%,11,3,l298n-current-bench-configuration-receiver-pin-restored,10001011100,10001011100,011111100111111010001011100,0.5,2026-07-28T00:47:47.669480Z,2026-07-28T00:48:01.170849Z,13.501165,15,6250.000,108,0,6542.574,6756.899,6772.168,6780.204
