t,x,y
8095.330005,936,2318
8095.335006,909,2314
8095.340006,901,2315
8095.345006,938,2303
8095.350006,892,2299
8095.355005,899,2295
8095.360006,939,2282
8095.365005,930,2278
8095.370005,912,2271
8095.375006,931,2262
8095.380006,932,2257
8095.385006,901,2249
8095.390006,909,2243
8095.395006,943,2240
8095.400006,891,2227
8095.405005,904,2224
8095.410005,943,2212
8095.415005,930,2206
8095.420005,894,2195
8095.425005,943,2186
8095.430007,930,2178
8095.435005,882,2166
8095.440006,907,2154
8095.445006,936,2144
8095.450006,898,2130
8095.455007,889,2123
8095.460005,925,2108
8095.465006,924,2096
8095.470006,880,2086
8095.475006,918,2067
8095.480006,918,2053
8095.485005,888,2038
8095.490005,906,2017
8095.495005,914,2003
8095.500005,889,1987
8095.505005,908,1967
8095.510005,912,1955
8095.515007,903,1933
8095.520007,884,1910
8095.525007,915,1893
8095.530006,923,1876
8095.535006,869,1856
8095.540006,894,1840
8095.545006,902,1825
8095.550007,876,1802
8095.555006,889,1786
8095.560006,925,1773
8095.565005,884,1756
8095.570007,863,1742
8095.575006,911,1726
8095.580006,904,1713
8095.585007,855,1702
8095.590005,876,1692
8095.595006,907,1681
8095.600006,869,1670
8095.605006,855,1666
8095.610005,905,1653
8095.615006,889,1649
8095.620005,867,1641
8095.625006,892,1635
8095.630007,890,1628
8095.635007,859,1621
8095.640005,874,1617
8095.645006,899,1612
8095.650006,868,1608
8095.655006,870,1602
8095.660005,894,1594
8095.665006,888,1588
8095.670006,847,1584
8095.675006,892,1577
8095.680007,898,1566
8095.685006,853,1560
8095.690006,860,1553
8095.695005,888,1540
8095.700005,851,1530
8095.705005,859,1520
8095.710006,884,1511
8095.715006,876,1493
8095.720006,861,1482
8095.725005,897,1466
8095.730007,875,1451
8095.735006,843,1434
8095.740006,870,1418
8095.745006,892,1396
8095.750006,836,1376
8095.755007,849,1356
8095.760007,866,1339
8095.765006,858,1318
8095.770005,834,1295
8095.775006,866,1267
8095.780006,864,1246
8095.785005,820,1222
8095.790005,848,1198
8095.795005,870,1172
8095.800006,836,1148
8095.805006,835,1121
8095.810006,852,1094
8095.815005,844,1070
8095.820006,816,1042
8095.825006,842,1017
8095.830006,820,993
8095.835006,807,965
8095.840007,822,937
8095.845007,824,912
8095.850005,797,885
8095.855006,786,860
8095.860006,820,829
8095.865006,801,803
8095.870006,788,777
8095.875006,815,751
8095.880006,815,722
8095.885005,779,698
8095.890006,789,673
8095.895006,812,644
8095.900006,762,619
8095.905006,776,597
8095.910005,794,568
8095.915005,788,546
8095.920006,747,525
8095.925006,788,501
8095.930007,793,475
8095.935006,738,456
8095.940005,771,437
8095.945006,769,415
8095.950005,743,401
8095.955005,760,380
8095.960006,778,369
8095.965007,745,354
8095.970007,741,345
8095.975005,781,331
8095.980006,752,321
8095.985006,736,314
8095.990005,748,306
8095.995006,773,301
8096.000006,714,298
8096.005007,746,295
8096.010006,750,295
8096.015007,753,292
8096.020006,715,294
8096.025006,754,296
8096.030005,758,303
8096.035006,713,310
8096.040007,741,317
8096.045006,758,320
8096.050006,729,336
8096.055007,716,345
8096.060005,763,357
8096.065006,741,363
8096.070006,720,383
8096.075005,742,397
8096.080005,760,412
8096.085006,703,429
8096.090007,733,443
8096.095005,750,457
8096.100006,733,474
8096.105005,733,488
8096.110006,748,505
8096.115006,740,525
8096.120006,715,543
8096.125007,768,561
8096.130006,744,577
8096.135006,723,596
8096.140006,758,616
8096.145006,768,636
8096.150005,720,658
8096.155007,736,678
8096.160007,764,692
8096.165006,750,720
8096.170006,742,740
8096.175007,774,761
8096.180005,751,783
8096.185007,730,804
8096.190006,750,820
8096.195005,772,846
8096.200006,727,869
8096.205007,736,890
8096.210006,778,909
8096.215006,771,931
8096.220007,741,950
8096.225006,787,970
8096.230007,774,983
8096.235006,747,1008
8096.240006,765,1025
8096.245005,773,1046
8096.250006,755,1062
8096.255006,748,1081
8096.260005,799,1092
8096.265006,768,1109
8096.270006,771,1123
8096.275005,786,1138
8096.280006,794,1152
8096.285006,758,1162
8096.290006,766,1180
8096.295006,809,1187
8096.300007,750,1202
8096.305005,777,1215
8096.310007,817,1229
8096.315007,789,1239
8096.320007,767,1247
8096.325007,788,1256
8096.330006,790,1270
8096.335006,759,1280
8096.340006,789,1286
8096.345006,796,1298
8096.350006,775,1305
8096.355005,794,1314
8096.360007,819,1322
8096.365005,791,1327
8096.370005,778,1333
8096.375006,801,1341
8096.380007,802,1341
8096.385005,784,1351
8096.390006,786,1358
8096.395006,809,1357
8096.400006,792,1361
8096.405006,792,1367
8096.410006,824,1375
8096.415005,798,1374
8096.420005,771,1375
8096.425005,812,1380
8096.430006,824,1382
8096.435006,778,1383
8096.440005,787,1385
8096.445007,812,1384
8096.450007,785,1386
8096.455006,802,1388
8096.460006,811,1384
8096.465006,798,1385
8096.470006,802,1382
8096.475006,825,1383
8096.480005,828,1379
8096.485007,771,1382
8096.490006,791,1382
8096.495006,825,1378
8096.500007,796,1381
8096.505005,783,1378
8096.510005,828,1379
8096.515006,809,1376
8096.520006,786,1379
8096.525006,830,1380
8096.530006,803,1381
8096.535006,793,1378
8096.540006,804,1381
8096.545006,821,1385
8096.550006,775,1387
8096.555007,801,1388
8096.560005,816,1394
8096.565006,822,1388
8096.570007,780,1394
8096.575007,812,1400
8096.580007,825,1400
8096.585006,784,1405
8096.590006,812,1408
8096.595006,815,1412
8096.600005,792,1417
8096.605006,790,1425
8096.610006,841,1430
8096.615005,797,1439
8096.620005,801,1442
8096.625005,814,1452
8096.630005,831,1454
8096.635006,799,1460
8096.640006,809,1471
8096.645006,827,1479
8096.650007,792,1485
8096.655006,807,1488
8096.660006,820,1494
8096.665006,809,1497
8096.670006,787,1498
8096.675005,818,1500
8096.680007,820,1498
8096.685005,805,1495
8096.690006,810,1493
8096.695005,819,1488
8096.700005,794,1482
8096.705005,808,1477
8096.710006,834,1468
8096.715006,804,1461
8096.720007,778,1449
8096.725005,827,1440
8096.730007,820,1427
8096.735006,774,1421
8096.740005,808,1405
8096.745005,814,1401
8096.750005,791,1389
8096.755006,780,1381
8096.760005,828,1370
8096.765006,787,1361
8096.770005,782,1352
8096.775006,798,1352
8096.780005,798,1345
8096.785005,769,1340
8096.790005,789,1335
8096.795005,814,1330
8096.800005,771,1326
8096.805006,786,1326
8096.810005,801,1323
8096.815007,778,1326
8096.820006,764,1324
8096.825006,808,1323
8096.830006,788,1328
8096.835006,775,1325
8096.840007,787,1326
8096.845005,802,1326
8096.850006,762,1333
8096.855007,783,1335
8096.860006,806,1335
8096.865006,798,1341
8096.870006,771,1342
8096.875006,816,1348
8096.880006,793,1354
8096.885007,781,1358
8096.890006,804,1362
8096.895005,802,1371
8096.900006,778,1375
8096.905005,791,1384
8096.910005,801,1392
8096.915005,797,1397
8096.920005,786,1409
8096.925005,807,1420
8096.930006,812,1427
8096.935007,789,1436
8096.940006,792,1450
8096.945006,816,1461
8096.950006,774,1471
8096.955006,793,1483
8096.960006,826,1497
8096.965007,816,1508
8096.970005,779,1526
8096.975006,831,1538
8096.980006,813,1555
8096.985005,788,1571
8096.990006,820,1588
8096.995005,819,1602
8097.000006,791,1623
8097.005006,814,1644
8097.010007,827,1665
8097.015006,822,1680
8097.020006,815,1703
8097.025005,841,1721
8097.030006,830,1744
8097.035006,821,1766
8097.040006,830,1784
8097.045006,842,1806
8097.050007,819,1827
8097.055005,818,1851
8097.060006,862,1870
8097.065005,833,1893
8097.070006,823,1916
8097.075006,881,1936
8097.080006,860,1960
8097.085006,848,1981
8097.090007,853,2005
8097.095006,875,2027
8097.100005,841,2058
8097.105006,864,2084
8097.110007,885,2106
8097.115007,874,2137
8097.120007,873,2165
8097.125006,902,2193
8097.130007,882,2226
8097.135006,872,2254
8097.140006,894,2281
8097.145006,903,2315
8097.150005,885,2346
8097.155006,889,2375
8097.160005,942,2409
8097.165006,904,2442
8097.170006,909,2475
8097.175006,927,2512
8097.180006,941,2538
8097.185006,911,2570
8097.190005,937,2602
8097.195007,968,2634
8097.200006,918,2663
8097.205006,932,2689
8097.210007,977,2716
8097.215006,940,2744
8097.220007,937,2767
8097.225006,989,2790
8097.230005,984,2816
8097.235005,937,2835
8097.240005,975,2850
8097.245005,1000,2870
8097.250005,975,2886
8097.255006,959,2905
8097.260006,1001,2917
8097.265006,973,2935
8097.270005,976,2940
8097.275007,1016,2954
8097.280007,999,2967
8097.285006,974,2979
8097.290006,987,2989
8097.295007,1025,2993
8097.300005,970,3003
8097.305007,992,3006
8097.310007,1032,3010
8097.315006,993,3013
8097.320005,998,3012
8097.325005,1016,3019
8097.330005,1010,3015
8097.335006,989,3012
8097.340006,1000,3010
8097.345007,1037,3000
8097.350005,982,2995
8097.355007,1000,2982
8097.360007,1036,2972
8097.365007,1004,2955
8097.370007,1003,2949
8097.375007,1018,2927
8097.380005,1001,2915
8097.385005,982,2894
8097.390006,1013,2875
8097.395006,1003,2860
8097.400005,988,2838
8097.405006,975,2819
8097.410005,1024,2796
8097.415005,973,2779
8097.420006,977,2750
