sequence,scheme,repetition,duty_position,duty_percent,payload_bits,boundary_source,manifest_clock_correction_s,autonomous_acquisition_evaluated,start_offset_s,narrow_sync_correlation_at_frozen_boundary,sync_bit_errors,raw_body_bit_errors,raw_body_bits_denominator,raw_symbol_errors,raw_symbols_denominator,decoder_failure,corrected_symbol_count,decoded_payload_bit_errors_conditional_on_decode,decoded_payload_bits_evaluated,frame_error,decoded_payload_bits,exploratory_gmd,exploratory_gmd_decoder_failure,exploratory_gmd_payload_bit_errors_conditional_on_decode,exploratory_gmd_frame_error,exploratory_gmd_wrong_codeword_miscorrection,exploratory_gmd_erasure_count,exploratory_gmd_selected_erasures,exploratory_gmd_candidate_count,exploratory_gmd_margin,off_rms_normalized_diagnostic,normalized_sync_bit_errors,normalized_raw_body_bit_errors,normalized_decoder_failure,normalized_payload_bit_errors_conditional_on_decode,normalized_frame_error,physical_inband_active_power_x,physical_inband_off_power_x,physical_inband_snr_db_x,physical_inband_active_power_y,physical_inband_off_power_y,physical_inband_snr_db_y,physical_inband_snr_db_pooled,physical_positive_inband_power_estimate,physical_wide_0_10hz_off_power_x,physical_wide_0_10hz_off_power_y,physical_carrier_vs_0_10hz_off_noise_snr_db_pooled,adc_full_scale_assumed,clipped_x_percent,clipped_y_percent,clipped_any_percent,manifest_duration_s,expected_duration_s,duration_error_s,start_interval_s,start_interval_error_s,target_pulse_us,pulse_count,late_starts,pulse_median_us,pulse_p95_us
1,rs18_6,1,1,100.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,135.749999978,0.602674232,0,4,90,4,18,0,4,0,30,0,001110011010001100001001111101,1,0,0,0,0,0,,2,627.317362407,1,0,6,0,0,0,0.405694076,0.427484466,,2.603510121,0.342063135,8.202801403,4.639459455,1,7.721247679,112.938158991,-17.313797516,4095,0.000000000,0.000000000,0.000000000,53.001389000,53.000000000,0.001389000,,,62500.000000000,0,0,,
2,rs18_6,1,2,50.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,203.754999967,0.489597436,2,12,90,9,18,1,0,,0,1,,1,0,10,1,1,12,"10,0,11,6,8,15,2,4,13,1,14,17",1,,1,1,14,1,,1,0.384618672,0.167851972,1.110661197,1.522007258,0.393591331,4.574236827,3.794753441,1,14.663214355,134.195686337,-20.439935576,4095,0.000000000,0.000000000,0.000000000,53.001104000,53.000000000,0.001104000,68.008243084,0.008243084,31250.000000000,424,0,31757.435000000,31777.346000000
3,rs18_6,1,3,45.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,271.764999956,0.423860748,3,16,90,11,18,1,0,,0,1,,1,0,6,1,1,12,"7,14,1,5,16,9,4,15,11,12,6,10",1,,1,2,16,1,,1,0.400132275,0.530353913,,1.388520787,0.292381368,5.739161025,0.696800395,1,15.964137327,150.973007584,-22.376128207,4095,0.000000000,0.000000000,0.000000000,53.001186000,53.000000000,0.001186000,68.007972002,0.007972002,28125.000000000,424,0,28756.574000000,28776.840000000
4,rs18_6,1,4,40.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,339.769999946,0.390183711,4,24,90,14,18,1,0,,0,1,,1,0,10,1,1,12,"15,13,11,7,17,14,6,4,3,12,1,8",1,,1,4,15,1,,1,0.521370907,0.455302009,-8.383025074,1.149867537,0.385614045,2.970845876,-0.055058956,1,14.394620782,151.777913017,-23.013124935,4095,0.000000000,0.000000000,0.000000000,53.001187000,53.000000000,0.001187000,68.007996798,0.007996798,25000.000000000,424,0,25756.584000000,25775.782000000
5,rs18_6,1,5,35.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,407.779999935,0.473663274,2,21,90,13,18,1,0,,0,1,,1,0,8,1,1,12,"10,6,17,3,14,0,9,7,4,8,12,15",1,,1,3,21,1,,1,0.345133843,0.468481879,,1.011170413,0.290947439,3.936524327,-1.046040150,1,13.763838164,103.915169159,-22.948156521,4095,0.000000000,0.000000000,0.000000000,53.001191000,53.000000000,0.001191000,68.008000135,0.008000135,21875.000000000,424,0,22753.222000000,22776.316000000
6,rs18_6,1,6,30.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,475.789999924,0.428364034,2,31,90,16,18,1,0,,0,1,,1,0,11,1,1,12,"9,16,17,3,11,2,8,1,7,13,5,6",1,,1,1,33,1,,1,0.439535839,0.468176088,,0.717697778,0.272123361,2.141544221,-2.493399382,1,16.825619559,109.984031186,-24.830848184,4095,0.000000000,0.000000000,0.000000000,53.001189000,53.000000000,0.001189000,68.007999897,0.007999897,18750.000000000,424,0,19659.509000000,19757.121000000
7,rs18_6,1,7,25.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,543.794999913,0.340429556,4,34,90,17,18,1,0,,0,1,,1,0,7,1,1,12,"10,17,13,12,16,0,2,14,3,8,6,15",1,,1,3,34,1,,1,0.317732544,0.253417727,-5.955259583,0.589653717,0.521271474,-8.821206155,-7.662662027,1,15.861019701,92.012130610,-29.100520625,4095,0.000000000,0.000000000,0.000000000,53.001202000,53.000000000,0.001202000,68.009000063,0.009000063,15625.000000000,424,0,15758.389000000,15782.495000000
8,rs18_6,1,8,10.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,611.804999902,0.247414317,4,41,90,17,18,1,0,,0,1,,1,0,16,1,1,12,"15,13,7,0,3,9,16,12,1,4,17,11",1,,1,7,37,1,,1,0.323603827,0.407716951,,0.517190987,0.254659931,0.132200673,-5.696666659,1,18.417662196,146.292934574,-29.652830401,4095,0.000000000,0.000000000,0.000000000,53.001177000,53.000000000,0.001177000,68.008001089,0.008001089,6250.000000000,424,0,6756.361000000,6773.655000000
9,rs18_6,1,9,1.000000000,001110011010001100001001111101,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,679.824999891,0.099171132,7,49,90,18,18,1,0,,0,1,,1,0,16,1,1,12,"8,4,15,14,11,3,6,17,16,10,1,5",2,4.097244939,1,6,45,1,,1,0.302418476,0.285795382,-12.353433411,0.377810548,0.376598910,-24.925062044,-15.698499910,1,20.047440599,107.961045387,-38.559721708,4095,0.000000000,0.000000000,0.000000000,53.001264000,53.000000000,0.001264000,68.018999815,0.018999815,625.000000000,424,212,758.018000000,779.237000000
10,rs18_6,2,1,45.000000000,001111110011110100101001011110,manifest_timestamps_frozen_first_raw_coherent_sync_correction,-0.075000000,0,747.834999880,0.540991724,1,18,90,12,18,1,0,,0,1,,1,0,13,1,1,12,"12,17,1,15,0,8,4,14,2,9,6,10",1,,1,2,17,1,,1,0.332223162,0.489757961,,1.334871570,0.447812709,2.968560243,-1.089643916,1,18.529471808,106.880274672,-22.352916689,4095,0.000000000,0.000000000,0.000000000,53.001191000,53.000000000,0.001191000,68.008999109,0.008999109,28125.000000000,424,0,28757.824000000,28776.486000000
