sequence,repetition,duty_percent,decoder_failure,payload_bit_errors_conditional_on_decode,frame_error,raw_body_bit_errors
1,1,100.0,1,,1,22
2,1,50.0,1,,1,32
3,1,45.0,1,,1,39
4,1,40.0,1,,1,40
5,1,35.0,1,,1,42
6,1,30.0,1,,1,37
7,1,25.0,1,,1,37
8,1,10.0,1,,1,41
9,1,1.0,1,,1,47
10,2,45.0,1,,1,32
11,2,40.0,1,,1,33
12,2,35.0,1,,1,36
13,2,30.0,1,,1,39
14,2,25.0,1,,1,45
15,2,10.0,1,,1,41
16,2,1.0,1,,1,56
17,2,100.0,1,,1,25
18,2,50.0,1,,1,32
19,3,35.0,1,,1,44
20,3,30.0,1,,1,37
21,3,25.0,1,,1,37
22,3,10.0,1,,1,51
23,3,1.0,1,,1,40
24,3,100.0,1,,1,32
25,3,50.0,1,,1,40
26,3,45.0,1,,1,42
27,3,40.0,1,,1,44
28,4,25.0,1,,1,51
29,4,10.0,1,,1,51
30,4,1.0,1,,1,45
31,4,100.0,1,,1,23
32,4,50.0,1,,1,33
33,4,45.0,1,,1,40
34,4,40.0,1,,1,39
35,4,35.0,1,,1,61
36,4,30.0,1,,1,27
37,5,1.0,1,,1,43
38,5,100.0,1,,1,31
39,5,50.0,1,,1,41
40,5,45.0,1,,1,41
41,5,40.0,1,,1,41
42,5,35.0,1,,1,47
43,5,30.0,1,,1,41
44,5,25.0,1,,1,38
45,5,10.0,1,,1,43
