sequence,repetition,duty_percent,decoder_failure,payload_bit_errors_conditional_on_decode,frame_error,raw_body_bit_errors
1,1,100.0,0,0,0,6
2,1,50.0,1,,1,14
3,1,45.0,1,,1,16
4,1,40.0,1,,1,15
5,1,35.0,1,,1,21
6,1,30.0,1,,1,33
7,1,25.0,1,,1,34
8,1,10.0,1,,1,37
9,1,1.0,1,,1,45
10,2,45.0,1,,1,17
11,2,40.0,1,,1,19
12,2,35.0,1,,1,26
13,2,30.0,1,,1,43
14,2,25.0,1,,1,19
15,2,10.0,1,,1,56
16,2,1.0,1,,1,41
17,2,100.0,0,0,0,5
18,2,50.0,1,,1,24
19,3,35.0,1,,1,20
20,3,30.0,1,,1,21
21,3,25.0,1,,1,30
22,3,10.0,1,,1,37
23,3,1.0,1,,1,43
24,3,100.0,0,0,0,6
25,3,50.0,1,,1,21
26,3,45.0,1,,1,31
27,3,40.0,1,,1,21
28,4,25.0,1,,1,29
29,4,10.0,1,,1,32
30,4,1.0,1,,1,47
31,4,100.0,0,0,0,6
32,4,50.0,1,,1,25
33,4,45.0,1,,1,18
34,4,40.0,1,,1,30
35,4,35.0,1,,1,29
36,4,30.0,1,,1,31
37,5,1.0,1,,1,45
38,5,100.0,0,0,0,4
39,5,50.0,1,,1,20
40,5,45.0,1,,1,21
41,5,40.0,1,,1,19
42,5,35.0,1,,1,32
43,5,30.0,1,,1,30
44,5,25.0,1,,1,41
45,5,10.0,1,,1,37
