sequence,repetition,duty_percent,algorithm,decoder_failure,payload_bit_errors_conditional_on_decode,frame_error,raw_body_bit_errors
1,1,100.0,gao_y_primary,0,0,0,6
1,1,100.0,gao_then_duong,0,0,0,6
2,1,50.0,gao_y_primary,1,,1,14
2,1,50.0,gao_then_duong,1,,1,14
3,1,45.0,gao_y_primary,1,,1,16
3,1,45.0,gao_then_duong,1,,1,16
4,1,40.0,gao_y_primary,1,,1,15
4,1,40.0,gao_then_duong,1,,1,15
5,1,35.0,gao_y_primary,1,,1,21
5,1,35.0,gao_then_duong,1,,1,21
6,1,30.0,gao_y_primary,1,,1,33
6,1,30.0,gao_then_duong,1,,1,33
7,1,25.0,gao_y_primary,1,,1,34
7,1,25.0,gao_then_duong,1,,1,34
8,1,10.0,gao_y_primary,1,,1,37
8,1,10.0,gao_then_duong,1,,1,37
9,1,1.0,gao_y_primary,1,,1,45
9,1,1.0,gao_then_duong,1,,1,45
10,2,45.0,gao_y_primary,1,,1,17
10,2,45.0,gao_then_duong,1,,1,17
11,2,40.0,gao_y_primary,1,,1,19
11,2,40.0,gao_then_duong,1,,1,19
12,2,35.0,gao_y_primary,1,,1,26
12,2,35.0,gao_then_duong,1,,1,26
13,2,30.0,gao_y_primary,1,,1,43
13,2,30.0,gao_then_duong,1,,1,43
14,2,25.0,gao_y_primary,1,,1,19
14,2,25.0,gao_then_duong,1,,1,19
15,2,10.0,gao_y_primary,1,,1,56
15,2,10.0,gao_then_duong,1,,1,56
16,2,1.0,gao_y_primary,1,,1,41
16,2,1.0,gao_then_duong,1,,1,41
17,2,100.0,gao_y_primary,0,0,0,5
17,2,100.0,gao_then_duong,0,0,0,5
18,2,50.0,gao_y_primary,1,,1,24
18,2,50.0,gao_then_duong,1,,1,24
19,3,35.0,gao_y_primary,1,,1,20
19,3,35.0,gao_then_duong,1,,1,20
20,3,30.0,gao_y_primary,1,,1,21
20,3,30.0,gao_then_duong,1,,1,21
21,3,25.0,gao_y_primary,1,,1,30
21,3,25.0,gao_then_duong,1,,1,30
22,3,10.0,gao_y_primary,1,,1,36
22,3,10.0,gao_then_duong,1,,1,36
23,3,1.0,gao_y_primary,1,,1,43
23,3,1.0,gao_then_duong,1,,1,43
24,3,100.0,gao_y_primary,0,0,0,6
24,3,100.0,gao_then_duong,0,0,0,6
25,3,50.0,gao_y_primary,1,,1,21
25,3,50.0,gao_then_duong,1,,1,21
26,3,45.0,gao_y_primary,1,,1,31
26,3,45.0,gao_then_duong,1,,1,31
27,3,40.0,gao_y_primary,1,,1,21
27,3,40.0,gao_then_duong,1,,1,21
28,4,25.0,gao_y_primary,1,,1,29
28,4,25.0,gao_then_duong,1,,1,29
29,4,10.0,gao_y_primary,1,,1,32
29,4,10.0,gao_then_duong,1,,1,32
30,4,1.0,gao_y_primary,1,,1,47
30,4,1.0,gao_then_duong,1,,1,47
31,4,100.0,gao_y_primary,0,0,0,6
31,4,100.0,gao_then_duong,0,0,0,6
32,4,50.0,gao_y_primary,1,,1,25
32,4,50.0,gao_then_duong,1,,1,25
33,4,45.0,gao_y_primary,1,,1,18
33,4,45.0,gao_then_duong,1,,1,18
34,4,40.0,gao_y_primary,1,,1,30
34,4,40.0,gao_then_duong,1,,1,30
35,4,35.0,gao_y_primary,1,,1,29
35,4,35.0,gao_then_duong,1,,1,29
36,4,30.0,gao_y_primary,1,,1,31
36,4,30.0,gao_then_duong,1,,1,31
37,5,1.0,gao_y_primary,1,,1,45
37,5,1.0,gao_then_duong,1,,1,45
38,5,100.0,gao_y_primary,0,0,0,4
38,5,100.0,gao_then_duong,0,0,0,4
39,5,50.0,gao_y_primary,1,,1,20
39,5,50.0,gao_then_duong,1,,1,20
40,5,45.0,gao_y_primary,1,,1,21
40,5,45.0,gao_then_duong,1,,1,21
41,5,40.0,gao_y_primary,1,,1,19
41,5,40.0,gao_then_duong,1,,1,19
42,5,35.0,gao_y_primary,1,,1,32
42,5,35.0,gao_then_duong,1,,1,32
43,5,30.0,gao_y_primary,1,,1,30
43,5,30.0,gao_then_duong,1,,1,30
44,5,25.0,gao_y_primary,1,,1,41
44,5,25.0,gao_then_duong,1,,1,41
45,5,10.0,gao_y_primary,1,,1,37
45,5,10.0,gao_then_duong,1,,1,37
