sequence,repetition,duty_percent,body_bit_index,symbol_index,bit_in_symbol,target_bit,baseline_llr,baseline_bit,payload_bits
24,3,100.0,0,0,0,1,9.172472311397133,1,100001000001010001101010001010
24,3,100.0,1,0,1,0,1.384798791625462,1,100001000001010001101010001010
24,3,100.0,2,0,2,0,-20.4866293466775,0,100001000001010001101010001010
24,3,100.0,3,0,3,0,-8.545329702744665,0,100001000001010001101010001010
24,3,100.0,4,0,4,0,-13.614690975152437,0,100001000001010001101010001010
24,3,100.0,5,1,0,1,3.23601435861345,1,100001000001010001101010001010
24,3,100.0,6,1,1,0,-11.152678555578689,0,100001000001010001101010001010
24,3,100.0,7,1,2,0,-10.262362413649111,0,100001000001010001101010001010
24,3,100.0,8,1,3,0,-15.799124755456166,0,100001000001010001101010001010
24,3,100.0,9,1,4,0,-9.831990468539527,0,100001000001010001101010001010
24,3,100.0,10,2,0,0,-20.994675243269782,0,100001000001010001101010001010
24,3,100.0,11,2,1,1,4.113282094951307,1,100001000001010001101010001010
24,3,100.0,12,2,2,0,-15.03356785880767,0,100001000001010001101010001010
24,3,100.0,13,2,3,1,10.669332236664268,1,100001000001010001101010001010
24,3,100.0,14,2,4,0,-0.3858742951202525,0,100001000001010001101010001010
24,3,100.0,15,3,0,0,-9.75138367856175,0,100001000001010001101010001010
24,3,100.0,16,3,1,0,-18.995200578148793,0,100001000001010001101010001010
24,3,100.0,17,3,2,1,5.372422824926162,1,100001000001010001101010001010
24,3,100.0,18,3,3,1,19.252626841051217,1,100001000001010001101010001010
24,3,100.0,19,3,4,0,-3.222305236790253,0,100001000001010001101010001010
24,3,100.0,20,4,0,1,15.547523259843215,1,100001000001010001101010001010
24,3,100.0,21,4,1,0,-13.749408815220322,0,100001000001010001101010001010
24,3,100.0,22,4,2,1,15.790195257087493,1,100001000001010001101010001010
24,3,100.0,23,4,3,0,-1.4782191144177101,0,100001000001010001101010001010
24,3,100.0,24,4,4,0,-14.127468154083363,0,100001000001010001101010001010
24,3,100.0,25,5,0,0,-18.019302378769552,0,100001000001010001101010001010
24,3,100.0,26,5,1,1,3.53398826219585,1,100001000001010001101010001010
24,3,100.0,27,5,2,0,-9.091204173326524,0,100001000001010001101010001010
24,3,100.0,28,5,3,1,1.4441302561928158,1,100001000001010001101010001010
24,3,100.0,29,5,4,0,-18.835881498160717,0,100001000001010001101010001010
24,3,100.0,30,6,0,0,-12.952974018730309,0,100001000001010001101010001010
24,3,100.0,31,6,1,1,12.706539590230413,1,100001000001010001101010001010
24,3,100.0,32,6,2,1,-0.6883116199303387,0,100001000001010001101010001010
24,3,100.0,33,6,3,0,-12.111723880124089,0,100001000001010001101010001010
24,3,100.0,34,6,4,0,-10.930807887111603,0,100001000001010001101010001010
24,3,100.0,35,7,0,0,-14.138907502735394,0,100001000001010001101010001010
24,3,100.0,36,7,1,0,-16.062763669984882,0,100001000001010001101010001010
24,3,100.0,37,7,2,0,-18.810228151312707,0,100001000001010001101010001010
24,3,100.0,38,7,3,0,-13.597845221173978,0,100001000001010001101010001010
24,3,100.0,39,7,4,1,20.069634447709298,1,100001000001010001101010001010
24,3,100.0,40,8,0,0,7.161000308229967,1,100001000001010001101010001010
24,3,100.0,41,8,1,1,6.724110170793187,1,100001000001010001101010001010
24,3,100.0,42,8,2,1,23.849916475698237,1,100001000001010001101010001010
24,3,100.0,43,8,3,0,-2.909128792168283,0,100001000001010001101010001010
24,3,100.0,44,8,4,0,-15.009554085016958,0,100001000001010001101010001010
24,3,100.0,45,9,0,0,-12.8346742583809,0,100001000001010001101010001010
24,3,100.0,46,9,1,0,-23.050443261281252,0,100001000001010001101010001010
24,3,100.0,47,9,2,0,-8.7582398016287,0,100001000001010001101010001010
24,3,100.0,48,9,3,0,-6.896794039270087,0,100001000001010001101010001010
24,3,100.0,49,9,4,0,-7.666331199180558,0,100001000001010001101010001010
24,3,100.0,50,10,0,1,-6.956270783302331,0,100001000001010001101010001010
24,3,100.0,51,10,1,0,-13.887120763017172,0,100001000001010001101010001010
24,3,100.0,52,10,2,0,-28.83974647612733,0,100001000001010001101010001010
24,3,100.0,53,10,3,0,-5.2195798411433625,0,100001000001010001101010001010
24,3,100.0,54,10,4,1,14.66192385928559,1,100001000001010001101010001010
24,3,100.0,55,11,0,0,-8.050597380329592,0,100001000001010001101010001010
24,3,100.0,56,11,1,1,20.361788006184256,1,100001000001010001101010001010
24,3,100.0,57,11,2,1,7.5441589312228405,1,100001000001010001101010001010
24,3,100.0,58,11,3,0,-17.40962755929674,0,100001000001010001101010001010
24,3,100.0,59,11,4,0,-13.223026093562229,0,100001000001010001101010001010
24,3,100.0,60,12,0,1,9.29981443136994,1,100001000001010001101010001010
24,3,100.0,61,12,1,0,0.5790842174727238,1,100001000001010001101010001010
24,3,100.0,62,12,2,0,-23.268213334063898,0,100001000001010001101010001010
24,3,100.0,63,12,3,1,13.134412830924443,1,100001000001010001101010001010
24,3,100.0,64,12,4,1,21.441725166230867,1,100001000001010001101010001010
24,3,100.0,65,13,0,0,-13.171348558125892,0,100001000001010001101010001010
24,3,100.0,66,13,1,1,-1.2648620740041276,0,100001000001010001101010001010
24,3,100.0,67,13,2,0,-8.492596678291854,0,100001000001010001101010001010
24,3,100.0,68,13,3,1,14.570463352939354,1,100001000001010001101010001010
24,3,100.0,69,13,4,1,15.654289261555297,1,100001000001010001101010001010
24,3,100.0,70,14,0,0,3.4283172311910755,1,100001000001010001101010001010
24,3,100.0,71,14,1,1,20.608812938060034,1,100001000001010001101010001010
24,3,100.0,72,14,2,1,24.178602813875056,1,100001000001010001101010001010
24,3,100.0,73,14,3,1,7.74305180720628,1,100001000001010001101010001010
24,3,100.0,74,14,4,1,-4.1910200249216345,0,100001000001010001101010001010
24,3,100.0,75,15,0,0,-24.52434410983195,0,100001000001010001101010001010
24,3,100.0,76,15,1,0,-20.247849417419598,0,100001000001010001101010001010
24,3,100.0,77,15,2,0,-12.81604599397328,0,100001000001010001101010001010
24,3,100.0,78,15,3,1,13.456707141526538,1,100001000001010001101010001010
24,3,100.0,79,15,4,0,-14.333034987939792,0,100001000001010001101010001010
24,3,100.0,80,16,0,1,2.491526323716358,1,100001000001010001101010001010
24,3,100.0,81,16,1,1,13.860799899860272,1,100001000001010001101010001010
24,3,100.0,82,16,2,0,-15.270360151126436,0,100001000001010001101010001010
24,3,100.0,83,16,3,0,-16.579190480775235,0,100001000001010001101010001010
24,3,100.0,84,16,4,1,9.247002124142645,1,100001000001010001101010001010
24,3,100.0,85,17,0,0,-6.445228137867202,0,100001000001010001101010001010
24,3,100.0,86,17,1,0,-11.214322412609954,0,100001000001010001101010001010
24,3,100.0,87,17,2,1,13.030847189512425,1,100001000001010001101010001010
24,3,100.0,88,17,3,1,2.774765575368974,1,100001000001010001101010001010
24,3,100.0,89,17,4,0,-12.887610628456477,0,100001000001010001101010001010
