sequence,repetition,duty_percent,body_bit_index,symbol_index,bit_in_symbol,target_bit,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_bit,payload_bits
10,2,45.0,0,0,0,0,-9.862571384506882,0,-8.830487548872998,0,001111110011110100101001011110
10,2,45.0,1,0,1,0,-12.08749864199126,0,-9.853410025665276,0,001111110011110100101001011110
10,2,45.0,2,0,2,1,8.009670304596382,1,5.500054090764357,1,001111110011110100101001011110
10,2,45.0,3,0,3,1,1.0804060683068952,1,-0.016434961774944412,0,001111110011110100101001011110
10,2,45.0,4,0,4,1,1.2884499208819118,1,1.1172889649962823,1,001111110011110100101001011110
10,2,45.0,5,1,0,1,9.557908702204841,1,9.089589321505596,1,001111110011110100101001011110
10,2,45.0,6,1,1,1,8.358633196093228,1,7.722367373212576,1,001111110011110100101001011110
10,2,45.0,7,1,2,1,3.7889579681993704,1,4.475097360578182,1,001111110011110100101001011110
10,2,45.0,8,1,3,0,0.4210510911644225,1,0.7957259205353193,1,001111110011110100101001011110
10,2,45.0,9,1,4,0,-11.506834298406233,0,-10.304585268285248,0,001111110011110100101001011110
10,2,45.0,10,2,0,1,2.3749249478509307,1,2.49618226424231,1,001111110011110100101001011110
10,2,45.0,11,2,1,1,8.586189062388545,1,9.25267150301352,1,001111110011110100101001011110
10,2,45.0,12,2,2,1,6.560914178864387,1,4.99258992228467,1,001111110011110100101001011110
10,2,45.0,13,2,3,1,-1.3647901110829546,0,-0.7515694975143251,0,001111110011110100101001011110
10,2,45.0,14,2,4,0,-1.5953853928733568,0,-1.2889690321302916,0,001111110011110100101001011110
10,2,45.0,15,3,0,1,12.049189221353803,1,10.127378238027312,1,001111110011110100101001011110
10,2,45.0,16,3,1,0,3.0487958578316086,1,2.6653189762519736,1,001111110011110100101001011110
10,2,45.0,17,3,2,0,-4.2760376796208694,0,-2.940725560836486,0,001111110011110100101001011110
10,2,45.0,18,3,3,1,5.808057627265502,1,5.168701541632344,1,001111110011110100101001011110
10,2,45.0,19,3,4,0,-8.503731982769953,0,-7.527680576848477,0,001111110011110100101001011110
10,2,45.0,20,4,0,1,2.9085685770349365,1,1.3445027155039753,1,001111110011110100101001011110
10,2,45.0,21,4,1,0,5.407362771953633,1,4.859822519036592,1,001111110011110100101001011110
10,2,45.0,22,4,2,0,1.1147623549442462,1,0.8625940458331933,1,001111110011110100101001011110
10,2,45.0,23,4,3,1,1.4772077212923547,1,0.9006837072002396,1,001111110011110100101001011110
10,2,45.0,24,4,4,0,-5.976134300328476,0,-4.621981056252602,0,001111110011110100101001011110
10,2,45.0,25,5,0,1,-3.1667141259757323,0,-4.2719304902883115,0,001111110011110100101001011110
10,2,45.0,26,5,1,1,-3.180292344977432,0,-3.4644726854221704,0,001111110011110100101001011110
10,2,45.0,27,5,2,1,6.296986939390273,1,6.246923896419732,1,001111110011110100101001011110
10,2,45.0,28,5,3,1,3.5658160716858722,1,3.1269878650301375,1,001111110011110100101001011110
10,2,45.0,29,5,4,0,-8.841229704210441,0,-8.879487854587115,0,001111110011110100101001011110
10,2,45.0,30,6,0,1,1.6429506596854093,1,1.8088652134820726,1,001111110011110100101001011110
10,2,45.0,31,6,1,0,-9.71955702255039,0,-8.763609607960857,0,001111110011110100101001011110
10,2,45.0,32,6,2,0,-10.531856776205284,0,-10.188012037573287,0,001111110011110100101001011110
10,2,45.0,33,6,3,0,-3.9816031050252847,0,-3.6343642801498026,0,001111110011110100101001011110
10,2,45.0,34,6,4,1,15.1515674549449,1,13.84394219575302,1,001111110011110100101001011110
10,2,45.0,35,7,0,1,6.78665925984946,1,5.207789481197886,1,001111110011110100101001011110
10,2,45.0,36,7,1,1,2.4187057122975,1,2.6360265268541276,1,001111110011110100101001011110
10,2,45.0,37,7,2,0,-10.7645304798823,0,-10.67740374894164,0,001111110011110100101001011110
10,2,45.0,38,7,3,1,2.7701484040826343,1,2.4498313206339644,1,001111110011110100101001011110
10,2,45.0,39,7,4,1,6.985124285527629,1,5.784350286662802,1,001111110011110100101001011110
10,2,45.0,40,8,0,0,-7.7447430798223635,0,-7.083598357947016,0,001111110011110100101001011110
10,2,45.0,41,8,1,1,2.20829907114973,1,2.1682519561559364,1,001111110011110100101001011110
10,2,45.0,42,8,2,1,-2.581531829451044,0,-2.8252556620242135,0,001111110011110100101001011110
10,2,45.0,43,8,3,0,-11.389403440203514,0,-11.7975673508257,0,001111110011110100101001011110
10,2,45.0,44,8,4,0,-1.0895440926146982,0,-0.19308430422401024,0,001111110011110100101001011110
10,2,45.0,45,9,0,0,-10.404302983919775,0,-11.15035122355939,0,001111110011110100101001011110
10,2,45.0,46,9,1,0,-5.734076396402653,0,-5.686602047084586,0,001111110011110100101001011110
10,2,45.0,47,9,2,0,-8.94258788066255,0,-9.833659298064267,0,001111110011110100101001011110
10,2,45.0,48,9,3,1,11.083104221937823,1,10.288083945249236,1,001111110011110100101001011110
10,2,45.0,49,9,4,0,-1.5491234355372918,0,-0.9078955999496072,0,001111110011110100101001011110
10,2,45.0,50,10,0,1,-5.428999221688686,0,-4.123224599593294,0,001111110011110100101001011110
10,2,45.0,51,10,1,1,3.160207035936865,1,1.8752314352977018,1,001111110011110100101001011110
10,2,45.0,52,10,2,0,-1.8008720758396195,0,-2.442096613972066,0,001111110011110100101001011110
10,2,45.0,53,10,3,1,-2.218060009336756,0,-2.7545247438755287,0,001111110011110100101001011110
