t,x,y
14725.555006,965,1611
14725.560007,831,1610
14725.565006,800,1614
14725.570005,994,1611
14725.575005,924,1614
14725.580006,767,1614
14725.585006,929,1612
14725.590005,943,1613
14725.595006,769,1610
14725.600007,822,1616
14725.605005,989,1617
14725.610005,832,1620
14725.615006,802,1620
14725.620005,972,1622
14725.625007,932,1623
14725.630006,781,1621
14725.635006,925,1625
14725.640006,931,1624
14725.645007,767,1627
14725.650006,820,1626
14725.655006,970,1629
14725.660006,836,1628
14725.665007,801,1627
14725.670005,979,1624
14725.675006,930,1629
14725.680005,774,1626
14725.685007,914,1630
14725.690005,941,1628
14725.695006,770,1627
14725.700005,826,1628
14725.705006,980,1620
14725.710006,838,1625
14725.715006,804,1625
14725.720006,973,1627
14725.725006,937,1622
14725.730006,773,1622
14725.735005,917,1625
14725.740006,936,1627
14725.745005,766,1621
14725.750007,817,1622
14725.755006,984,1621
14725.760005,829,1622
14725.765006,799,1621
14725.770006,990,1616
14725.775007,926,1618
14725.780006,784,1616
14725.785007,921,1618
14725.790007,935,1619
14725.795005,768,1617
14725.800006,816,1616
14725.805005,986,1617
14725.810006,818,1620
14725.815005,796,1617
14725.820006,986,1610
14725.825006,938,1618
14725.830005,771,1617
14725.835006,911,1621
14725.840006,952,1617
14725.845006,751,1617
14725.850005,817,1612
14725.855007,977,1613
14725.860006,819,1616
14725.865006,815,1615
14725.870006,980,1612
14725.875005,921,1614
14725.880006,770,1611
14725.885006,929,1601
14725.890006,943,1610
14725.895006,773,1605
14725.900006,818,1605
14725.905006,964,1608
14725.910007,832,1604
14725.915007,800,1601
14725.920005,974,1602
14725.925005,942,1595
14725.930006,776,1600
14725.935007,923,1599
14725.940006,935,1604
14725.945006,767,1596
14725.950007,832,1601
14725.955006,965,1605
14725.960007,833,1606
14725.965006,793,1606
14725.970006,996,1606
14725.975007,923,1609
14725.980006,763,1608
14725.985005,914,1610
14725.990005,935,1609
14725.995006,772,1609
14726.000006,817,1612
14726.005006,982,1602
14726.010005,832,1606
14726.015006,803,1607
14726.020005,994,1605
14726.025006,928,1605
14726.030005,763,1607
14726.035006,914,1607
14726.040006,952,1604
14726.045007,753,1604
14726.050007,828,1595
14726.055006,973,1607
14726.060006,835,1600
14726.065007,811,1602
14726.070005,974,1602
14726.075006,919,1602
14726.080005,781,1604
14726.085005,922,1609
14726.090006,931,1605
14726.095007,771,1602
14726.100006,816,1606
14726.105006,984,1601
14726.110006,822,1602
14726.115006,791,1599
14726.120007,983,1601
14726.125007,936,1600
14726.130006,765,1598
14726.135006,930,1596
14726.140007,932,1598
14726.145006,764,1597
14726.150007,812,1598
14726.155006,981,1596
14726.160006,821,1593
14726.165006,794,1593
14726.170005,988,1586
14726.175006,928,1592
14726.180005,758,1599
14726.185006,929,1597
14726.190006,934,1599
14726.195006,767,1600
14726.200005,817,1600
14726.205007,965,1603
14726.210005,821,1604
14726.215006,798,1604
14726.220007,984,1605
14726.225007,915,1609
14726.230006,780,1608
14726.235005,911,1615
14726.240006,949,1613
14726.245006,748,1615
14726.250006,822,1615
14726.255007,974,1616
14726.260006,814,1618
14726.265006,813,1618
14726.270006,978,1616
14726.275006,921,1619
14726.280006,784,1618
14726.285006,921,1620
14726.290007,934,1621
14726.295006,757,1621
14726.300006,834,1622
14726.305006,975,1620
14726.310007,813,1623
14726.315006,810,1623
14726.320006,972,1625
14726.325006,935,1620
14726.330006,767,1622
14726.335007,927,1621
14726.340006,934,1622
14726.345006,767,1619
14726.350005,818,1619
14726.355006,989,1618
14726.360005,821,1621
14726.365006,809,1618
14726.370006,989,1615
14726.375006,914,1616
14726.380006,762,1617
14726.385005,916,1613
14726.390006,952,1609
14726.395006,756,1611
14726.400006,812,1611
14726.405007,976,1602
14726.410007,822,1606
14726.415006,813,1602
14726.420006,987,1601
14726.425006,923,1602
14726.430006,764,1599
14726.435006,913,1603
14726.440005,945,1600
14726.445006,758,1597
14726.450007,811,1599
14726.455007,980,1596
14726.460007,825,1593
14726.465006,799,1596
14726.470006,976,1594
14726.475007,917,1595
14726.480005,782,1592
14726.485005,910,1595
14726.490007,957,1588
14726.495006,753,1592
14726.500007,809,1590
14726.505006,980,1588
14726.510005,817,1589
14726.515006,813,1589
14726.520006,984,1589
14726.525006,917,1589
14726.530005,762,1587
14726.535006,925,1581
14726.540006,938,1588
14726.545006,749,1590
14726.550005,831,1590
14726.555005,973,1589
14726.560007,811,1593
14726.565006,794,1585
14726.570006,991,1591
14726.575006,924,1593
14726.580005,760,1593
14726.585005,934,1592
14726.590006,950,1593
14726.595007,751,1596
14726.600006,828,1595
14726.605007,976,1597
14726.610006,819,1597
14726.615006,803,1591
14726.620005,981,1598
14726.625006,911,1598
14726.630007,776,1593
14726.635006,917,1594
14726.640006,931,1597
14726.645006,753,1593
14726.650006,833,1595
14726.655006,968,1592
14726.660007,810,1592
14726.665006,810,1585
14726.670006,985,1590
14726.675006,917,1593
14726.680005,769,1592
14726.685007,915,1591
14726.690006,931,1596
14726.695006,764,1595
14726.700005,822,1598
14726.705005,975,1601
14726.710005,819,1602
14726.715006,799,1596
14726.720007,994,1606
14726.725007,926,1606
14726.730005,767,1610
14726.735005,915,1612
14726.740006,950,1609
14726.745005,763,1613
14726.750006,819,1616
14726.755007,973,1609
14726.760006,815,1616
14726.765007,814,1617
14726.770007,990,1619
14726.775006,925,1620
14726.780006,769,1619
14726.785007,919,1623
14726.790006,960,1623
14726.795006,764,1622
14726.800007,822,1621
14726.805006,989,1624
14726.810006,825,1623
14726.815007,797,1624
14726.820006,998,1622
14726.825006,933,1623
14726.830006,770,1624
14726.835007,920,1624
14726.840006,938,1627
14726.845006,774,1619
14726.850005,830,1625
14726.855006,977,1624
14726.860005,817,1626
14726.865007,800,1625
14726.870006,998,1623
14726.875006,931,1625
14726.880006,763,1626
14726.885005,939,1620
14726.890006,948,1621
14726.895005,760,1623
14726.900006,818,1625
14726.905006,985,1615
14726.910006,835,1620
14726.915006,812,1616
14726.920006,975,1618
14726.925005,937,1617
14726.930006,769,1615
14726.935006,913,1619
14726.940005,952,1614
14726.945006,756,1613
14726.950007,829,1609
14726.955006,981,1609
14726.960006,823,1610
14726.965007,797,1606
14726.970007,974,1603
14726.975007,916,1612
14726.980006,783,1607
14726.985005,927,1605
14726.990007,938,1606
14726.995006,753,1605
14727.000005,813,1603
14727.005005,985,1596
14727.010006,819,1601
14727.015007,793,1605
14727.020005,995,1601
14727.025007,923,1600
14727.030006,766,1602
14727.035007,930,1601
14727.040006,950,1604
14727.045006,751,1601
14727.050006,827,1602
14727.055006,974,1603
14727.060006,818,1603
14727.065006,795,1609
14727.070007,993,1605
14727.075006,926,1606
14727.080005,762,1611
14727.085006,933,1610
14727.090005,942,1611
14727.095007,759,1610
14727.100005,831,1609
14727.105007,977,1613
14727.110007,817,1614
14727.115006,801,1616
14727.120007,997,1612
14727.125005,933,1616
14727.130006,770,1616
14727.135005,916,1616
14727.140006,951,1609
14727.145006,763,1611
14727.150006,825,1611
14727.155006,965,1611
14727.160006,809,1614
14727.165006,795,1613
14727.170006,992,1603
14727.175006,933,1605
14727.180005,776,1607
14727.185006,921,1606
14727.190006,944,1599
14727.195006,764,1604
14727.200005,813,1608
14727.205007,971,1600
14727.210006,827,1608
14727.215006,801,1609
14727.220006,972,1613
14727.225005,933,1610
14727.230006,779,1608
14727.235006,917,1610
14727.240006,951,1608
14727.245006,751,1609
14727.250006,812,1613
14727.255007,974,1610
14727.260005,815,1614
14727.265006,794,1612
14727.270005,992,1601
14727.275005,930,1611
14727.280006,768,1609
14727.285006,918,1612
14727.290007,948,1604
14727.295006,748,1613
14727.300006,830,1608
14727.305006,980,1609
14727.310007,809,1614
14727.315006,812,1610
14727.320006,985,1612
14727.325006,918,1611
14727.330005,780,1607
14727.335006,914,1609
14727.340006,955,1609
14727.345006,761,1609
14727.350005,817,1606
14727.355006,984,1609
14727.360006,821,1609
14727.365007,795,1609
14727.370006,990,1606
14727.375006,929,1608
14727.380006,770,1605
14727.385005,915,1605
14727.390006,959,1602
14727.395005,757,1604
14727.400006,814,1605
14727.405005,981,1603
14727.410006,813,1605
14727.415006,805,1606
14727.420005,975,1606
14727.425005,914,1607
14727.430006,786,1605
14727.435006,925,1605
14727.440005,948,1606
14727.445006,754,1607
14727.450006,835,1609
14727.455005,972,1610
14727.460005,811,1611
14727.465006,810,1610
14727.470007,970,1615
14727.475006,932,1608
14727.480006,771,1610
14727.485005,914,1613
14727.490006,948,1606
14727.495006,760,1606
14727.500005,822,1600
14727.505005,980,1606
14727.510007,825,1608
14727.515006,810,1608
14727.520006,977,1609
14727.525005,921,1605
14727.530006,763,1610
14727.535006,933,1607
14727.540007,939,1607
14727.545006,750,1608
14727.550006,812,1614
14727.555005,988,1611
14727.560006,828,1613
14727.565005,798,1612
14727.570007,973,1617
14727.575005,937,1617
14727.580006,774,1619
14727.585006,921,1618
14727.590005,958,1617
14727.595006,769,1618
14727.600005,822,1622
14727.605006,967,1620
14727.610005,813,1621
14727.615006,819,1619
14727.620005,976,1623
14727.625006,933,1621
14727.630007,771,1621
14727.635005,915,1622
14727.640006,958,1619
14727.645006,760,1619
14727.650007,833,1618
14727.655006,978,1613
14727.660007,813,1617
14727.665006,810,1614
14727.670006,981,1617
14727.675006,923,1606
14727.680006,779,1611
14727.685005,932,1610
14727.690006,939,1610
14727.695006,754,1609
14727.700007,841,1610
14727.705005,983,1608
14727.710005,812,1611
14727.715006,814,1608
14727.720007,985,1608
14727.725005,925,1608
14727.730007,763,1608
14727.735006,942,1604
14727.740007,951,1605
14727.745006,757,1607
14727.750005,836,1606
14727.755006,976,1607
14727.760006,815,1608
14727.765006,798,1607
14727.770005,993,1601
14727.775007,923,1607
14727.780005,780,1604
14727.785007,924,1606
14727.790006,944,1605
14727.795007,754,1607
14727.800006,838,1609
14727.805006,975,1606
14727.810007,811,1610
14727.815006,811,1607
14727.820005,986,1607
14727.825005,923,1606
14727.830007,770,1608
14727.835006,923,1609
14727.840006,942,1600
14727.845006,766,1608
14727.850006,824,1608
14727.855007,988,1604
14727.860006,816,1607
14727.865007,792,1609
14727.870006,987,1609
14727.875005,921,1608
14727.880005,767,1605
14727.885006,929,1609
14727.890006,948,1604
14727.895005,768,1608
14727.900006,820,1609
14727.905006,967,1611
14727.910006,820,1603
14727.915006,811,1608
14727.920005,986,1605
14727.925005,926,1609
14727.930005,764,1611
14727.935006,938,1605
14727.940006,934,1610
14727.945006,748,1613
14727.950006,831,1611
14727.955005,962,1613
14727.960006,827,1608
14727.965005,804,1610
14727.970007,972,1615
14727.975006,936,1609
14727.980006,769,1608
14727.985005,932,1610
14727.990007,954,1612
14727.995006,751,1609
14728.000006,832,1605
