t,x,y
0.000000,827,1612
0.004999,796,1613
0.010000,973,1616
0.015000,937,1614
0.020000,773,1615
0.024999,924,1609
0.030001,951,1617
0.035001,755,1620
0.039999,835,1617
0.045000,982,1618
0.049999,828,1617
0.055000,809,1616
0.059999,989,1618
0.065001,919,1619
0.070000,782,1619
0.074999,912,1618
0.079999,959,1617
0.085001,756,1617
0.090000,826,1618
0.094999,971,1617
0.100001,824,1619
0.105001,806,1616
0.110000,973,1617
0.114999,937,1612
0.120001,765,1616
0.125001,922,1615
0.129999,941,1615
0.135000,771,1603
0.140000,832,1613
0.145000,965,1614
0.149999,832,1613
0.155000,789,1613
0.160000,985,1611
0.165000,926,1608
0.170001,761,1612
0.175001,918,1609
0.180000,945,1606
0.184999,755,1609
0.190001,827,1606
0.195001,976,1605
0.200000,828,1605
0.205000,815,1607
0.209999,979,1606
0.215000,918,1605
0.219999,783,1603
0.224999,910,1604
0.230000,943,1604
0.235001,756,1600
0.240001,828,1604
0.245001,979,1601
0.250000,831,1600
0.255001,812,1603
0.260001,974,1602
0.264999,918,1601
0.270000,784,1601
0.275001,914,1600
0.279999,938,1605
0.284999,772,1602
0.290000,815,1603
0.295001,987,1603
0.300000,842,1603
0.305000,792,1604
0.309999,996,1599
0.315001,924,1602
0.320001,777,1603
0.325000,904,1604
0.330001,960,1600
0.335000,755,1604
0.340000,826,1605
0.344999,974,1601
0.350000,830,1604
0.355000,809,1601
0.360000,968,1611
0.365000,936,1605
0.369999,766,1605
0.374999,897,1608
0.380000,958,1610
0.385000,761,1609
0.389999,825,1604
0.395000,978,1611
0.399999,837,1612
0.405000,793,1611
0.410000,982,1614
0.415000,941,1608
0.420001,763,1610
0.425000,919,1612
0.430001,942,1614
0.435000,753,1613
0.440000,815,1612
0.444999,989,1609
0.450000,845,1609
0.455001,794,1606
0.459999,987,1600
0.465001,927,1606
0.469999,758,1607
0.475000,916,1605
0.480000,961,1606
0.485000,758,1605
0.489999,824,1604
0.495000,973,1604
0.500000,845,1607
0.504999,796,1605
0.510000,970,1605
0.514999,922,1608
0.520001,782,1602
0.525001,910,1605
0.530000,942,1606
0.535001,778,1601
0.540000,815,1606
0.545000,964,1606
0.549999,849,1604
0.555001,798,1596
0.560000,969,1602
0.565001,927,1593
0.570000,767,1603
0.574999,912,1598
0.579999,948,1601
0.585000,769,1606
0.590000,813,1602
0.595000,984,1606
0.600000,829,1609
0.605001,803,1604
0.609999,969,1604
0.614999,934,1605
0.620000,770,1597
0.625001,903,1608
0.629999,939,1611
0.635001,772,1605
0.640000,813,1610
0.645001,962,1609
0.650000,838,1608
0.655000,788,1611
0.660000,983,1607
0.664999,917,1610
0.669999,763,1608
0.674999,903,1599
0.680001,952,1608
0.685001,755,1607
0.689999,829,1605
0.695000,966,1607
0.699999,840,1605
0.705000,786,1608
0.709999,983,1602
0.714999,921,1606
0.720000,768,1609
0.725001,909,1606
0.730000,960,1608
0.735000,758,1611
0.739999,809,1613
0.745001,984,1614
0.750000,839,1610
0.755000,791,1615
0.760001,975,1614
0.765000,918,1615
0.770000,762,1615
0.774999,913,1612
0.780001,946,1616
0.785001,770,1611
0.789999,821,1612
0.794999,972,1614
0.799999,849,1612
0.805000,792,1612
0.810000,982,1611
0.815001,923,1612
0.820000,778,1612
0.824999,890,1613
0.830000,949,1614
0.834999,753,1617
0.840000,821,1613
0.844999,973,1613
0.850000,840,1613
0.854999,787,1617
0.859999,973,1613
0.865000,934,1610
0.869999,775,1612
0.875000,890,1613
0.879999,950,1614
0.885000,761,1609
