role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,24,3,100.0,body,40,24,0,body_24,4,4,-0.026105665502992585,0.07143898450028856,-0.18338684228483035,0.12771360579520624,0.0760594128151579,0.22347594731517434,0.15728117678183776,-0.056274621294917684,0.167045507487529,-0.3066306347287716,-1.376968804984418,0.11841347379305521,-0.762376604007817,-0.846736746784751,-2.152966349542599,3.672899826799226,1.1393775514262667,4.257400291253404,1.390589745534782,-4.519636573583977,4.728726530226124,-0.9707443450392376,0.034786845225609306,4.868113058086618,-1.2773749797680092,-1.3421819597588087,-14.309763416767973,0,-12.319677036483112,12.319677036483112,0
historical,1,1,100.0,body,20,4,1,body_04,0,4,0.04752297619498236,0.2254537011983227,-0.02598207575560164,-0.09110778589360015,0.23040790926192495,0.09474015469168239,0.073505051950584,0.31656148709192283,0.3249833346067267,2.724604451399682,-0.6120482878673253,0.1163770798616715,-1.7122180685467985,3.9839339596344696,0.5464128177758881,-1.4824335891276545,4.33629110058203,1.5799292115799637,-2.2586308863226865,5.466367548762124,5.914607988599957,1.119711160500797,0.3751846794505517,5.008574259241557,3.8443156119004787,-0.23686360841677367,21.24481341853549,1,19.652476064136543,19.652476064136543,1
historical,24,3,100.0,body,72,56,1,body_56,11,1,0.1055621743171045,0.07750940861789718,-0.041767890731776024,-0.10460904204661174,0.13096213601973247,0.1126392843287428,0.14733006504888052,0.18211845066450894,0.23425046027649238,1.6805793233085213,-1.0435961767003412,0.11841347379305521,-1.207941967681697,4.207535217077024,1.0475111076795147,-2.3762692387810733,4.37749659054466,2.5969087423105854,-2.2554530753612116,6.583804455858097,6.9594216489686325,1.429580298220068,-0.006089244316145908,4.868113058086618,3.1101596215285894,-1.0496854210164872,20.638117849778332,1,18.142745473401224,18.142745473401224,1
historical,17,2,100.0,body,28,12,1,body_12,2,2,0.042260933507375927,0.15959034320468382,-0.1444791506109714,-0.15721957354525237,0.16509107833285122,0.21352334595312705,0.18674008411834733,0.3168099167499362,0.36775043489794673,4.735904233416185,-1.4046514334200413,0.07444610076954251,-2.776308375038556,4.057547326439585,-1.3170871899139727,-2.912263999680692,4.916459956066586,3.196247842341339,-1.4592211851245833,6.969811326120277,7.120926652397909,1.8909046589349203,-0.1135670670736276,3.759109744056122,6.6268088923511055,-1.5182185004936688,21.112751255338583,1,19.663528339266517,19.663528339266517,1
historical,1,1,100.0,body,61,45,0,body_45,9,0,0.030223041103404003,0.1274691979313232,0.1726426787515301,-0.009291017465819361,0.13100316269003925,0.17289250282199684,-0.1424196376481261,0.13676021539714256,0.19745052469744506,1.16632312148562,1.232190208101113,0.1163770798616715,-0.049453647966546284,0.3617739924951031,-0.9332581091643041,2.215235924562018,0.36513844626805053,2.4037971835808176,0.8838044611977578,-1.8534619320669148,2.053395105490972,-0.3812689520950739,-0.15071258952365787,5.008574259241557,0.7850541693905462,1.081477618577455,-4.310958539431695,0,-6.691796259042052,6.691796259042052,0
historical,17,2,100.0,body,36,20,1,body_20,4,0,-0.1813883083530334,0.062199018960410996,-0.08193045717915981,0.016596789187214234,0.1917561899048182,0.08359457652809164,-0.0994578511738736,0.045602229773196765,0.10941401884773186,0.2712433977443782,1.4444612107116992,0.07444610076954251,-0.8382309897617888,3.2616877128889743,0.31683077488051115,-0.975265827594856,3.367675448823407,1.0254390154395652,-1.1550617646423,4.23695354048383,4.391576366677124,1.1682490159443562,-0.00025831809255148514,3.759109744056122,1.4394924136887344,1.4442028926191477,11.92077060471067,1,12.148628183761161,12.148628183761161,1
historical,1,1,100.0,body,105,89,1,body_89,17,4,-0.0038172581842657372,0.2278274890867815,-0.09577187226508901,0.003148635314222429,0.2278594659952333,0.09582361619925692,0.09195461408082328,0.22467885377255906,0.24276786933880712,1.9362388602792608,-0.7762502092932019,0.1163770798616715,0.07091747784129397,4.832984085045394,-0.09573892851187625,-1.005736059596138,4.833504365878387,1.0102826159073353,0.16665640635317022,5.838720144641531,5.841098123231742,1.160732723227361,-0.11299559830740312,5.008574259241557,3.0969715835066216,-0.889245807600605,21.632876605391285,1,20.372461099595778,20.372461099595778,1
historical,24,3,100.0,body,101,85,0,body_85,17,0,-0.08729096310377489,-0.06896710952891605,-0.0297755445736316,-0.034926029006377896,0.11124825588007253,0.04589564856073692,-0.05751541853014329,-0.03404108052253815,0.06683426166151218,-0.34556392130575764,0.44626126203136357,0.11841347379305521,-0.43306217715069373,-1.0160223817667244,-1.454204919280403,1.1542392041069935,1.104465630759702,1.8566044510225836,1.0211427421297092,-2.170261585873718,2.398492829033118,-0.4899563246309548,-0.05187225651990328,4.868113058086618,-0.8355202459367124,0.3943890055114603,-6.517950182515142,0,-6.218015806408503,6.218015806408503,0
historical,1,1,100.0,body,70,54,1,body_54,10,4,0.000902374598369886,0.10389400612822172,-0.08876407169027418,0.014551696196812437,0.10389792485553673,0.08994894265771256,0.08966644628864408,0.08934230993140929,0.12657851292345904,0.7732135271827875,-0.7649455663950685,0.1163770798616715,-0.9042602072874143,3.0940324943042916,-1.7015792761211053,-2.5090074175315933,3.2234645334320513,3.0315821371279683,0.797319068833691,5.603039911835885,5.659485307972069,1.1051683034864292,-0.2353957321646031,5.008574259241557,1.8783818306692166,-1.0003412985596716,19.77620826929807,1,19.397228854444357,19.397228854444357,1
historical,24,3,100.0,body,37,21,0,body_21,4,1,-0.12270333360669618,0.034087240179839974,-0.10847323985013135,0.13980903659025284,0.127350100201273,0.17695482608812563,-0.014230093756564824,-0.10572179641041288,0.10667517895258209,-0.9008313016015327,0.008379873621992969,0.11841347379305521,0.8119293577362058,-0.9669700704893707,-1.6396486312602383,3.146343156606383,1.2626402493094169,3.547946292310157,2.451577988996444,-4.1133132270957535,4.788484138047523,-0.9634099250382644,-0.19848018785048924,4.868113058086618,-1.864241226639797,-0.19010031422849627,-13.906836181498408,0,-12.22659621028653,12.22659621028653,0
historical,1,1,100.0,body,48,32,0,body_32,6,2,0.15801203555308405,-0.051777684462852976,0.07119600191154245,-0.01858806141887793,0.16627907862375188,0.07358251637108053,0.0868160336415416,-0.03318962304397505,0.0929439335032171,-0.2798224499276957,-0.7480191783522196,0.1163770798616715,-0.5623825553721425,1.6987234513865328,0.6822457870058828,3.0494133099202534,1.7893952897214955,3.1248009294363173,-1.2446283423780253,-1.3506898585337206,1.83669888784104,-0.2520322555050816,0.26637688147923516,5.008574259241557,-0.5318547054327774,-0.4816422968729845,-5.79901421358396,0,-4.423513887714292,4.423513887714292,0
historical,24,3,100.0,body,30,14,0,body_14,2,4,0.13419271572974292,0.06350541878934167,0.03500112699818547,-0.07017067038151094,0.14846084726463493,0.07841557162282096,0.09919158873155745,0.1336760891708526,0.16645800699006394,1.2241709801209817,-0.691011800572507,0.11841347379305521,-1.0291576964561195,1.0002181473467888,-0.08402468108392952,2.0659105502592285,1.4351313202828195,2.067618569442547,-0.94513301537219,-1.0656924029124397,1.42442153675512,-0.1430911283231671,0.25522752628517803,4.868113058086618,1.0810798517978146,-0.43578427428732897,-0.3851400259469835,0,-1.8159636950098625,1.8159636950098625,0
historical,17,2,100.0,body,57,41,1,body_41,8,1,-0.25240410022087545,0.15638769581737397,-0.08793293309557268,0.10946735395477968,0.2969258176908455,0.14041119009769656,-0.16447116712530277,0.04692034186259429,0.17103298891167748,0.07720482991233117,2.2961093361737035,0.07444610076954251,-0.14579030184831115,0.5391563993266386,0.19214069781554177,1.8428244276669141,0.5585198609251845,1.8528140540709779,-0.3379309996638529,-1.3036680283402755,1.346754501997462,-0.31090805704617236,0.17801524625165505,3.759109744056122,-0.23370322713384117,2.4741245824253584,-3.4557116826130323,0,-3.233134659511202,3.233134659511202,0
historical,24,3,100.0,body,90,74,1,body_74,14,4,0.11168626399920137,-0.05327022821228157,0.08747355020521287,-0.028042795686708963,0.1237398027309235,0.09185869787576133,0.024212713793988497,-0.025227432525572607,0.03496682515044681,-0.18600630338251561,-0.22934773855232618,0.11841347379305521,-0.01441195716883708,-0.33473489581596455,0.11217442074970405,1.151728511829088,0.3350450044193482,1.1571783205844195,-0.12658637791854113,-1.4864634076450527,1.491843682609635,-0.27991050416451435,0.12475185794202931,4.868113058086618,-0.46591680754702997,-0.10459588061029687,-4.2620301388716175,0,-3.552332834126987,3.552332834126987,0
historical,1,1,100.0,body,60,44,0,body_44,8,4,0.0980516364640675,-0.06305882918778757,0.13170515583030584,0.16735739057444973,0.11657846864587054,0.21296653317405076,-0.03365351936623834,-0.2304162197622373,0.23286088914897973,-1.9819375086171382,0.27494172692545477,0.1163770798616715,-0.27001144952219974,-0.817727853760764,-0.2592540826615952,2.129173684909415,0.8611533113733377,2.144899358918139,-0.010757366860604523,-2.946901538670179,2.946921172946172,-0.5868441724822936,0.0424188834599326,5.008574259241557,-2.568781681099432,0.3173606103853874,-11.916168181249912,0,-10.299925069897593,10.299925069897593,0
historical,24,3,100.0,body,65,49,0,body_49,9,4,-0.017713079433785524,0.09857426549094142,-0.02296353883388037,0.07684740457071475,0.100153077836411,0.08020503540944447,0.005250459400094845,0.021726860920226673,0.02235226631370782,0.18756877426084662,-0.021213461714796177,0.11841347379305521,-1.951111527620906,-0.8541381944804562,-1.7691268187256062,2.365811475464812,2.1298798671487362,2.9541282365826933,-0.18198470889529972,-3.219949669945268,3.2250882641026037,-0.6125529429738257,0.25233939507630304,4.868113058086618,-0.42498416871297906,0.23112593336150686,-7.776986323742874,0,-7.77388450805733,7.77388450805733,0
historical,24,3,100.0,body,38,22,1,body_22,4,2,-0.0479015929037065,0.08569620686927479,0.025107203553340382,-0.14057885270320392,0.09817536592493029,0.14280331052751533,-0.07300879645704689,0.2262750595724787,0.237761828190808,1.8195413830167326,0.8490651905265311,0.11841347379305521,-3.0799168668279284,2.956343958304145,2.6424416405536135,-0.08610591828198329,4.269175272388401,2.643844180903038,-5.722358507381542,3.042449876586128,6.480886369821712,0.9760650167733829,0.9053391480588254,4.868113058086618,2.7956063997901155,1.7544043385853565,15.917756946971027,1,12.387201465254488,12.387201465254488,1
historical,17,2,100.0,body,43,27,1,body_27,5,2,0.005743770272417026,0.055405067148191656,-0.02056384801780312,-0.026712459530807378,0.05570199603818455,0.033710937979895,0.026307618290220144,0.08211752667899903,0.08622864354714183,1.155766874939474,-0.0760988140467454,0.07444610076954251,1.4483262109764454,4.1154504022472,-1.484051292909555,0.6486412461286281,4.362863833167158,1.6196122085751952,2.9323775038860003,3.466809156118572,4.540661135808778,0.6843780914792295,-0.9953240219777336,3.759109744056122,1.8401449664187035,-1.071422836024479,7.284578709554341,1,7.1168516788969,7.1168516788969,1
historical,1,1,100.0,body,21,5,0,body_05,1,0,-0.008494388956993646,-0.034511099347461424,-0.06288885446737555,0.10782934717395995,0.0355411117147881,0.12482858698303496,0.054394465510381906,-0.14234044652142136,0.15237965938430806,-1.2197066766898834,-0.4761753563034633,0.1163770798616715,-0.35657519195056203,3.3578473416461763,-1.571226805619201,0.9850156958735927,3.376726911865227,1.8544566848038422,1.214651613668639,2.3728316457725835,2.6656534961933174,0.45604164278609327,-0.27437573745318616,5.008574259241557,-0.7636650339037901,-0.7505510937566495,6.842898375751364,1,8.004160166711875,8.004160166711875,1
historical,24,3,100.0,body,97,81,1,body_81,16,1,-0.06874263692098044,-0.011188474947796637,-0.028262221110722376,0.06284174100604967,0.06964719737726147,0.06890455394807216,-0.04048041581025806,-0.0740302159538463,0.08437497815314983,-0.6627945468936614,0.2615805057514858,0.11841347379305521,-3.2551988642770735,3.566494015763883,-0.2018200433072762,-1.451991118577212,4.828685039477139,1.4659500463206971,-3.0533788209697974,5.018485134341095,5.874377862203747,1.1796166652221562,0.25424834520545836,4.868113058086618,0.5168221183284949,0.5158288509569442,13.957931990302297,1,14.970467164351884,14.970467164351884,1
historical,17,2,100.0,body,19,3,1,body_03,0,3,-0.01568592321599272,0.10050247107233022,0.10500327263098093,0.13980232678153284,0.10171919621577134,0.1748438670264033,-0.12068919584697366,-0.03929985570920262,0.12692659553046126,-0.9043246059039742,1.4453506503681837,0.07444610076954251,1.315839439229161,0.04557049193232149,-0.8453921679996884,-1.289374783170987,1.3166283072932417,1.541809083250077,2.1612316072288493,1.3349452751033084,2.540275762118287,0.19125875174098608,-0.6481348412108638,3.759109744056122,-0.7130658541629882,0.7972158091573198,1.4110762564712196,1,1.9889008508287027,1.9889008508287027,1
historical,1,1,100.0,body,32,16,0,body_16,3,1,0.022983141385722893,0.15870884041986089,0.01457476734825147,0.17425435975674736,0.1603643377293499,0.17486281976878215,0.008408374037471423,-0.01554551933688647,0.017673820339913344,-0.13305624031024835,-0.07320912883822471,0.1163770798616715,-0.9003325795321602,0.7062435456354581,-0.8118618422565391,2.9018305735132026,1.1442808656613885,3.0132607468136814,-0.08847073727562105,-2.1955870278777443,2.197368760208245,-0.43612824537268957,0.04763012726807623,5.008574259241557,-0.5691844856829379,-0.02557900157014848,-8.003325608884225,0,-7.654652561690304,7.654652561690304,0
historical,24,3,100.0,body,39,23,0,body_23,4,3,-0.057807658886898525,0.0212548405233376,0.039915420168634724,0.045508475287497276,0.06159134412932171,0.06053314868922153,-0.09772307905553325,-0.024253634764159676,0.10068782935075746,-0.30571171984892964,0.7934498590501636,0.11841347379305521,-1.9853531624243819,1.1300360421472004,-1.3847897429670808,1.937242757767823,2.2844274197488095,2.38129211453587,-0.6005634194573011,-0.8072067156206226,1.0061108798404272,-0.1161571157646576,0.17094308354920293,4.868113058086618,-0.42186883561358723,0.9643929425993666,-1.521246577126445,0,-1.4741452360993348,1.4741452360993348,0
historical,17,2,100.0,body,42,26,1,body_26,5,1,0.04838623019948965,-0.1513544305540783,-0.06269819090642681,0.0029378032248672747,0.15890056929182889,0.06276698041746777,0.11108442110591646,-0.15429223377894558,0.1901205986129156,-1.6501062048729667,-1.9491162103631623,0.07444610076954251,-0.7793021802419661,2.8714500886821765,-1.4399642474050809,-1.2884404594665742,2.975321411196236,1.9322463226502251,0.6606620671631148,4.15989054814875,4.212026084862908,1.0213259797905578,-0.4608469162245357,3.759109744056122,-0.6287802250824088,-2.409963126587698,10.195722062844162,1,10.620774692338395,10.620774692338395,1
historical,24,3,100.0,body,22,6,0,body_06,1,1,-0.09347904513465723,0.08222115937613181,-0.03559874453937099,0.05635110816240845,0.12449357786023563,0.06665371710498111,-0.05788030059528624,0.025870051213723357,0.06339864940833805,0.15608638104204883,0.5121434220502193,0.11841347379305521,-0.8273321249935959,-1.6500007531856657,-0.3593743578503447,3.1928910563570203,1.845800891363877,3.2130520112262415,-0.46795776714325116,-4.842891809542686,4.865448134629053,-0.9082038881458541,0.41721834643212774,4.868113058086618,-0.7521175071038052,0.9293617684823471,-11.31989326704441,0,-11.52597863939441,11.52597863939441,0
historical,24,3,100.0,body,96,80,1,body_80,16,0,-0.05205536980108489,-0.09307690715670298,-0.06629984357135771,-0.030321067918846097,0.1066446068537233,0.07290429628853008,0.014244473770272818,-0.06275583923785688,0.06435215918242158,-0.5109333394081057,-0.18517100383334334,0.11841347379305521,-1.9868379063973163,1.5059504565039623,2.285141755416549,1.2997285712141993,2.49307273133813,2.6289098883717434,-4.271979661813866,0.20622188528976304,4.276954254714887,0.327949790589544,0.8150617011352917,4.868113058086618,-0.18298354881856171,0.6298906973019485,2.3920639684328155,1,4.16199746606007,4.16199746606007,1
historical,24,3,100.0,body,87,71,1,body_71,14,1,0.0540198496157591,0.0018717156164642723,0.018204800330397706,-0.00022470999491035825,0.05405226611214506,0.018206187125575223,0.03581504928536139,0.0020964256113746305,0.03587635371183773,0.05512398417943805,-0.2979183749485114,0.11841347379305521,-3.292185603461341,3.4304024837542397,-0.2478007973421515,-3.9417218572603927,4.754592227329844,3.949503314996422,-3.044384806119189,7.372124341014633,7.9759949941753225,1.6357250566167467,0.09386681629730906,4.868113058086618,1.6908490407961847,-0.20405155865120236,20.822301724341383,1,20.758920225475897,20.758920225475897,1
