sequence,repetition,duty_percent,body_bit_index,symbol_index,bit_in_symbol,target_bit,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_bit,payload_bits
32,4,50.0,0,0,0,1,4.013196091874894,1,4.148949848258818,1,111001000111101100010011100010
32,4,50.0,1,0,1,1,5.522893984401876,1,3.8966956572299973,1,111001000111101100010011100010
32,4,50.0,2,0,2,1,-0.5733262096487439,0,-0.0811492551242341,0,111001000111101100010011100010
32,4,50.0,3,0,3,0,-3.9190202865282315,0,-6.825663625175592,0,111001000111101100010011100010
32,4,50.0,4,0,4,0,-4.546633605855137,0,-4.487524614961476,0,111001000111101100010011100010
32,4,50.0,5,1,0,1,1.0519617740779008,1,1.1157452204078766,1,111001000111101100010011100010
32,4,50.0,6,1,1,0,-1.5854854513541148,0,-1.9581090434987842,0,111001000111101100010011100010
32,4,50.0,7,1,2,0,-4.5131973694100305,0,-4.025498623050403,0,111001000111101100010011100010
32,4,50.0,8,1,3,0,-4.863331072726066,0,-3.893262903714602,0,111001000111101100010011100010
32,4,50.0,9,1,4,1,6.339922160419466,1,5.464599549048099,1,111001000111101100010011100010
32,4,50.0,10,2,0,1,5.192289762992154,1,4.845466633607114,1,111001000111101100010011100010
32,4,50.0,11,2,1,1,9.124302881884624,1,8.485493419030846,1,111001000111101100010011100010
32,4,50.0,12,2,2,1,5.417328656115622,1,4.87664397319262,1,111001000111101100010011100010
32,4,50.0,13,2,3,0,-1.9157318241366652,0,-2.5745093516274213,0,111001000111101100010011100010
32,4,50.0,14,2,4,1,6.203053196087635,1,5.212144555419762,1,111001000111101100010011100010
32,4,50.0,15,3,0,1,2.0430829056998876,1,0.4493748576006096,1,111001000111101100010011100010
32,4,50.0,16,3,1,0,7.13670602801672,1,6.798906565538061,1,111001000111101100010011100010
32,4,50.0,17,3,2,0,-1.6714949981689728,0,-1.2178603931526997,0,111001000111101100010011100010
32,4,50.0,18,3,3,0,-9.993391503019165,0,-9.343040829486661,0,111001000111101100010011100010
32,4,50.0,19,3,4,1,6.339311706872028,1,6.381216525892311,1,111001000111101100010011100010
32,4,50.0,20,4,0,0,-1.663228137019991,0,-2.5889199488286416,0,111001000111101100010011100010
32,4,50.0,21,4,1,0,-7.018196654988796,0,-6.525462674346488,0,111001000111101100010011100010
32,4,50.0,22,4,2,1,-1.7070447842196559,0,0.5980514541173835,1,111001000111101100010011100010
32,4,50.0,23,4,3,1,6.141461711053971,1,6.342431270597784,1,111001000111101100010011100010
32,4,50.0,24,4,4,1,4.445036963282688,1,4.327299584645696,1,111001000111101100010011100010
32,4,50.0,25,5,0,0,-0.2663783027707475,0,-0.7483656996171748,0,111001000111101100010011100010
32,4,50.0,26,5,1,0,-2.156385813522002,0,-2.728259712837916,0,111001000111101100010011100010
32,4,50.0,27,5,2,0,-3.383284863267872,0,-4.294781245590419,0,111001000111101100010011100010
32,4,50.0,28,5,3,1,-0.06882622696591234,0,0.26101488715331467,1,111001000111101100010011100010
32,4,50.0,29,5,4,0,-5.667102661028771,0,-4.011924318699946,0,111001000111101100010011100010
