role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,1,1,100.0,body,63,47,0,body_47,9,2,0.148226960879605,-0.07804998949445625,-0.014656334913117311,0.08662505131986922,0.16752024591579573,0.08785617604503076,0.16288329579272232,-0.1646750408143255,0.23162218614696486,-1.5500650584057982,-1.4766702426229241,0.10819148100974983,1.794604576057942,-0.6876567278379593,-2.722676775167529,4.060876580240022,1.92184217867881,4.889139742529206,4.5172813512254715,-4.748533308077981,6.553960587618408,-1.0690605401373356,-0.8919846659271865,4.707256773161928,-2.6191255985431336,-2.3686549085501105,-20.946644705072636,0,-18.692075265744432,18.692075265744432,0
historical,22,3,10.0,body,88,72,1,body_72,14,2,0.008256726904970786,-0.11955221096387901,0.09308609960326883,-0.09443670017159388,0.11983699214155494,0.13260208248232455,-0.08482937269829804,-0.025115510792285134,0.08846926785468581,-1.486511650449244,-0.32202728872481956,0.05816548245098493,-0.8040385305778328,-1.7336836836158707,-1.1820390665038771,0.9195208662103251,1.911056533305505,1.4975763680485694,0.3780005359260443,-2.653204549826196,2.679996042605064,1.551121342716713,2.125309435111609,1.018566928335464,0.06460969226746904,1.8032821463867896,0.5664369437672345,1,1.2345993010643364,1.2345993010643364,1
historical,3,1,45.0,body,32,16,0,body_16,3,1,-0.05171238105517111,-0.023045825251445547,-0.17009357887214652,0.148847503028024,0.05661519598054382,0.22602523029788674,0.1183811978169754,-0.17189332827946954,0.2087137376972952,-8.485685779736402,3.3180519309747503,0.022907055387682583,-1.1827748317779139,0.7400593618265499,-3.6383522193766873,1.438665830238406,1.3952219041121712,3.91246293827032,2.4555773875987734,-0.6986064684118563,2.5530200359952726,-1.506697388025471,-1.0067547713375706,1.4088767531661803,-9.992383167761872,2.3112971596371796,-1.6203964143457077,0,-1.7207040316723035,1.7207040316723035,0
historical,36,4,30.0,body,63,47,0,body_47,9,2,0.04529067610090338,-0.1362721441903041,0.06974182213107459,-0.001475612481185254,0.14360133224973914,0.06975743104757424,-0.024451146030171213,-0.13479653170911884,0.1369962171119927,-1.1335396066196868,1.4190658968822114,0.0754292507986556,-1.2788971083912506,-1.1361326457824015,-1.6453272883937404,-1.1853794235671335,1.7106651345789514,2.027862486400261,0.36643018000248984,0.049246777784732076,0.3697246569257126,-0.23513146038557958,-0.1264878483585533,1.384765879753833,-1.3686710670052664,1.2925780485236582,-1.1183258381315064,0,-0.4506048683610264,0.4506048683610264,0
historical,16,2,1.0,body,103,87,0,body_87,17,2,-0.13643018771076662,-0.02478852037743893,0.12561168513311663,0.16521935942492072,0.13866386285293555,0.20754693968055124,-0.26204187284388325,-0.19000787980235964,0.32368030139401105,3.154011414184101,-5.821161547453366,0.04888911278425375,0.9160889957594357,-1.1692445143311294,0.49990210342406993,2.3290971420759283,1.485379339577931,2.382140971948148,0.41618689233536577,-3.4983416564070575,3.523010910330061,18.881601536889864,4.086483640442431,0.1823622298057044,22.035612951073965,-1.7346779070109353,1.2756139723503035,1,0.33682818345006804,0.33682818345006804,1
historical,2,1,50.0,body,87,71,1,body_71,14,1,0.019689668800926482,0.03307354047675855,-0.1089824854105851,0.025803334332321164,0.0384908058782609,0.11199550968201331,0.12867215421151157,0.0072702061444373835,0.12887738035362772,0.15366059531188103,-1.8029776093326548,0.07122210801706245,-0.8739611547953621,1.3579435759674918,0.030869080444419744,0.5478571426079787,1.6148742538051135,0.5487261145909343,-0.9048302352397818,0.8100864333595131,1.214478400020855,0.4074711408459712,0.19443725370384318,2.6899648587201703,0.5611317361578523,-1.6085403556288116,2.731217730871645,1,2.112577757164876,2.112577757164876,1
historical,2,1,50.0,body,61,45,0,body_45,9,0,-0.06729610112185407,-0.01779228064181955,-0.046163776742381465,-0.056902630814399655,0.06960840808867902,0.07327348549591663,-0.0211323243794726,0.039110350172580105,0.04445441062820526,0.5404294622379964,0.3122804155176409,0.07122210801706245,0.11401535271324545,-1.6220159341475389,-1.8664881777510693,2.8253105398449843,1.626018201399615,3.3861715497363187,1.9805035304643148,-4.447326473992523,4.868378272120643,-1.8093258882288614,-0.04270064086898663,2.6899648587201703,-1.268896425990865,0.2695797746486543,-9.615044514014954,0,-9.38064378988686,9.38064378988686,0
historical,35,4,35.0,body,53,37,1,body_37,7,2,-0.03730204199737065,0.05852162599397357,-0.03352199810657425,-0.21025254303006022,0.0693990132937935,0.21290809333528044,-0.0037800438907964057,0.2687741690240338,0.2688007490063527,-16.1319975957027,54.07699251122561,0.0047632742650572995,-1.060178685203078,-1.233637909533402,0.8096257968263779,-1.57759298558466,1.6266042347162597,1.7732155985814777,-1.8698044820294557,0.34395507605125797,1.901176976338307,1.9559143703414725,1.8189233745446483,0.7117925846423876,-14.176083225361227,55.89591588577026,0.26304192435073837,1,0.7456132807895568,0.7456132807895568,1
historical,29,4,10.0,body,36,20,0,body_20,4,0,-0.07718511614872166,0.030331483261757622,-0.02795113628293113,-0.12436106921384364,0.08293094134127464,0.12746349106907984,-0.04923397986579053,0.15469255247560126,0.16233844450665935,3.895367854456308,-2.739253417414327,0.034089823290726455,-0.8869684130290955,1.3884356830961755,0.2101509968722732,-1.4770824979884445,1.6475638414963152,1.4919571533225051,-1.0971194099013686,2.86551818108462,3.0683652725366377,-0.7378840468772163,-2.7408791418704177,1.080994055215013,3.1574838075790916,-5.480132559284744,-0.27842388758061587,0,-0.5016122056799208,0.5016122056799208,0
historical,8,1,10.0,body,42,26,1,body_26,5,1,0.06949654763668112,0.036765604309101765,-0.02478283184535427,-0.14077421362272338,0.07862238735647074,0.14293903586974155,0.09427937948203538,0.17753981793182516,0.2010198705272274,-0.37484704077455205,3.166046858566259,0.06305200557891466,-0.6549525202715913,0.4134849676039218,0.30729275367216574,0.003739763908839761,0.7745531758662704,0.30731550936052054,-0.962245273943757,0.409745203695082,1.045852331439874,-3.289343742916159,1.8926168887041623,0.27558924715247357,-3.664190783690711,5.058663747270422,-0.1827930126195801,0,-0.1650004194443785,0.1650004194443785,0
