Run: rs18_experiment_11V_20260728_091828
Frozen condition: 11 V, 3 m, 2 coded bits/s
Frames: 45; QNX session: 51.33 minutes
Prelaunch transmitter-off capture: 120 seconds
Minimum capture: 53.33 minutes
Serial: /dev/cu.usbmodem1201
Capture ready; preserving 120s transmitter-off baseline
2026-07-28T13:20:31.575657Z RS18 running; capture PID 75538
2026-07-28T13:20:41.883600Z RS18 running; capture PID 75538
2026-07-28T13:20:52.205302Z RS18 running; capture PID 75538
2026-07-28T13:21:02.572338Z RS18 running; capture PID 75538
2026-07-28T13:21:12.910700Z RS18 running; capture PID 75538
2026-07-28T13:21:23.225874Z RS18 running; capture PID 75538
2026-07-28T13:21:33.511757Z RS18 running; capture PID 75538
2026-07-28T13:21:43.810772Z RS18 running; capture PID 75538
2026-07-28T13:21:54.233218Z RS18 running; capture PID 75538
2026-07-28T13:22:04.514092Z RS18 running; capture PID 75538
2026-07-28T13:22:14.795653Z RS18 running; capture PID 75538
2026-07-28T13:22:25.147813Z RS18 running; capture PID 75538
2026-07-28T13:22:35.429793Z RS18 running; capture PID 75538
2026-07-28T13:22:45.757852Z RS18 running; capture PID 75538
2026-07-28T13:22:56.060492Z RS18 running; capture PID 75538
2026-07-28T13:23:06.339210Z RS18 running; capture PID 75538
2026-07-28T13:23:16.659374Z RS18 running; capture PID 75538
2026-07-28T13:23:26.975541Z RS18 running; capture PID 75538
2026-07-28T13:23:37.326812Z RS18 running; capture PID 75538
2026-07-28T13:23:47.696094Z RS18 running; capture PID 75538
2026-07-28T13:23:57.997804Z RS18 running; capture PID 75538
2026-07-28T13:24:08.281950Z RS18 running; capture PID 75538
2026-07-28T13:24:18.667241Z RS18 running; capture PID 75538
2026-07-28T13:24:29.121376Z RS18 running; capture PID 75538
2026-07-28T13:24:40.295861Z RS18 running; capture PID 75538
2026-07-28T13:24:50.747535Z RS18 running; capture PID 75538
2026-07-28T13:25:01.092846Z RS18 running; capture PID 75538
2026-07-28T13:25:11.597720Z RS18 running; capture PID 75538
2026-07-28T13:25:21.905029Z RS18 running; capture PID 75538
2026-07-28T13:25:32.358784Z RS18 running; capture PID 75538
2026-07-28T13:25:42.707462Z RS18 running; capture PID 75538
2026-07-28T13:25:53.068106Z RS18 running; capture PID 75538
2026-07-28T13:26:03.384269Z RS18 running; capture PID 75538
2026-07-28T13:26:13.720958Z RS18 running; capture PID 75538
2026-07-28T13:26:24.070933Z RS18 running; capture PID 75538
2026-07-28T13:26:34.375095Z RS18 running; capture PID 75538
2026-07-28T13:26:44.773234Z RS18 running; capture PID 75538
2026-07-28T13:26:55.115816Z RS18 running; capture PID 75538
2026-07-28T13:27:05.431429Z RS18 running; capture PID 75538
2026-07-28T13:27:15.764896Z RS18 running; capture PID 75538
2026-07-28T13:27:26.064247Z RS18 running; capture PID 75538
2026-07-28T13:27:36.376345Z RS18 running; capture PID 75538
2026-07-28T13:27:46.708199Z RS18 running; capture PID 75538
2026-07-28T13:27:57.105690Z RS18 running; capture PID 75538
2026-07-28T13:28:07.543325Z RS18 running; capture PID 75538
2026-07-28T13:28:18.218842Z RS18 running; capture PID 75538
2026-07-28T13:28:28.496909Z RS18 running; capture PID 75538
2026-07-28T13:28:38.852525Z RS18 running; capture PID 75538
2026-07-28T13:28:49.154803Z RS18 running; capture PID 75538
2026-07-28T13:28:59.459480Z RS18 running; capture PID 75538
2026-07-28T13:29:09.825033Z RS18 running; capture PID 75538
2026-07-28T13:29:20.129232Z RS18 running; capture PID 75538
2026-07-28T13:29:30.548868Z RS18 running; capture PID 75538
2026-07-28T13:29:40.939918Z RS18 running; capture PID 75538
2026-07-28T13:29:51.274379Z RS18 running; capture PID 75538
2026-07-28T13:30:01.654801Z RS18 running; capture PID 75538
2026-07-28T13:30:12.087236Z RS18 running; capture PID 75538
2026-07-28T13:30:22.528272Z RS18 running; capture PID 75538
2026-07-28T13:30:32.874141Z RS18 running; capture PID 75538
2026-07-28T13:30:43.167979Z RS18 running; capture PID 75538
2026-07-28T13:30:53.456185Z RS18 running; capture PID 75538
2026-07-28T13:31:03.761652Z RS18 running; capture PID 75538
2026-07-28T13:31:14.056530Z RS18 running; capture PID 75538
2026-07-28T13:31:24.464505Z RS18 running; capture PID 75538
2026-07-28T13:31:34.754045Z RS18 running; capture PID 75538
2026-07-28T13:31:45.040917Z RS18 running; capture PID 75538
2026-07-28T13:31:55.338023Z RS18 running; capture PID 75538
2026-07-28T13:32:05.604197Z RS18 running; capture PID 75538
2026-07-28T13:32:15.912350Z RS18 running; capture PID 75538
2026-07-28T13:32:26.266726Z RS18 running; capture PID 75538
2026-07-28T13:32:36.736286Z RS18 running; capture PID 75538
2026-07-28T13:32:47.244689Z RS18 running; capture PID 75538
2026-07-28T13:32:57.612593Z RS18 running; capture PID 75538
2026-07-28T13:33:08.038400Z RS18 running; capture PID 75538
2026-07-28T13:33:18.555625Z RS18 running; capture PID 75538
2026-07-28T13:33:28.849391Z RS18 running; capture PID 75538
2026-07-28T13:33:39.208582Z RS18 running; capture PID 75538
2026-07-28T13:33:49.484464Z RS18 running; capture PID 75538
2026-07-28T13:33:59.935960Z RS18 running; capture PID 75538
2026-07-28T13:34:10.356053Z RS18 running; capture PID 75538
2026-07-28T13:34:20.666377Z RS18 running; capture PID 75538
2026-07-28T13:34:30.981839Z RS18 running; capture PID 75538
2026-07-28T13:34:41.287386Z RS18 running; capture PID 75538
2026-07-28T13:34:51.574107Z RS18 running; capture PID 75538
2026-07-28T13:35:01.860513Z RS18 running; capture PID 75538
2026-07-28T13:35:12.120813Z RS18 running; capture PID 75538
2026-07-28T13:35:22.534423Z RS18 running; capture PID 75538
2026-07-28T13:35:32.839971Z RS18 running; capture PID 75538
2026-07-28T13:35:43.180419Z RS18 running; capture PID 75538
2026-07-28T13:35:53.511985Z RS18 running; capture PID 75538
2026-07-28T13:36:04.055623Z RS18 running; capture PID 75538
2026-07-28T13:36:14.348088Z RS18 running; capture PID 75538
2026-07-28T13:36:25.468521Z RS18 running; capture PID 75538
2026-07-28T13:36:35.769771Z RS18 running; capture PID 75538
2026-07-28T13:36:46.082659Z RS18 running; capture PID 75538
2026-07-28T13:36:56.383202Z RS18 running; capture PID 75538
2026-07-28T13:37:06.699814Z RS18 running; capture PID 75538
2026-07-28T13:37:17.011371Z RS18 running; capture PID 75538
2026-07-28T13:37:27.516543Z RS18 running; capture PID 75538
2026-07-28T13:37:37.853514Z RS18 running; capture PID 75538
2026-07-28T13:37:48.163815Z RS18 running; capture PID 75538
2026-07-28T13:37:58.542141Z RS18 running; capture PID 75538
2026-07-28T13:38:08.836740Z RS18 running; capture PID 75538
2026-07-28T13:38:19.416571Z RS18 running; capture PID 75538
2026-07-28T13:38:29.933495Z RS18 running; capture PID 75538
2026-07-28T13:38:40.255911Z RS18 running; capture PID 75538
2026-07-28T13:38:50.559460Z RS18 running; capture PID 75538
2026-07-28T13:39:00.886251Z RS18 running; capture PID 75538
2026-07-28T13:39:11.205994Z RS18 running; capture PID 75538
2026-07-28T13:39:21.519581Z RS18 running; capture PID 75538
2026-07-28T13:39:31.800154Z RS18 running; capture PID 75538
2026-07-28T13:39:42.121079Z RS18 running; capture PID 75538
2026-07-28T13:39:52.400438Z RS18 running; capture PID 75538
2026-07-28T13:40:02.756215Z RS18 running; capture PID 75538
2026-07-28T13:40:13.111282Z RS18 running; capture PID 75538
2026-07-28T13:40:23.574896Z RS18 running; capture PID 75538
2026-07-28T13:40:33.851721Z RS18 running; capture PID 75538
2026-07-28T13:40:44.129679Z RS18 running; capture PID 75538
2026-07-28T13:40:54.411518Z RS18 running; capture PID 75538
2026-07-28T13:41:04.757854Z RS18 running; capture PID 75538
2026-07-28T13:41:15.055282Z RS18 running; capture PID 75538
2026-07-28T13:41:25.370983Z RS18 running; capture PID 75538
2026-07-28T13:41:35.656658Z RS18 running; capture PID 75538
2026-07-28T13:41:45.933815Z RS18 running; capture PID 75538
2026-07-28T13:41:56.238386Z RS18 running; capture PID 75538
2026-07-28T13:42:06.518298Z RS18 running; capture PID 75538
2026-07-28T13:42:16.845112Z RS18 running; capture PID 75538
2026-07-28T13:42:27.187833Z RS18 running; capture PID 75538
2026-07-28T13:42:37.502765Z RS18 running; capture PID 75538
2026-07-28T13:42:47.788235Z RS18 running; capture PID 75538
2026-07-28T13:42:58.195861Z RS18 running; capture PID 75538
2026-07-28T13:43:08.465201Z RS18 running; capture PID 75538
2026-07-28T13:43:18.782266Z RS18 running; capture PID 75538
2026-07-28T13:43:29.082420Z RS18 running; capture PID 75538
2026-07-28T13:43:39.698198Z RS18 running; capture PID 75538
2026-07-28T13:43:50.001360Z RS18 running; capture PID 75538
2026-07-28T13:44:00.316447Z RS18 running; capture PID 75538
2026-07-28T13:44:10.608662Z RS18 running; capture PID 75538
2026-07-28T13:44:21.079063Z RS18 running; capture PID 75538
2026-07-28T13:44:31.999696Z RS18 running; capture PID 75538
2026-07-28T13:44:42.315479Z RS18 running; capture PID 75538
2026-07-28T13:44:52.603003Z RS18 running; capture PID 75538
2026-07-28T13:45:02.881544Z RS18 running; capture PID 75538
2026-07-28T13:45:13.190729Z RS18 running; capture PID 75538
2026-07-28T13:45:23.477009Z RS18 running; capture PID 75538
2026-07-28T13:45:33.757505Z RS18 running; capture PID 75538
2026-07-28T13:45:44.062363Z RS18 running; capture PID 75538
2026-07-28T13:45:54.365136Z RS18 running; capture PID 75538
2026-07-28T13:46:04.757301Z RS18 running; capture PID 75538
2026-07-28T13:46:15.062793Z RS18 running; capture PID 75538
2026-07-28T13:46:25.506834Z RS18 running; capture PID 75538
2026-07-28T13:46:35.838476Z RS18 running; capture PID 75538
2026-07-28T13:46:46.141902Z RS18 running; capture PID 75538
2026-07-28T13:46:56.438350Z RS18 running; capture PID 75538
