t,x,y
12277.505007,805,1610
12277.510006,809,1607
12277.515007,1005,1612
12277.520006,937,1609
12277.525006,784,1607
12277.530007,933,1611
12277.535006,938,1613
12277.540006,779,1609
12277.545005,836,1610
12277.550005,973,1610
12277.555006,809,1608
12277.560006,804,1604
12277.565005,998,1609
12277.570007,919,1610
12277.575007,772,1606
12277.580005,948,1606
12277.585005,941,1608
12277.590006,756,1609
12277.595005,844,1606
12277.600006,974,1609
12277.605006,805,1611
12277.610006,802,1613
12277.615007,1002,1608
12277.620006,931,1614
12277.625006,776,1611
12277.630007,929,1613
12277.635006,959,1611
12277.640006,765,1612
12277.645006,826,1611
12277.650006,985,1604
12277.655006,825,1610
12277.660007,814,1608
12277.665006,989,1608
12277.670005,923,1605
12277.675005,775,1607
12277.680005,935,1609
12277.685006,939,1609
12277.690005,768,1598
12277.695006,843,1605
12277.700005,979,1605
12277.705006,819,1604
12277.710006,819,1604
12277.715006,983,1604
12277.720006,919,1608
12277.725005,771,1609
12277.730007,939,1601
12277.735006,954,1605
12277.740006,773,1606
12277.745005,835,1603
12277.750006,980,1605
12277.755006,819,1602
12277.760006,811,1604
12277.765007,992,1604
12277.770005,931,1601
12277.775006,775,1602
12277.780005,926,1602
12277.785006,956,1600
12277.790006,775,1599
12277.795006,829,1597
12277.800006,976,1596
12277.805006,812,1600
12277.810006,803,1594
12277.815006,996,1593
12277.820007,930,1595
12277.825006,775,1593
12277.830005,925,1595
12277.835005,958,1595
12277.840006,765,1594
12277.845007,818,1597
12277.850006,980,1587
12277.855007,822,1594
12277.860006,809,1592
12277.865006,978,1596
12277.870005,920,1597
12277.875006,773,1597
12277.880006,945,1597
12277.885006,951,1597
12277.890006,768,1595
12277.895006,830,1599
12277.900007,968,1602
12277.905007,840,1598
12277.910005,814,1600
12277.915005,986,1601
12277.920007,920,1600
12277.925007,783,1595
12277.930005,922,1602
12277.935006,957,1596
12277.940005,773,1600
12277.945006,830,1601
12277.950006,973,1601
12277.955005,820,1600
12277.960005,801,1601
12277.965007,997,1597
