method,label,duty,oracle_offset_s,raw_bit_errors,raw_symbol_errors,decoder_failure,frame_error,conditional_payload_bit_errors,raw_body_ber_percent
primary_xy,Two-sensor coherent,10,0.18499999999983174,30,15,1,1,,33.333333333333336
primary_xy,Two-sensor coherent,30,0.3599999999996726,33,15,1,1,,36.666666666666664
primary_xy,Two-sensor coherent,40,0.014999999999986358,31,16,1,1,,34.44444444444444
primary_xy,Two-sensor coherent,50,-0.9599999999991269,35,18,1,1,,38.888888888888886
primary_xy,Two-sensor coherent,100,0.584999999999468,32,17,1,1,,35.55555555555556
sensor_x,Sensor x,10,0.43499999999960437,33,15,1,1,,36.666666666666664
sensor_x,Sensor x,30,-0.9999999999990905,34,16,1,1,,37.77777777777778
sensor_x,Sensor x,40,-0.42499999999961346,32,17,1,1,,35.55555555555556
sensor_x,Sensor x,50,-0.1999999999998181,31,18,1,1,,34.44444444444444
sensor_x,Sensor x,100,0.6549999999994043,29,15,1,1,,32.22222222222222
sensor_y,Sensor y,10,0.16999999999984539,31,14,1,1,,34.44444444444444
sensor_y,Sensor y,30,0.3799999999996544,34,17,1,1,,37.77777777777778
sensor_y,Sensor y,40,0.009999999999990905,31,17,1,1,,34.44444444444444
sensor_y,Sensor y,50,1.204999999998904,35,18,1,1,,38.888888888888886
sensor_y,Sensor y,100,0.5149999999995316,33,17,1,1,,36.666666666666664
gao_y_primary,Gao: y primary,10,0.16999999999984539,31,14,1,1,,34.44444444444444
gao_y_primary,Gao: y primary,30,0.3799999999996544,34,17,1,1,,37.77777777777778
gao_y_primary,Gao: y primary,40,0.009999999999990905,31,17,1,1,,34.44444444444444
gao_y_primary,Gao: y primary,50,1.204999999998904,35,18,1,1,,38.888888888888886
gao_y_primary,Gao: y primary,100,0.5149999999995316,33,17,1,1,,36.666666666666664
