t,x,y
239.115006,513,1002
239.120006,604,1002
239.125005,679,1005
239.130005,518,1002
239.135006,574,1003
239.140006,707,1002
239.145007,609,997
239.150006,521,1006
239.155005,677,1002
239.160005,641,1002
239.165007,516,1001
239.170007,592,1004
239.175005,665,1002
239.180005,514,1003
239.185005,573,1000
239.190006,708,1000
239.195006,614,1000
239.200007,549,996
239.205005,694,998
239.210005,638,995
239.215005,498,1003
239.220005,602,1003
239.225006,670,1003
239.230007,513,1002
239.235006,569,1000
239.240006,705,1000
239.245006,611,1002
239.250006,547,995
239.255007,678,1005
239.260007,636,1003
239.265006,507,1004
239.270005,618,1003
239.275006,687,1000
239.280006,502,1004
239.285006,562,1004
239.290006,699,1003
239.295007,608,1003
239.300005,548,1001
239.305006,680,1004
239.310006,638,1006
239.315005,504,1002
239.320007,611,1003
239.325006,684,1001
239.330006,501,1004
239.335005,564,1000
239.340005,700,1002
239.345005,605,999
239.350005,549,1000
239.355006,679,1002
239.360006,636,1004
239.365005,514,1001
239.370006,617,1001
239.375005,660,1004
239.380006,503,1004
239.385006,564,1002
239.390006,700,1002
239.395005,604,996
239.400005,527,1003
239.405006,689,1002
239.410006,646,1002
239.415007,524,1001
239.420007,603,1003
239.425006,672,1003
239.430006,501,1002
239.435006,564,1000
239.440005,702,1001
239.445006,603,1001
239.450006,548,1001
239.455006,701,998
239.460006,631,1003
239.465005,503,1003
239.470006,614,1003
239.475006,683,1000
239.480007,507,994
239.485006,559,1002
239.490006,694,1000
239.495006,596,1001
239.500005,548,999
239.505005,702,999
239.510006,629,1003
239.515006,501,1003
239.520006,609,1003
239.525006,669,1001
239.530005,509,1002
239.535006,564,1002
239.540006,702,1004
239.545006,603,1004
239.550006,546,1000
239.555006,701,1001
239.560005,649,1002
239.565006,492,1001
239.570006,609,1001
239.575005,668,999
239.580006,520,1002
239.585006,552,1004
239.590005,687,1003
239.595005,588,1002
239.600005,541,999
239.605006,700,1004
239.610006,648,997
239.615005,500,1004
239.620005,617,1001
239.625005,678,1001
239.630005,523,1002
239.635006,553,1004
239.640005,689,1001
239.645007,583,1001
239.650006,534,1003
239.655005,698,1004
239.660005,655,999
239.665007,516,996
239.670007,606,1001
239.675005,677,994
239.680005,501,996
239.685005,557,1001
239.690005,694,1002
239.695006,587,1001
239.700006,535,1002
239.705007,698,1001
239.710005,650,1006
239.715005,518,1001
239.720006,625,1001
239.725007,681,1000
239.730006,519,996
239.735005,553,1004
239.740007,693,1002
239.745005,592,1002
239.750005,543,1000
239.755006,701,1000
239.760006,647,1000
239.765007,518,999
239.770005,629,996
239.775005,656,1003
239.780005,494,1005
239.785005,557,1003
239.790006,692,1005
239.795007,589,1002
239.800006,546,1001
239.805006,704,995
239.810006,631,1005
239.815005,504,1002
239.820006,623,1003
239.825007,685,999
239.830005,494,1003
239.835006,560,1002
239.840005,697,999
239.845005,592,1002
239.850006,545,999
239.855007,684,1004
239.860006,631,1004
239.865005,506,1002
239.870006,623,1002
239.875005,677,1002
239.880006,517,1000
239.885007,558,1004
239.890007,693,1001
239.895006,585,1004
239.900006,539,1001
239.905006,701,1001
239.910006,642,1003
239.915007,514,1002
239.920006,631,1001
239.925007,672,995
239.930006,496,1003
239.935006,569,1000
239.940006,701,1000
239.945007,593,1003
239.950006,553,995
239.955006,708,998
239.960005,625,1005
239.965006,498,1003
239.970005,617,1003
239.975005,676,1002
239.980006,506,1002
239.985005,552,1004
239.990006,690,1002
239.995005,584,1003
240.000005,545,1001
240.005005,707,1000
240.010006,646,1000
240.015006,513,1000
240.020007,614,1002
240.025006,670,1003
240.030006,509,1005
240.035006,575,1003
240.040007,686,1000
240.045007,575,1004
240.050005,541,1003
240.055006,706,1001
240.060005,648,1002
240.065005,513,998
240.070006,610,1006
240.075006,658,1000
240.080007,499,1003
240.085006,568,1002
240.090006,706,1001
240.095005,569,1005
240.100005,533,1003
240.105006,705,1002
240.110006,652,998
240.115006,495,1004
240.120005,614,1001
240.125005,664,1002
240.130005,505,1002
240.135006,575,1004
240.140006,710,996
240.145005,572,1003
240.150005,537,1001
240.155005,702,1001
240.160005,630,1003
240.165006,506,1004
240.170006,630,1002
240.175006,677,1000
240.180006,519,998
240.185005,573,997
240.190005,684,1004
240.195006,574,1000
240.200006,544,1000
240.205006,707,1002
240.210005,628,1001
240.215005,508,1000
240.220005,617,1003
240.225005,658,1005
240.230007,500,1002
240.235007,569,1002
240.240005,702,995
240.245006,575,1002
240.250005,547,1002
240.255006,712,996
240.260006,628,1000
240.265006,502,1001
240.270006,624,1001
240.275005,679,1000
240.280006,509,999
240.285006,556,1001
240.290006,691,999
240.295007,577,1001
240.300007,544,1002
240.305005,702,995
240.310005,644,995
240.315005,494,1005
240.320006,622,1001
240.325007,672,1003
240.330007,512,998
240.335005,554,1001
240.340005,702,1000
240.345006,565,1001
240.350006,535,1000
240.355006,700,1001
240.360005,626,1005
240.365006,505,1002
240.370006,631,1001
240.375005,677,999
240.380005,491,1004
240.385006,568,1002
240.390006,704,1002
240.395007,565,1003
240.400006,541,1002
240.405006,713,996
240.410006,631,1004
240.415006,509,1002
240.420007,636,1001
240.425006,671,996
240.430006,491,1004
240.435005,564,998
240.440005,699,999
240.445006,561,1004
240.450006,541,1002
240.455007,704,999
240.460006,652,995
240.465005,497,1004
240.470005,628,1001
240.475006,654,1000
240.480007,510,1002
240.485006,583,1000
240.490005,702,996
240.495006,564,1003
240.500005,539,1003
240.505005,703,1000
240.510007,651,1000
240.515006,500,1001
240.520005,628,1000
240.525005,676,1001
240.530005,494,1004
240.535006,566,1000
240.540006,704,1000
240.545007,579,997
240.550005,532,1004
240.555005,707,1002
240.560006,640,995
240.565006,501,1005
240.570006,642,1002
240.575006,655,1001
240.580005,501,1003
240.585006,577,1003
240.590005,702,999
240.595006,565,1003
240.600007,546,1000
240.605006,706,993
240.610007,625,1003
240.615006,500,1004
240.620006,629,1003
240.625005,671,1002
240.630005,517,1001
240.635007,560,1003
240.640006,691,1003
240.645005,577,1002
240.650005,550,996
240.655005,691,1004
240.660005,636,1002
240.665007,522,1000
240.670006,630,997
240.675006,660,1000
240.680006,502,1000
240.685006,576,1001
240.690006,704,1001
240.695006,562,999
240.700006,538,1002
240.705006,701,1001
240.710005,651,998
240.715006,497,1004
240.720006,627,998
240.725006,664,1001
240.730006,505,1000
240.735007,579,994
240.740007,679,1005
240.745007,565,1001
240.750005,557,999
240.755005,715,999
240.760006,623,1002
240.765007,507,1001
240.770005,637,1000
240.775005,671,1000
240.780006,488,1001
240.785006,561,1001
240.790007,693,1000
240.795007,574,1001
240.800006,530,1002
240.805005,697,1002
240.810005,637,1003
240.815005,524,1003
240.820006,625,1003
240.825005,663,1001
240.830007,512,1002
240.835006,578,998
240.840005,686,1001
240.845005,567,998
240.850006,551,1004
240.855007,712,1001
240.860006,650,1002
240.865006,498,1000
240.870007,632,1003
240.875007,660,1002
240.880006,503,1001
240.885006,580,1001
240.890006,699,1000
240.895006,558,1003
240.900005,545,1004
240.905005,704,1001
240.910005,651,999
240.915006,503,1005
240.920006,638,1002
240.925007,667,1004
240.930006,516,1002
240.935005,560,1002
240.940005,690,1001
240.945006,572,1002
240.950006,557,998
240.955006,713,997
240.960006,624,1004
240.965005,506,1003
240.970005,642,1002
240.975005,667,997
240.980006,495,1001
240.985006,572,1002
240.990006,694,995
240.995005,555,1003
241.000006,545,1001
241.005006,709,1000
241.010006,632,995
241.015007,499,1003
241.020005,636,1002
241.025005,658,1002
241.030005,502,1000
241.035006,556,1003
241.040007,683,1002
241.045006,566,1003
241.050005,541,996
241.055005,688,1004
241.060005,625,1002
241.065006,509,1003
241.070005,644,1001
241.075006,670,998
241.080007,482,1002
241.085006,555,1003
241.090006,681,1003
241.095006,560,1000
241.100007,546,1003
241.105006,707,1003
241.110006,642,997
241.115005,505,1002
241.120005,642,1003
241.125006,665,999
241.130006,508,1002
241.135007,563,997
241.140005,684,1005
241.145007,566,1001
241.150006,555,1002
241.155006,708,1003
241.160006,646,998
241.165007,504,1005
241.170006,641,1002
241.175006,649,1004
241.180007,494,1002
241.185006,564,1006
241.190005,699,1001
241.195007,550,1002
241.200005,536,1003
241.205006,699,1001
241.210006,645,1002
241.215005,519,1001
241.220005,646,1001
241.225005,669,999
241.230006,507,998
241.235006,565,1003
241.240006,690,1000
241.245006,571,1000
241.250005,557,1005
241.255006,714,996
241.260006,632,997
241.265006,507,1002
241.270005,642,1003
241.275006,670,1000
241.280005,508,995
241.285005,560,1003
241.290006,688,1003
241.295006,564,1002
241.300006,560,997
241.305006,689,1004
241.310006,634,1002
241.315006,517,1003
241.320006,646,1000
241.325006,666,1002
241.330007,509,1002
241.335006,582,1000
241.340005,702,999
241.345005,548,1001
241.350006,541,1004
241.355006,695,1004
241.360006,637,1001
241.365006,524,1002
241.370005,632,1002
241.375006,650,1001
241.380007,499,1003
241.385007,576,1002
241.390007,698,1003
241.395007,545,1001
241.400006,540,1003
241.405006,698,1004
241.410005,641,1003
241.415006,528,997
241.420007,632,1004
241.425005,647,1004
241.430005,496,1002
241.435005,577,1001
241.440005,703,995
241.445006,549,1002
241.450006,546,1001
241.455006,701,1003
241.460006,646,1003
241.465005,522,995
241.470005,641,1002
241.475005,657,1003
241.480006,505,1004
241.485006,584,1003
241.490005,699,1003
241.495005,566,1000
241.500005,549,995
241.505006,689,1006
241.510006,635,1001
241.515006,521,1003
241.520006,657,1002
241.525006,667,1002
241.530006,512,1000
241.535005,585,998
241.540007,680,1004
241.545006,550,1004
241.550007,552,1003
241.555005,710,1003
241.560005,642,998
241.565006,506,1004
241.570006,644,1001
241.575007,657,1000
241.580006,509,1002
241.585005,581,1001
241.590005,679,1005
241.595005,550,1003
241.600006,546,1003
241.605007,705,1001
241.610006,642,1004
241.615006,507,1001
241.620006,654,1003
241.625005,669,1002
241.630005,491,1003
241.635006,569,1002
241.640007,689,1000
241.645006,566,1003
241.650006,558,996
241.655005,710,998
241.660006,627,1002
241.665007,519,1002
241.670006,658,1000
241.675007,672,1001
241.680007,501,995
241.685006,564,1001
241.690006,686,1005
241.695006,552,1004
241.700006,548,1001
241.705006,703,999
241.710006,644,1001
241.715006,529,1002
241.720006,638,1006
241.725006,660,1002
241.730006,513,1001
241.735005,577,995
241.740007,678,1003
241.745007,553,1000
241.750006,563,998
241.755006,689,1002
241.760006,625,1002
241.765007,508,1003
241.770006,647,1005
241.775006,651,1004
241.780005,498,1003
241.785005,575,1001
241.790006,701,1001
241.795006,563,1000
241.800007,559,1001
241.805005,711,1002
241.810005,640,995
241.815006,507,1002
241.820007,648,1002
241.825006,658,1002
241.830007,506,1000
241.835006,581,1003
241.840005,697,999
241.845005,565,997
241.850005,564,1001
241.855006,691,1004
241.860005,633,1003
241.865006,527,1002
241.870006,666,1000
241.875007,646,1004
241.880007,497,1003
241.885006,573,1001
241.890007,694,1003
241.895005,561,1003
241.900005,559,998
241.905005,691,1003
241.910005,632,1003
241.915006,517,1003
241.920007,654,1003
241.925007,668,1002
241.930006,492,1003
241.935006,568,1003
241.940006,691,1002
241.945006,560,1001
241.950007,559,998
241.955007,695,1001
241.960005,629,1003
241.965005,520,1002
241.970006,661,1002
241.975006,670,1001
241.980006,507,994
241.985006,563,1004
241.990006,683,1002
241.995006,554,1002
242.000005,562,998
242.005005,706,996
242.010006,625,1004
242.015006,523,1003
242.020005,663,1003
242.025006,646,1002
